case,area,delay,adp,adp_times_1_5
ex200,1292,31,40052,60078.0
ex201,652,25,16300,24450.0
ex202,3096,14,43344,65016.0
ex203,1238,46,56948,85422.0
ex204,660,23,15180,22770.0
ex205,1096,43,47128,70692.0
ex206,28371,19,539049,808573.5
ex207,33043,19,627817,941725.5
ex208,1885,13,24505,36757.5
ex209,488,15,7320,10980.0
ex210,2081,13,27053,40579.5
ex211,267,8,2136,3204.0
ex212,256,9,2304,3456.0
ex213,290,10,2900,4350.0
ex214,303,8,2424,3636.0
ex215,350,9,3150,4725.0
ex216,373,9,3357,5035.5
ex217,445,13,5785,8677.5
ex218,358,9,3222,4833.0
ex219,470,12,5640,8460.0
ex220,10612,17,180404,270606.0
ex221,6215,17,105655,158482.5
ex222,10213,17,173621,260431.5
ex223,3091,39,120549,180823.5
ex224,2311,28,64708,97062.0
ex225,2778,42,116676,175014.0
ex226,32655,18,587790,881685.0
ex227,37981,19,721639,1082458.5
ex228,6747,15,101205,151807.5
ex229,3623,16,57968,86952.0
ex230,6770,16,108320,162480.0
ex231,1082,13,14066,21099.0
ex232,496,27,13392,20088.0
ex233,1441,14,20174,30261.0
ex234,1197,13,15561,23341.5
ex235,1600,13,20800,31200.0
ex236,1330,13,17290,25935.0
ex237,1696,15,25440,38160.0
ex238,1273,13,16549,24823.5
ex239,1731,15,25965,38947.5
ex240,403,33,13299,19948.5
ex241,344,21,7224,10836.0
ex242,850,14,11900,17850.0
ex243,3131,17,53227,79840.5
ex244,356,12,4272,6408.0
ex245,325,34,11050,16575.0
ex246,187,15,2805,4207.5
ex247,175,17,2975,4462.5
ex248,209,20,4180,6270.0
ex249,189,11,2079,3118.5
ex250,1357,15,20355,30532.5
ex251,2805,14,39270,58905.0
ex252,137,19,2603,3904.5
ex253,123,15,1845,2767.5
ex254,1911,20,38220,57330.0
ex255,76,11,836,1254.0
ex256,147,13,1911,2866.5
ex257,247,16,3952,5928.0
ex258,331,19,6289,9433.5
ex259,500,20,10000,15000.0
ex260,73,9,657,985.5
ex261,157,13,2041,3061.5
ex262,245,20,4900,7350.0
ex263,380,18,6840,10260.0
ex264,442,22,9724,14586.0
ex265,46,7,322,483.0
ex266,106,8,848,1272.0
ex267,241,11,2651,3976.5
ex268,219,34,7446,11169.0
ex269,294,40,11760,17640.0
ex270,173,12,2076,3114.0
ex271,326,17,5542,8313.0
ex272,544,20,10880,16320.0
ex273,718,21,15078,22617.0
ex274,1030,21,21630,32445.0
ex275,34,6,204,306.0
ex276,79,8,632,948.0
ex277,180,11,1980,2970.0
ex278,226,23,5198,7797.0
ex279,296,37,10952,16428.0
ex280,161,15,2415,3622.5
ex281,146,16,2336,3504.0
ex282,169,16,2704,4056.0
ex283,176,18,3168,4752.0
ex284,212,20,4240,6360.0
ex285,423,13,5499,8248.5
ex286,198,12,2376,3564.0
ex287,413,14,5782,8673.0
ex288,1171,14,16394,24591.0
ex289,908,15,13620,20430.0
ex290,3256,13,42328,63492.0
ex291,4775,14,66850,100275.0
ex292,6061,14,84854,127281.0
ex293,8069,14,112966,169449.0
ex294,8891,15,133365,200047.5
ex295,2127,32,68064,102096.0
ex296,6935,15,104025,156037.5
ex297,6275,36,225900,338850.0
ex298,24572,18,442296,663444.0
ex299,24727,41,1013807,1520710.5
