case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes
ex216,ex216_bf16_cube_hand_recip_cube_guard_lut,bf16_cube,cube,hand_recip_cube_guard_lut,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_hand_recip_cube_guard_lut.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_hand_recip_cube_guard_lut.aig,0,0,,,,0.009,failed: unknown variant: hand_recip_cube_guard_lut
ex216,ex216_bf16_cube_hand_recip_cube_guard_lut_normal_first,bf16_cube,cube,hand_recip_cube_guard_lut_normal_first,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_hand_recip_cube_guard_lut_normal_first.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_hand_recip_cube_guard_lut_normal_first.aig,0,0,,,,0.000,failed: unknown variant: hand_recip_cube_guard_lut_normal_first
ex216,ex216_bf16_cube_hand_recip_cbrt_guard_lut_expcase,bf16_cube,cube,hand_recip_cbrt_guard_lut_expcase,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_hand_recip_cbrt_guard_lut_expcase.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_hand_recip_cbrt_guard_lut_expcase.aig,0,0,,,,0.000,failed: unknown variant: hand_recip_cbrt_guard_lut_expcase
ex218,ex218_bf16_reciprocal_cube_hand_cube_guard_lut,bf16_reciprocal_cube,reciprocal_cube,hand_cube_guard_lut,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_hand_cube_guard_lut.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_hand_cube_guard_lut.aig,0,0,,,,0.000,failed: unknown variant: hand_cube_guard_lut
ex218,ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut_normal_first,bf16_reciprocal_cube,reciprocal_cube,hand_recip_cube_guard_lut_normal_first,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut_normal_first.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut_normal_first.aig,1,1,477,24,11448,0.730,semantic model exact over 65536 inputs; hand guarded recip_cube semantic mod1 RTL; mant_table_items=127
ex218,ex218_bf16_reciprocal_cube_hand_recip_cbrt_guard_lut_expcase,bf16_reciprocal_cube,reciprocal_cube,hand_recip_cbrt_guard_lut_expcase,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_hand_recip_cbrt_guard_lut_expcase.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_hand_recip_cbrt_guard_lut_expcase.aig,0,0,,,,0.000,failed: unknown variant: hand_recip_cbrt_guard_lut_expcase
ex219,ex219_bf16_reciprocal_cbrt_hand_cube_guard_lut,bf16_reciprocal_cbrt,reciprocal_cbrt,hand_cube_guard_lut,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_hand_cube_guard_lut.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_hand_cube_guard_lut.aig,0,0,,,,0.000,failed: unknown variant: hand_cube_guard_lut
ex219,ex219_bf16_reciprocal_cbrt_hand_recip_cube_guard_lut,bf16_reciprocal_cbrt,reciprocal_cbrt,hand_recip_cube_guard_lut,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_hand_recip_cube_guard_lut.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_hand_recip_cube_guard_lut.aig,0,0,,,,0.000,failed: unknown variant: hand_recip_cube_guard_lut
ex219,ex219_bf16_reciprocal_cbrt_hand_recip_cube_guard_lut_normal_first,bf16_reciprocal_cbrt,reciprocal_cbrt,hand_recip_cube_guard_lut_normal_first,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_hand_recip_cube_guard_lut_normal_first.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_hand_recip_cube_guard_lut_normal_first.aig,0,0,,,,0.000,failed: unknown variant: hand_recip_cube_guard_lut_normal_first
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_runs_fix4,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_bits_14_runs_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_runs_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_runs_fix4.aig,1,1,455,15,6825,9.523,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; generic selected bit overrides bits=14 bit_hi_bits=runs bit_items=20
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_cmp_fix4,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_bits_14_cmp_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_cmp_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_cmp_fix4.aig,1,1,424,15,6360,9.955,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; generic selected bit overrides bits=14 bit_hi_bits=cmp bit_items=18
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_pla_fix4,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_bits_14_pla_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_pla_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_pla_fix4.aig,1,1,475,15,7125,10.430,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; generic selected bit overrides bits=14 bit_hi_bits=pla bit_items=18
ex216,ex216_bf16_cube_arith_semantic_fields_bits_14_runs_fix4,bf16_cube,cube,arith_semantic_fields_bits_14_runs_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_arith_semantic_fields_bits_14_runs_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_arith_semantic_fields_bits_14_runs_fix4.aig,1,1,438,17,7446,0.818,semantic model exact over 65536 inputs; semantic BF16 exponent/mantissa RTL; 128; sign_mode=sign_flip; normal_table_entries=127; selected bit overrides bits=14 bit_hi_bits=runs bit_items=20
ex216,ex216_bf16_cube_arith_semantic_fields_bits_14_cmp_fix4,bf16_cube,cube,arith_semantic_fields_bits_14_cmp_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_arith_semantic_fields_bits_14_cmp_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_arith_semantic_fields_bits_14_cmp_fix4.aig,1,1,419,16,6704,0.827,semantic model exact over 65536 inputs; semantic BF16 exponent/mantissa RTL; 128; sign_mode=sign_flip; normal_table_entries=127; selected bit overrides bits=14 bit_hi_bits=cmp bit_items=18
ex216,ex216_bf16_cube_arith_semantic_fields_bits_14_pla_fix4,bf16_cube,cube,arith_semantic_fields_bits_14_pla_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_arith_semantic_fields_bits_14_pla_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_arith_semantic_fields_bits_14_pla_fix4.aig,1,1,430,17,7310,0.828,semantic model exact over 65536 inputs; semantic BF16 exponent/mantissa RTL; 128; sign_mode=sign_flip; normal_table_entries=127; selected bit overrides bits=14 bit_hi_bits=pla bit_items=18
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_runs_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_4_runs_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_runs_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_runs_fix4.aig,1,1,598,14,8372,15.506,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=4 bit_hi_bits=runs bit_items=5254
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_cmp_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_4_cmp_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_cmp_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_cmp_fix4.aig,1,1,482,21,10122,20.179,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=4 bit_hi_bits=cmp bit_items=4234
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_pla_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_4_pla_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_pla_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_4_pla_fix4.aig,1,1,500,16,8000,16.310,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=4 bit_hi_bits=pla bit_items=3558
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_runs_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_7_runs_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_runs_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_runs_fix4.aig,1,1,535,15,8025,16.826,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=7 bit_hi_bits=runs bit_items=1372
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_cmp_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_7_cmp_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_cmp_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_cmp_fix4.aig,1,1,521,15,7815,18.336,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=7 bit_hi_bits=cmp bit_items=692
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_pla_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_7_pla_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_pla_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_7_pla_fix4.aig,1,1,551,15,8265,16.921,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=7 bit_hi_bits=pla bit_items=1198
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_runs_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_9_runs_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_runs_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_runs_fix4.aig,1,1,497,15,7455,15.858,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=9 bit_hi_bits=runs bit_items=412
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_cmp_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_9_cmp_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_cmp_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_cmp_fix4.aig,1,1,492,15,7380,16.899,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=9 bit_hi_bits=cmp bit_items=286
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_pla_fix4,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_9_pla_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_pla_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_9_pla_fix4.aig,1,1,495,15,7425,17.888,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=9 bit_hi_bits=pla bit_items=284
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_runs_fix4,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_6_runs_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_runs_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_runs_fix4.aig,1,1,648,15,9720,13.406,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=6 bit_hi_bits=runs bit_items=1024
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_fix4,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_6_cmp_fix4,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_fix4.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_fix4.aig,1,1,623,15,9345,11.805,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=6 bit_hi_bits=cmp bit_items=684
