case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex247,ex247_semantic_div_nested_delta_default,fp8_e5m2fn_div_low_over_high,semantic_div_nested_delta_default,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_nested_delta.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_nested_delta_default.aig,1,1,1,698,24,16752,2975,5.630924,0,0,1.147,E5M2FN low/high division: exponent delta and significand pair,semantic_exact,
ex247,ex247_semantic_div_nested_delta_abc_g_aig,fp8_e5m2fn_div_low_over_high,semantic_div_nested_delta_abc_g_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_nested_delta.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_nested_delta_abc_g_aig.aig,1,1,1,697,24,16728,2975,5.622857,0,0,1.175,E5M2FN low/high division: exponent delta and significand pair,semantic_exact,
ex247,ex247_semantic_div_nested_delta_synth_preset,fp8_e5m2fn_div_low_over_high,semantic_div_nested_delta_synth_preset,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_nested_delta.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_nested_delta_synth_preset.aig,1,1,1,640,23,14720,2975,4.947899,0,0,1.271,E5M2FN low/high division: exponent delta and significand pair,semantic_exact,
ex247,ex247_semantic_div_nested_delta_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_nested_delta_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_nested_delta.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_nested_delta_synth_preset_aig.aig,1,1,1,630,22,13860,2975,4.658824,0,0,1.286,E5M2FN low/high division: exponent delta and significand pair,semantic_exact,
ex247,ex247_semantic_div_sigpair_class_default,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_class_default,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_sigpair_class.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_sigpair_class_default.aig,1,0,0,,,,2975,,,,0.015,E5M2FN division: sig-pair ratio exponent-offset formula,semantic_exact,Yosys failed with exit code 1
ex247,ex247_semantic_div_sigpair_class_abc_g_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_class_abc_g_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_sigpair_class.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_sigpair_class_abc_g_aig.aig,1,0,0,,,,2975,,,,0.013,E5M2FN division: sig-pair ratio exponent-offset formula,semantic_exact,Yosys failed with exit code 1
ex247,ex247_semantic_div_sigpair_class_synth_preset,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_class_synth_preset,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_sigpair_class.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_sigpair_class_synth_preset.aig,1,0,0,,,,2975,,,,0.015,E5M2FN division: sig-pair ratio exponent-offset formula,semantic_exact,Yosys failed with exit code 1
ex247,ex247_semantic_div_sigpair_class_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_class_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_sigpair_class.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_sigpair_class_synth_preset_aig.aig,1,0,0,,,,2975,,,,0.013,E5M2FN division: sig-pair ratio exponent-offset formula,semantic_exact,Yosys failed with exit code 1
ex247,ex247_semantic_div_key_bdd_interleave_default,fp8_e5m2fn_div_low_over_high,semantic_div_key_bdd_interleave_default,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_key_bdd_interleave.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_key_bdd_interleave_default.aig,1,1,1,852,24,20448,2975,6.873277,0,0,0.798,E5M2FN division: BDD only for exp-delta/significand semantic key,semantic_exact,
ex247,ex247_semantic_div_key_bdd_interleave_abc_g_aig,fp8_e5m2fn_div_low_over_high,semantic_div_key_bdd_interleave_abc_g_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_key_bdd_interleave.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_key_bdd_interleave_abc_g_aig.aig,1,1,1,852,23,19596,2975,6.586891,0,0,0.820,E5M2FN division: BDD only for exp-delta/significand semantic key,semantic_exact,
ex247,ex247_semantic_div_key_bdd_interleave_synth_preset,fp8_e5m2fn_div_low_over_high,semantic_div_key_bdd_interleave_synth_preset,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_key_bdd_interleave.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_key_bdd_interleave_synth_preset.aig,1,1,1,810,22,17820,2975,5.989916,0,0,1.070,E5M2FN division: BDD only for exp-delta/significand semantic key,semantic_exact,
ex247,ex247_semantic_div_key_bdd_interleave_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_key_bdd_interleave_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_semantic_div_key_bdd_interleave.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_semantic_div_key_bdd_interleave_synth_preset_aig.aig,1,1,1,804,21,16884,2975,5.675294,0,0,1.076,E5M2FN division: BDD only for exp-delta/significand semantic key,semantic_exact,
ex247,ex247_truth_bdd_field_default,fp8_e5m2fn_div_low_over_high,truth_bdd_field_default,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_truth_bdd_field.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_truth_bdd_field_default.aig,1,1,1,1525,21,32025,2975,10.764706,0,0,0.902,"exact full-output BDD after E5M2 semantic diagnosis, field-major order",semantic_exact,
ex247,ex247_truth_bdd_field_abc_g_aig,fp8_e5m2fn_div_low_over_high,truth_bdd_field_abc_g_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_truth_bdd_field.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_truth_bdd_field_abc_g_aig.aig,1,1,1,1513,21,31773,2975,10.680000,0,0,0.918,"exact full-output BDD after E5M2 semantic diagnosis, field-major order",semantic_exact,
ex247,ex247_truth_bdd_field_synth_preset,fp8_e5m2fn_div_low_over_high,truth_bdd_field_synth_preset,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_truth_bdd_field.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_truth_bdd_field_synth_preset.aig,1,1,1,1412,23,32476,2975,10.916303,0,0,1.236,"exact full-output BDD after E5M2 semantic diagnosis, field-major order",semantic_exact,
ex247,ex247_truth_bdd_field_synth_preset_aig,fp8_e5m2fn_div_low_over_high,truth_bdd_field_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_truth_bdd_field.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_truth_bdd_field_synth_preset_aig.aig,1,1,1,1408,22,30976,2975,10.412101,0,0,1.265,"exact full-output BDD after E5M2 semantic diagnosis, field-major order",semantic_exact,
ex247,ex247_truth_bdd_interleave_default,fp8_e5m2fn_div_low_over_high,truth_bdd_interleave_default,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_truth_bdd_interleave.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_truth_bdd_interleave_default.aig,1,1,1,1007,21,21147,2975,7.108235,0,0,0.752,"exact full-output BDD after E5M2 semantic diagnosis, byte-interleaved order",semantic_exact,
ex247,ex247_truth_bdd_interleave_abc_g_aig,fp8_e5m2fn_div_low_over_high,truth_bdd_interleave_abc_g_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_truth_bdd_interleave.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_truth_bdd_interleave_abc_g_aig.aig,1,1,1,1004,20,20080,2975,6.749580,0,0,0.768,"exact full-output BDD after E5M2 semantic diagnosis, byte-interleaved order",semantic_exact,
ex247,ex247_truth_bdd_interleave_synth_preset,fp8_e5m2fn_div_low_over_high,truth_bdd_interleave_synth_preset,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_truth_bdd_interleave.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_truth_bdd_interleave_synth_preset.aig,1,1,1,975,22,21450,2975,7.210084,0,0,0.988,"exact full-output BDD after E5M2 semantic diagnosis, byte-interleaved order",semantic_exact,
ex247,ex247_truth_bdd_interleave_synth_preset_aig,fp8_e5m2fn_div_low_over_high,truth_bdd_interleave_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/verilog/ex247_truth_bdd_interleave.v,student/work/ex247_frontend_fp8_e5m2_div_sigpair_class_20260608_1638/ex247/aigs/ex247_truth_bdd_interleave_synth_preset_aig.aig,1,1,1,972,21,20412,2975,6.861176,0,0,0.994,"exact full-output BDD after E5M2 semantic diagnosis, byte-interleaved order",semantic_exact,
