case,domain,agent_id,candidate_id,hypothesis,variant,method_signature,representation,shared_structure,synth_flow,semantics,output_grouping,verilog_path,aig_path,evaluate_log,verified_truth,equivalent,area,delay,adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,notes,sharing_strategy,simulation_pass,synthesized,current_overall_adp,beats_frontend,beats_overall,yosys_log,official_output_dir,runtime_sec
ex286,unknown,unknown-sym-r25,ex286_r25_weight_layer_decision_forest,hamming_weight_preserving_lossy_routing_normalizer,weight_layer_decision_forest,ex286|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,weight_layer_decision_forest,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/verilog/ex286_r25_weight_layer_decision_forest.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/aigs/ex286_r25_weight_layer_decision_forest.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/logs/ex286_r25_weight_layer_decision_forest.evaluate.py.log,1,1,10763,34,365942,20190,2376,0,0,official evaluate.py OK,,,1,,0,,,,
ex286,unknown,unknown-sym-r25,ex286_r25_delta_shared_bdd_pair_late,hamming_weight_preserving_lossy_routing_normalizer,delta_shared_bdd_pair_late,ex286|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,delta_shared_bdd_pair_late,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/verilog/ex286_r25_delta_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/aigs/ex286_r25_delta_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/logs/ex286_r25_delta_shared_bdd_pair_late.evaluate.py.log,1,1,2748,20,54960,20190,2376,0,0,official evaluate.py OK,,,1,,0,,,,
ex286,unknown,unknown-sym-r25,ex286_r25_gray_output_shared_bdd_pair_late,hamming_weight_preserving_lossy_routing_normalizer,gray_output_shared_bdd_pair_late,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,gray_output_shared_bdd_pair_late,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/verilog/ex286_r25_gray_output_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/aigs/ex286_r25_gray_output_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/logs/ex286_r25_gray_output_shared_bdd_pair_late.evaluate.py.log,1,1,2715,42,114030,20190,2376,0,0,official evaluate.py OK,,,1,,0,,,,
ex287,unknown,unknown-sym-r25,ex287_r25_weight_layer_decision_forest,hamming_weight_preserving_lossy_routing_normalizer,weight_layer_decision_forest,ex287|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,weight_layer_decision_forest,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/verilog/ex287_r25_weight_layer_decision_forest.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/aigs/ex287_r25_weight_layer_decision_forest.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/logs/ex287_r25_weight_layer_decision_forest.evaluate.py.log,1,1,9244,36,332784,27390,5782,0,0,official evaluate.py OK,,,1,,0,,,,
ex287,unknown,unknown-sym-r25,ex287_r25_delta_shared_bdd_pair_late,hamming_weight_preserving_lossy_routing_normalizer,delta_shared_bdd_pair_late,ex287|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,delta_shared_bdd_pair_late,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/verilog/ex287_r25_delta_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/aigs/ex287_r25_delta_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/logs/ex287_r25_delta_shared_bdd_pair_late.evaluate.py.log,1,1,4126,25,103150,27390,5782,0,0,official evaluate.py OK,,,1,,0,,,,
ex287,unknown,unknown-sym-r25,ex287_r25_gray_output_shared_bdd_pair_late,hamming_weight_preserving_lossy_routing_normalizer,gray_output_shared_bdd_pair_late,ex287|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,gray_output_shared_bdd_pair_late,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/verilog/ex287_r25_gray_output_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/aigs/ex287_r25_gray_output_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/logs/ex287_r25_gray_output_shared_bdd_pair_late.evaluate.py.log,1,1,3795,45,170775,27390,5782,0,0,official evaluate.py OK,,,1,,0,,,,
ex285,unknown,unknown-sym-r25,ex285_r25_weight_layer_decision_forest,hamming_weight_preserving_lossy_routing_normalizer,weight_layer_decision_forest,ex285|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,weight_layer_decision_forest,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/verilog/ex285_r25_weight_layer_decision_forest.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/aigs/ex285_r25_weight_layer_decision_forest.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/logs/ex285_r25_weight_layer_decision_forest.evaluate.py.log,1,1,4888,32,156416,13175,5499,0,0,official evaluate.py OK,,,1,,0,,,,
ex285,unknown,unknown-sym-r25,ex285_r25_delta_shared_bdd_pair_late,hamming_weight_preserving_lossy_routing_normalizer,delta_shared_bdd_pair_late,ex285|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,delta_shared_bdd_pair_late,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/verilog/ex285_r25_delta_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/aigs/ex285_r25_delta_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/logs/ex285_r25_delta_shared_bdd_pair_late.evaluate.py.log,1,1,1789,20,35780,13175,5499,0,0,official evaluate.py OK,,,1,,0,,,,
ex285,unknown,unknown-sym-r25,ex285_r25_gray_output_shared_bdd_pair_late,hamming_weight_preserving_lossy_routing_normalizer,gray_output_shared_bdd_pair_late,ex285|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,gray_output_shared_bdd_pair_late,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/verilog/ex285_r25_gray_output_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/aigs/ex285_r25_gray_output_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/logs/ex285_r25_gray_output_shared_bdd_pair_late.evaluate.py.log,1,1,1709,41,70069,13175,5499,0,0,official evaluate.py OK,,,1,,0,,,,
ex288,unknown,unknown-sym-r25,ex288_r25_weight_layer_decision_forest,hamming_weight_preserving_lossy_routing_normalizer,weight_layer_decision_forest,ex288|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,weight_layer_decision_forest,,abc_g_aig,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex288/verilog/ex288_r25_weight_layer_decision_forest.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex288/aigs/ex288_r25_weight_layer_decision_forest.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex288/logs/ex288_r25_weight_layer_decision_forest.evaluate.py.log,1,1,29457,38,1119366,31598,16394,0,0,official evaluate.py OK,,,1,,0,,,,
