agent_id,case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_best_run,reference_adp,gap_to_reference,ratio_to_reference,priority,recommendation
float-fp8-r3,ex247,float_fp8,9125,,,ex246_ex247_frontend_fp8_e5m2_bound_smallpat_20260608_2055,2975,3829,2.287059,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex246,float_fp8,7502,,,ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000,2805,3179,2.133333,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex244,float_fp8,10234,,,ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401,4272,4656,2.089888,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex249,float_fp8,4368,,,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,2079,1260,1.606061,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex241,float_fp8,15544,,,ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330,7224,4368,1.604651,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex240,float_fp8,30090,,,ex240_frontend_fp8_diff_grs_20260608_1401,13299,7747,1.582525,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex245,float_fp8,23834,,,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,11050,6269,1.567330,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex242,float_fp8,25320,,,ex242_frontend_fp8_div_clean_sparse_20260608_1330,11900,6640,1.557983,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex248,float_fp8,8550,,,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,4180,1936,1.463158,frontend_high,rethink high-level description and shared-structure RTL
float-fp8-r3,ex253,float_fp8,2268,,,ex252_ex253_frontend_weighted_popcount_20260608_2224,1845,405,1.219512,frontend_high,rethink high-level description and shared-structure RTL
integer-r3,ex260,integer,1144,,,ex260_ex263_frontend_smul_constfa_signbit_20260609_0638,657,409,1.622527,frontend_high,rethink high-level description and shared-structure RTL
integer-r3,ex266,integer,1480,,,ex266_frontend_udiv_best_wordmux_flow_20260609_1204,848,448,1.528302,frontend_high,rethink high-level description and shared-structure RTL
integer-r3,ex256,integer,2844,,,ex200_ex299_frontend_parallel_shared_20260612_1422,1911,879,1.459969,frontend_high,rethink high-level description and shared-structure RTL
integer-r3,ex276,integer,1010,,,ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656,632,268,1.424051,frontend_high,rethink high-level description and shared-structure RTL
integer-r3,ex261,integer,2952,,,ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558,2041,767,1.375796,frontend_high,rethink high-level description and shared-structure RTL
integer-r3,ex270,integer,3230,,,ex200_ex299_frontend_parallel_shared_20260612_1422,2076,710,1.342004,frontend_high,rethink high-level description and shared-structure RTL
integer-r3,ex277,integer,2844,,,ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618,1980,660,1.333333,frontend_high,rethink high-level description and shared-structure RTL
unary-r3,ex225,fp16,218728,,,ex200_ex299_frontend_refgap_round2_20260612_1512,116676,88980,1.762625,frontend_high,rethink high-level description and shared-structure RTL
unary-r3,ex223,fp16,204193,,,ex200_ex299_frontend_parallel_shared_20260612_1422,120549,68919,1.571709,frontend_high,rethink high-level description and shared-structure RTL
unary-r3,ex204,bf16,25670,,,ex200_ex299_frontend_parallel_shared_20260612_1422,15180,5970,1.393281,frontend_high,rethink high-level description and shared-structure RTL
unary-r3,ex205,bf16,71104,,,ex200_ex299_frontend_parallel_shared_20260612_1422,47128,17816,1.378034,frontend_high,rethink high-level description and shared-structure RTL
unary-r3,ex224,fp16,96224,,,ex200_ex299_frontend_parallel_shared_20260612_1422,64708,24092,1.372319,frontend_high,rethink high-level description and shared-structure RTL
unary-r3,ex200,bf16,54405,,,ex200_ex299_frontend_refgap_round2_20260612_1512,40052,12688,1.316788,frontend_high,rethink high-level description and shared-structure RTL
unknown-gf2-r3,ex283,unknown,4830,,,ex200_ex299_frontend_refgap_round2_20260612_1512,3168,1216,1.383838,frontend_high,rethink high-level description and shared-structure RTL
unknown-gf2-r3,ex282,unknown,5115,,,ex200_ex299_frontend_refgap_round2_20260612_1512,2704,992,1.366864,frontend_high,rethink high-level description and shared-structure RTL
unknown-gf2-r3,ex281,unknown,4814,,,ex200_ex299_frontend_refgap_round2_20260612_1512,2336,758,1.324486,frontend_high,rethink high-level description and shared-structure RTL
unknown-gf2-r3,ex280,unknown,3915,,,ex200_ex299_frontend_refgap_round2_20260612_1512,2415,341,1.141201,frontend_high,rethink high-level description and shared-structure RTL
unknown-gf2-r3,ex284,unknown,6981,,,ex200_ex299_frontend_refgap_round2_20260612_1512,4240,590,1.139151,frontend_high,rethink high-level description and shared-structure RTL
unknown-routing-r3,ex286,unknown,21705,,,ex286_frontend_multipair_symcof_synthflow_20260609_0634,2376,16160,7.801347,frontend_high,rethink high-level description and shared-structure RTL
unknown-routing-r3,ex287,unknown,27480,,,ex287_frontend_multipair_symcof_synthflow_20260609_0634,5782,17626,4.048426,frontend_high,rethink high-level description and shared-structure RTL
unknown-routing-r3,ex285,unknown,13175,,,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,5499,3633,1.660666,frontend_high,rethink high-level description and shared-structure RTL
unknown-routing-r3,ex288,unknown,31598,,,ex286_ex288_frontend_keybdd_selected_synth_20260609_1448,16394,9830,1.599610,frontend_high,rethink high-level description and shared-structure RTL
unknown-routing-r3,ex289,unknown,19893,,,ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128,13620,4544,1.333627,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex297,unknown,583596,,,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,225900,324072,2.434582,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex299,unknown,2604734,,,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,1013807,1298593,2.280908,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex295,unknown,138448,,,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,68064,57621,1.846571,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex298,unknown,645639,,,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,442296,112561,1.254492,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex296,unknown,143792,,,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,104025,26400,1.253785,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex294,unknown,246698,,,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,133365,32205,1.241480,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex292,unknown,142170,,,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,84854,17304,1.203927,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex290,unknown,61992,,,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,42328,8276,1.195521,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex291,unknown,97545,,,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,66850,4871,1.072865,frontend_high,rethink high-level description and shared-structure RTL
unknown-state-r3,ex293,unknown,144972,,,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,112966,-11631,0.897040,already_beat_or_low_priority,do not spend frontend time unless polishing
