case,domain,frontend_best_adp,reference_adp,frontend_ratio_to_reference,candidate_id,frontend_best_run
ex286,unknown,21705,2376,9.135101,ex286_interleave_f00_k4_abc_g_aig,ex286_frontend_multipair_symcof_synthflow_20260609_0634
ex287,unknown,27480,5782,4.752681,ex287_interleave_f00_k5_abc_g_aig,ex287_frontend_multipair_symcof_synthflow_20260609_0634
ex247,float_fp8,9125,2975,3.067227,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig,ex246_ex247_frontend_fp8_e5m2_bound_smallpat_20260608_2055
ex246,float_fp8,7502,2805,2.674510,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000
ex297,unknown,583596,225900,2.583426,ex297_low_split_default_abc_g_aig,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350
ex299,unknown,2604734,1013807,2.569260,ex299_high_split_default_abc_g_aig,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350
ex285,unknown,13175,5499,2.395890,ex285_decision_tree_greedy_synth_preset,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350
ex244,float_fp8,10234,4272,2.395599,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401
ex240,float_fp8,30090,13299,2.262576,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig,ex240_frontend_fp8_diff_grs_20260608_1401
ex245,float_fp8,23834,11050,2.156923,ex245_semantic_add_gap_class_synth_preset_aig,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715
ex241,float_fp8,15544,7224,2.151717,ex241_semantic_mul_product_nested_exp_synth_preset_aig,ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330
ex242,float_fp8,25320,11900,2.127731,ex242_semantic_div_field_sparse_clean_synth_preset_aig,ex242_frontend_fp8_div_clean_sparse_20260608_1330
ex249,float_fp8,4368,2079,2.101010,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715
ex248,float_fp8,8550,4180,2.045455,ex248_semantic_fmod_periodic_rem_abc_g_aig,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715
