case,domain,candidate_id,equivalent,area,delay,adp,reference_adp,current_frontend_adp,verilog_path,aig_path,log_path,method_signature,agent_id,run_id,notes
ex223,fp16,ex223_log_nested_low10_hi4_abc_g_aig,,10725,20,214500,120549,203756,,,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex223/official_eval/ex223_log_nested_low10_hi4_abc_g_aig.evaluate.py.log,,,ex200_ex299_frontend_refgap_round9_20260612_1855,
ex223,fp16,ex223_log_nested_low10_hi5_abc_g_aig,,10800,19,205200,120549,203756,,,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex223/official_eval/ex223_log_nested_low10_hi5_abc_g_aig.evaluate.py.log,,,ex200_ex299_frontend_refgap_round9_20260612_1855,
ex225,fp16,ex225_log_nested_low10_hi4_abc_g_aig,,11324,20,226480,116676,218728,,,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex225/official_eval/ex225_log_nested_low10_hi4_abc_g_aig.evaluate.py.log,,,ex200_ex299_frontend_refgap_round9_20260612_1855,
ex225,fp16,ex225_log_nested_low10_hi5_abc_g_aig,,11583,19,220077,116676,218728,,,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/mixed-r9/ex225/official_eval/ex225_log_nested_low10_hi5_abc_g_aig.evaluate.py.log,,,ex200_ex299_frontend_refgap_round9_20260612_1855,
ex240,float_fp8,ex240_same_delta_diff_norm_round9_abc_g_aig,1,1091,89,97099,13299,30090,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/verilog/ex240_same_delta_diff_norm_round9.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/aigs/ex240_same_delta_diff_norm_round9_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/logs/ex240_same_delta_diff_norm_round9_abc_g_aig.official_evaluate.log,"ex240|E4M3FN packed add|same-sign sig-gap delta plus arithmetic diff-sign normalizer|shared magnitude ordering, exponent/significand decode, same-sign delta table, and diff normalizer|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_add_high_plus_low|same_delta_diff_arithmetic_normalizer",fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py status OK; runtime_sec=1.573; synth_log=student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/logs/ex240_same_delta_diff_norm_round9_abc_g_aig.yosys.log
ex240,float_fp8,ex240_same_delta_diff_norm_round9_default,1,1129,90,101610,13299,30090,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/verilog/ex240_same_delta_diff_norm_round9.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/aigs/ex240_same_delta_diff_norm_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/logs/ex240_same_delta_diff_norm_round9_default.official_evaluate.log,"ex240|E4M3FN packed add|same-sign sig-gap delta plus arithmetic diff-sign normalizer|shared magnitude ordering, exponent/significand decode, same-sign delta table, and diff normalizer|yosys_default_official_evaluate|exact_e4m3fn_add_high_plus_low|same_delta_diff_arithmetic_normalizer",fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py status OK; runtime_sec=1.588; synth_log=student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex240/logs/ex240_same_delta_diff_norm_round9_default.yosys.log
ex244,float_fp8,ex244_sig_gap_threshold_round9_abc_d18,1,332,37,12284,4272,10234,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/verilog/ex244_sig_gap_threshold_round9.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/aigs/ex244_sig_gap_threshold_round9_abc_d18.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_abc_d18.official_evaluate.log,"ex244|E4M3FN packed hypot|sig-gap threshold runs with saturation cap|shared abs max/min decode, exponent gap, significand predicates, and threshold delta runs|yosys_abc_d18_official_evaluate|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_runs",fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py status OK; runtime_sec=0.819; synth_log=student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_abc_d18.yosys.log
ex244,float_fp8,ex244_sig_gap_threshold_round9_abc_g_aig,1,320,37,11840,4272,10234,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/verilog/ex244_sig_gap_threshold_round9.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/aigs/ex244_sig_gap_threshold_round9_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_abc_g_aig.official_evaluate.log,"ex244|E4M3FN packed hypot|sig-gap threshold runs with saturation cap|shared abs max/min decode, exponent gap, significand predicates, and threshold delta runs|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_runs",fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py status OK; runtime_sec=0.828; synth_log=student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_abc_g_aig.yosys.log
ex244,float_fp8,ex244_sig_gap_threshold_round9_default,1,332,37,12284,4272,10234,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/verilog/ex244_sig_gap_threshold_round9.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/aigs/ex244_sig_gap_threshold_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_default.official_evaluate.log,"ex244|E4M3FN packed hypot|sig-gap threshold runs with saturation cap|shared abs max/min decode, exponent gap, significand predicates, and threshold delta runs|yosys_default_official_evaluate|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_runs",fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py status OK; runtime_sec=0.837; synth_log=student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_default.yosys.log
ex245,float_fp8,ex245_semantic_add_gap_class_abc_g_AND_D21,1,734,35,25690,11050,23834,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/aigs/ex245_semantic_add_gap_class_abc_g_AND_D21.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/logs/ex245_semantic_add_gap_class_abc_g_AND_D21.evaluate.py.log,ex245|E5M2 packed add gap-class current source synth-flow replay|semantic_add_gap_class_current_source|shared_current_decode_region_logic|yosys_abc_g_AND_D21|abc_xf_official_evaluate|full_output,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g AND -D 21`; avoids changing low-value source table
ex245,float_fp8,ex245_semantic_add_gap_class_abc_g_aig,1,719,34,24446,11050,23834,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/aigs/ex245_semantic_add_gap_class_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/logs/ex245_semantic_add_gap_class_abc_g_aig.evaluate.py.log,ex245|E5M2 packed add gap-class current source synth-flow replay|semantic_add_gap_class_current_source|shared_current_decode_region_logic|yosys_abc_g_aig|abc_xf_official_evaluate|full_output,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig`; avoids changing low-value source table
ex245,float_fp8,ex245_semantic_add_gap_class_abc_g_aig_D18,1,719,34,24446,11050,23834,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/aigs/ex245_semantic_add_gap_class_abc_g_aig_D18.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/logs/ex245_semantic_add_gap_class_abc_g_aig_D18.evaluate.py.log,ex245|E5M2 packed add gap-class current source synth-flow replay|semantic_add_gap_class_current_source|shared_current_decode_region_logic|yosys_abc_g_aig_D18|abc_xf_official_evaluate|full_output,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig -D 18`; avoids changing low-value source table
