domain,case,attempts,official_ok,non_ok,campaign_best_candidate,campaign_best_area,campaign_best_delay,campaign_best_adp,baseline_frontend_adp,delta_vs_baseline,improved_vs_baseline,reference_adp,verilog_path,aig_path,log_path,agent_id,method_signature
bf16,ex200,3,2,1,ex200_r2_sepfield_e4m3s0_b14bh2,3650,16,58400,54405,-3995,0,40052,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex200/verilog/ex200_r2_sepfield_e4m3s0_b14bh2.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex200/official_eval/ex200_r2_sepfield_e4m3s0_b14bh2/ex200.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex200/logs/ex200_r2_sepfield_e4m3s0_b14bh2.evaluate.py.log,bf16-extra-r2,ex200|bf16_extra_r2_field_residual|bf16_exp|sep_fields_e4_m3_s0_bits_14_bh2|shared sign_exp constants plus field-local mantissa hi/lo residuals|yosys_default_abc_and|abc_xf_official_evaluate|separate_fields_selected_bit14
bf16,ex201,3,3,0,ex201_r2_sepfield_e2m4s0_b3bh2,1708,16,27328,23058,-4270,0,16300,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex201/verilog/ex201_r2_sepfield_e2m4s0_b3bh2.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex201/official_eval/ex201_r2_sepfield_e2m4s0_b3bh2/ex201.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex201/logs/ex201_r2_sepfield_e2m4s0_b3bh2.evaluate.py.log,bf16-extra-r2,ex201|bf16_extra_r2_field_residual|bf16_exp2|sep_fields_e2_m4_s0_bits_3_bh2|shared sign_exp constants plus field-local mantissa hi4 residuals|yosys_default_abc_and|abc_xf_official_evaluate|separate_fields_selected_bit3
bf16,ex204,4,4,0,ex204_bf16_output_grouped_low10_hi3_abc_g_aig,2077,16,33232,24576,-8656,0,15180,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/bf16_output_grouped/ex204/verilog/ex204_bf16_output_grouped_low10_hi3.v,student/runs/bf16/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval/ex204/ex204_bf16_output_grouped_low10_hi3_abc_g_aig/ex204.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval_logs/ex204/ex204_bf16_output_grouped_low10_hi3_abc_g_aig.evaluate.py.log,arith-unary-r2,ex204|bf16_output_grouped_truth_structure|low10_nested_hi3_highbit_runs|shared_signexp_highbit_runs_plus_nested_low_lut|abc_g_aig|abc_xf_truth_derived|full_word_bitgroup
bf16,ex205,4,3,1,ex205_bf16_output_grouped_low8_hi3_abc_g_aig,4898,16,78368,71040,-7328,0,47128,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/bf16_output_grouped/ex205/verilog/ex205_bf16_output_grouped_low8_hi3.v,student/runs/bf16/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval/ex205/ex205_bf16_output_grouped_low8_hi3_abc_g_aig/ex205.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval_logs/ex205/ex205_bf16_output_grouped_low8_hi3_abc_g_aig.evaluate.py.log,arith-unary-r2,ex205|bf16_output_grouped_truth_structure|low8_nested_hi3_highbit_runs|shared_signexp_highbit_runs_plus_nested_low_lut|abc_g_aig|abc_xf_truth_derived|full_word_bitgroup
bf16,ex214,2,2,0,ex214_r2_delta_m64h2_b13cmp,355,12,4260,3564,-696,0,2424,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex214/verilog/ex214_r2_delta_m64h2_b13cmp.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex214/official_eval/ex214_r2_delta_m64h2_b13cmp/ex214.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex214/logs/ex214_r2_delta_m64h2_b13cmp.evaluate.py.log,bf16-extra-r2,ex214|bf16_extra_r2_delta_pair_residual|bf16_reciprocal_square|delta_pair_mant64_hilo2_bits_13_cmp|shared exp base pair plus mantissa hi2 XOR delta residual|yosys_default_abc_and|abc_xf_official_evaluate|posneg_pair_selected_bit13
bf16,ex215,2,2,0,ex215_r2_delta_m64h2_b9bh2,447,13,5811,4680,-1131,0,3150,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex215/verilog/ex215_r2_delta_m64h2_b9bh2.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex215/official_eval/ex215_r2_delta_m64h2_b9bh2/ex215.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex215/logs/ex215_r2_delta_m64h2_b9bh2.evaluate.py.log,bf16-extra-r2,ex215|bf16_extra_r2_delta_pair_residual|bf16_reciprocal_sqrt|delta_pair_mant64_hilo2_bits_9_bh2|shared exp base pair plus mantissa hi2 XOR delta residual|yosys_default_abc_and|abc_xf_official_evaluate|posneg_pair_selected_bit9
bf16,ex216,3,3,0,ex216_r2_dg_delta_m64h2_b14,543,14,7602,5772,-1830,0,3357,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex216/verilog/ex216_r2_dg_delta_m64h2_b14.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex216/official_eval/ex216_r2_dg_delta_m64h2_b14/ex216.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex216/logs/ex216_r2_dg_delta_m64h2_b14.evaluate.py.log,bf16-extra-r2,ex216|bf16_extra_r2_decision_graph_residual|bf16_cube|delta_pair_mant64_hilo2_decision_graph_bit14|shared exp base pair plus selected-bit input decision graph|yosys_default_abc_and|abc_xf_official_evaluate|posneg_pair_dg_bit14
bf16,ex218,4,4,0,ex218_bf16_reciprocal_cube_delta_pair_mode_hilo4,546,14,7644,5941,-1703,0,3222,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/bf16_semantic_second/ex218/verilog/ex218_bf16_reciprocal_cube_delta_pair_mode_hilo4.v,student/runs/bf16/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval/ex218/ex218_bf16_reciprocal_cube_delta_pair_mode_hilo4/ex218.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/arith-unary-r2/official_eval_logs/ex218/ex218_bf16_reciprocal_cube_delta_pair_mode_hilo4.evaluate.py.log,arith-unary-r2,ex218|bf16_reciprocal_cube|delta_pair_mode_hilo4|abc_g_aig
bf16,ex219,3,3,0,ex219_r2_delta_m64h2_b6cmp,708,14,9912,9212,-700,0,5640,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex219/verilog/ex219_r2_delta_m64h2_b6cmp.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex219/official_eval/ex219_r2_delta_m64h2_b6cmp/ex219.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/bf16-extra-r2/ex219/logs/ex219_r2_delta_m64h2_b6cmp.evaluate.py.log,bf16-extra-r2,ex219|bf16_extra_r2_delta_pair_residual|bf16_reciprocal_cbrt|delta_pair_mant64_hilo2_bits_6_cmp|shared exp base pair plus mantissa hi2 XOR delta residual|yosys_default_abc_and|abc_xf_official_evaluate|posneg_pair_selected_bit6
fp16,ex221,3,3,0,ex221_varying_signexp_nested_low10_hi5_abc_g_aig,6811,18,122598,153428,30830,1,105655,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/verilog/ex221_varying_signexp_nested_low10_hi5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/aigs/ex221_varying_signexp_nested_low10_hi5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/official_eval/ex221_varying_signexp_nested_low10_hi5_abc_g_aig/ex221_varying_signexp_nested_low10_hi5_abc_g_aig.evaluate.py.log,fp16-extra-r2,ex221|fp16_exp2_field_shell|active_signexp_nested_low10_hi5|shared sign-exp decode plus high output run trees and low10 nested LUT|yosys_abc_g_aig|abc_xf_official_evaluate|active_signexp_low10_hi5
