agent_id,domain,case,method_signature,hypothesis_family,reason,best_area,best_delay,best_adp,verilog_path,aig_path,log_path,source_csv,notes,area,delay,adp,old_adp
unknown-hard-r4,unknown,ex286,ex286|hamming_weight_preserving_lossy_routing_normalizer|routing_residual_shared_bdd|base_paircanon_rotl1_order_outside_in_nodes_1460|yosys_abc_g_aig|official_evaluate_residual_reconstruction|full_word_residual_xor,routing_residual_shared_bdd,equivalent_but_no_frontend_improvement,2757,21,57897,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex286/verilog/ex286_r4_routing_residual_shared_bdd_paircanon_rotl1_outside_in_all_rows_abc_g_aig.v,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex286/aigs/ex286_r4_routing_residual_shared_bdd_paircanon_rotl1_outside_in_all_rows_abc_g_aig.aig,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex286/logs/ex286_r4_routing_residual_shared_bdd_paircanon_rotl1_outside_in_all_rows_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/failed_hypotheses.csv,exact model over 8192 truth rows; bdd_nodes=1460; synth_sec=0.818,2757,21,57897,
unknown-hard-r4,unknown,ex286,ex286|hamming_weight_preserving_lossy_routing_normalizer|boundary_layer_residual_bypass|base_paircanon_rotl1_order_outside_in_nodes_1589|yosys_abc_g_aig|official_evaluate_residual_reconstruction|boundary_source_decode_plus_middle_residual,boundary_layer_residual_bypass,equivalent_but_no_frontend_improvement,3151,31,97681,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex286/verilog/ex286_r4_boundary_layer_residual_bypass_paircanon_rotl1_outside_in_middle_bdd_edge1_abc_g_aig.v,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex286/aigs/ex286_r4_boundary_layer_residual_bypass_paircanon_rotl1_outside_in_middle_bdd_edge1_abc_g_aig.aig,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex286/logs/ex286_r4_boundary_layer_residual_bypass_paircanon_rotl1_outside_in_middle_bdd_edge1_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/failed_hypotheses.csv,exact model over 8192 truth rows; bdd_nodes=1589; synth_sec=1.139,3151,31,97681,
unknown-hard-r4,unknown,ex287,ex287|hamming_weight_preserving_lossy_routing_normalizer|routing_residual_shared_bdd|base_paircanon_order_outside_in_nodes_2078|yosys_abc_g_aig|official_evaluate_residual_reconstruction|full_word_residual_xor,routing_residual_shared_bdd,equivalent_but_no_frontend_improvement,3845,23,88435,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex287/verilog/ex287_r4_routing_residual_shared_bdd_paircanon_outside_in_all_rows_abc_g_aig.v,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex287/aigs/ex287_r4_routing_residual_shared_bdd_paircanon_outside_in_all_rows_abc_g_aig.aig,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex287/logs/ex287_r4_routing_residual_shared_bdd_paircanon_outside_in_all_rows_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/failed_hypotheses.csv,exact model over 16384 truth rows; bdd_nodes=2078; synth_sec=1.239,3845,23,88435,
unknown-hard-r4,unknown,ex287,ex287|hamming_weight_preserving_lossy_routing_normalizer|boundary_layer_residual_bypass|base_paircanon_order_pairlate_nodes_2246|yosys_abc_g_aig|official_evaluate_residual_reconstruction|boundary_source_decode_plus_middle_residual,boundary_layer_residual_bypass,equivalent_but_no_frontend_improvement,4154,36,149544,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex287/verilog/ex287_r4_boundary_layer_residual_bypass_paircanon_pairlate_middle_bdd_edge1_abc_g_aig.v,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex287/aigs/ex287_r4_boundary_layer_residual_bypass_paircanon_pairlate_middle_bdd_edge1_abc_g_aig.aig,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-hard-r4/ex287/logs/ex287_r4_boundary_layer_residual_bypass_paircanon_pairlate_middle_bdd_edge1_abc_g_aig.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-hard-r4/failed_hypotheses.csv,exact model over 16384 truth rows; bdd_nodes=2246; synth_sec=1.492,4154,36,149544,
unknown-large-r4,unknown,ex285,ex285|hamming_weight_route_current_boundary_source|single_source_delay_target|preserve_boundary_alt_source|yosys_internal_abc_g_aig_d15|official_evaluate|full_word,hybrid low-delay source synthesis,equivalent but ADP 13209 did not beat target frontend ADP 12800,777,17,13209,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex285/verilog/ex285_r4_current_boundary_d15.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex285/aigs/ex285_r4_current_boundary_d15.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex285/logs/ex285_r4_current_boundary_d15.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,777,17,13209,
unknown-large-r4,unknown,ex285,ex285|hamming_weight_route_grouped_descriptor_masks|paircount_sorted_boundary_mix|boundary_base_paircount_edge_bits_sorted_inner_bits|yosys_internal_abc_g_aig|official_evaluate|grouped_masks_1_10_3_8,routing descriptor grouped output masks,yosys_exit_code=1,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex285/verilog/ex285_r4_paircount_sorted_mask_mix.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex285/aigs/ex285_r4_paircount_sorted_mask_mix.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex285/logs/ex285_r4_paircount_sorted_mask_mix.yosys.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,,,,
unknown-large-r4,unknown,ex288,ex288|hamming_weight_route_current_keybdd_source|single_source_delay_target|preserve_keybdd_selected_source|yosys_internal_abc_g_aig_d13|official_evaluate|full_word,hybrid low-delay source synthesis,equivalent but ADP 31654 did not beat target frontend ADP 31598,2261,14,31654,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex288/verilog/ex288_r4_current_keybdd_d13.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex288/aigs/ex288_r4_current_keybdd_d13.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex288/logs/ex288_r4_current_keybdd_d13.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,2261,14,31654,
unknown-large-r4,unknown,ex288,ex288|hamming_weight_route_grouped_descriptor_masks|boundary_twohot_keybdd_mix|keybdd_base_boundary_extremes_twohot_swap_cells|yosys_internal_abc_g_aig|official_evaluate|grouped_masks_0_14_4_5_8_9,routing descriptor grouped output masks,equivalent but ADP 34035 did not beat target frontend ADP 31598,2269,15,34035,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex288/verilog/ex288_r4_boundary_twohot_mask_mix.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex288/aigs/ex288_r4_boundary_twohot_mask_mix.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex288/logs/ex288_r4_boundary_twohot_mask_mix.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,2269,15,34035,
unknown-large-r4,unknown,ex292,ex292|global_state_mod4_output_planes|single_source_delay_target|preserve_mod4_bdd_pools|yosys_internal_abc_g_aig_d19|official_evaluate|mod4_planes,hybrid low-delay source synthesis,equivalent but ADP 136060 did not beat target frontend ADP 135780,6803,20,136060,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex292/verilog/ex292_r4_mod4_planes_d19.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex292/aigs/ex292_r4_mod4_planes_d19.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex292/logs/ex292_r4_mod4_planes_d19.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,6803,20,136060,
unknown-large-r4,unknown,ex294,ex294|global_state_octant_descriptor_cofactor|single_source_delay_target|preserve_octant_even_plane_mux|yosys_internal_abc_g_aig_d21|official_evaluate|even_plane_0_2_4_6_8_10_12_14,hybrid low-delay source synthesis,equivalent but ADP 234850 did not beat target frontend ADP 234608,10675,22,234850,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex294/verilog/ex294_r4_octant_d21.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex294/aigs/ex294_r4_octant_d21.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex294/logs/ex294_r4_octant_d21.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,10675,22,234850,
