domain,case,attempts,official_ok,non_ok,campaign_best_candidate,campaign_best_area,campaign_best_delay,campaign_best_adp,clean_baseline_adp,delta_vs_clean_baseline,improved_vs_clean_baseline,frontend_best_after_adp,reference_adp,ratio_to_reference_after,verilog_path,aig_path,log_path,agent_id,method_signature
bf16,ex204,3,3,0,ex204_deep_se_mh3_word_default,2192,17,37264,24576,-12688,0,24576,15180,1.618972,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex204/verilog/ex204_deep_se_mh3_word_default.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex204/aigs/ex204_deep_se_mh3_word_default.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex204/logs/ex204_deep_se_mh3_word_default.evaluate.py.log,bf16-agent,ex204|bf16_log2|se_mh3_word_default_cofactor|shared sign_exp default plus mantissa-hi/lo residual groups|yosys_abc_gates_aigmap|abc_xf_truth_derived_exact|full_word_grouped
bf16,ex216,3,3,0,ex216_deep_mtbdd_field_order,432,15,6480,5720,-760,0,5772,3357,1.719392,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex216/verilog/ex216_deep_mtbdd_field_order.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex216/aigs/ex216_deep_mtbdd_field_order.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex216/logs/ex216_deep_mtbdd_field_order.evaluate.py.log,bf16-agent,ex216|bf16_cube|mtbdd_field_order|shared whole-word reduced cofactor DAG across outputs|yosys_abc_aig_aigmap|abc_xf_truth_derived_exact|whole_word_mux_dag
bf16,ex218,3,3,0,ex218_deep_mtbdd_field_order,508,15,7620,5941,-1679,0,5941,3222,1.843886,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex218/verilog/ex218_deep_mtbdd_field_order.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex218/aigs/ex218_deep_mtbdd_field_order.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex218/logs/ex218_deep_mtbdd_field_order.evaluate.py.log,bf16-agent,ex218|bf16_reciprocal_cube|mtbdd_field_order|shared whole-word reduced cofactor DAG across outputs|yosys_abc_aig_aigmap|abc_xf_truth_derived_exact|whole_word_mux_dag
bf16,ex219,2,2,0,ex219_deep_se_mh3_field_default,1434,15,21510,9212,-12298,0,9212,5640,1.633333,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex219/verilog/ex219_deep_se_mh3_field_default.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex219/aigs/ex219_deep_se_mh3_field_default.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/bf16-agent/ex219/logs/ex219_deep_se_mh3_field_default.evaluate.py.log,bf16-agent,ex219|bf16_reciprocal_cbrt|se_mh3_field_default_cofactor|shared sign_exp default plus separated sign_exp_mant output fields|yosys_abc_gates_aigmap|abc_xf_truth_derived_exact|separate_output_fields
fp16,ex223,12,12,0,ex223_catalog_source_recheck_synth_preset_aig,10564,19,200716,200716,0,0,203395,120549,1.687239,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/verilog/ex223_catalog_source_recheck.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/aigs/ex223_catalog_source_recheck_synth_preset_aig.aig,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/official_eval/ex223_catalog_source_recheck_synth_preset_aig/ex223_catalog_source_recheck_synth_preset_aig.evaluate.py.log,fp16-agent,ex223|fp16_log|current_catalog_source_copied_into_shard_with_alternate_frontend_synthesis_flow|preserve_existing_shared_special_decode_and_mantissa_table/residual_predicates|synth_preset_aig|abc_xf_official_evaluate|full_word
fp16,ex224,15,15,0,ex224_expbase_xor_low12_hi6_synth_preset_aig,5817,16,93072,96224,3152,1,93072,64708,1.438338,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/verilog/ex224_r2_expbase_xor_low12_hi6.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/aigs/ex224_expbase_xor_low12_hi6_synth_preset_aig.aig,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/official_eval/ex224_expbase_xor_low12_hi6_synth_preset_aig/ex224_expbase_xor_low12_hi6_synth_preset_aig.evaluate.py.log,fp16-r2-agent,ex224|fp16_log2|expbase_xor_nested_recut|expbase_xor_low12_hi6|shared_sign-exp_base_high_word_plus_exact_XOR_corrections_and_nested_low_LUT|synth_preset_aig|abc_xf_official_evaluate
fp16,ex225,14,14,0,ex225_catalog_source_recheck_synth_preset_aig,11356,19,215764,215764,0,0,218595,116676,1.873522,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/verilog/ex225_catalog_source_recheck.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/aigs/ex225_catalog_source_recheck_synth_preset_aig.aig,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/official_eval/ex225_catalog_source_recheck_synth_preset_aig/ex225_catalog_source_recheck_synth_preset_aig.evaluate.py.log,fp16-agent,ex225|fp16_log10|current_catalog_source_copied_into_shard_with_alternate_frontend_synthesis_flow|preserve_existing_shared_special_decode_and_mantissa_table/residual_predicates|synth_preset_aig|abc_xf_official_evaluate|full_word
float_fp8,ex240,3,1,2,ex240_deep_truth_bdd_fieldorder_abc_g_aig,2755,23,63365,26230,-37135,0,26230,13299,1.972329,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex240/verilog/ex240_deep_truth_bdd_fieldorder.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex240/aigs/ex240_deep_truth_bdd_fieldorder_abc_g_aig.aig,student/runs/float_fp8/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex240/official_eval_logs/ex240_deep_truth_bdd_fieldorder_abc_g_aig.evaluate.py.log,float-fp8-agent,ex240|E4M3FN packed add high byte plus low byte|shared truth-derived decision graph with FP8 field-major variable order|shared ROBDD nodes across all output bits|yosys_abc_g_aig|official_evaluate|decision_graph_full_word
float_fp8,ex241,3,3,0,ex241_deep_product_param_exception_abc_g_aig,577,40,23080,15399,-7681,0,15544,7224,2.151717,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex241/verilog/ex241_deep_product_param_exception.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex241/aigs/ex241_deep_product_param_exception_abc_g_aig.aig,student/runs/float_fp8/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex241/official_eval_logs/ex241_deep_product_param_exception_abc_g_aig.evaluate.py.log,float-fp8-agent,ex241|E4M3FN packed multiply high byte times low byte|product exponent formula with compact rounding exception overlay|shared sign xor exponent sum and significand product|yosys_abc_g_aig|official_evaluate|formula_with_exception_overlay
float_fp8,ex244,4,4,0,ex244_deep_maxeff_delta_sigfirst_abc_g_aig,338,40,13520,10234,-3286,0,10234,4272,2.395599,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex244/verilog/ex244_deep_maxeff_delta_sigfirst.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex244/aigs/ex244_deep_maxeff_delta_sigfirst_abc_g_aig.aig,student/runs/float_fp8/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex244/official_eval_logs/ex244_deep_maxeff_delta_sigfirst_abc_g_aig.evaluate.py.log,float-fp8-agent,"ex244|E4M3FN hypot abs high low|max-eff delta BDD with significand-first delta-node order|shared max/min decode, max_eff saturation context, delta BDD|yosys_abc_g_aig|official_evaluate|max_plus_delta"
