case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_possible_class_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_attr_shared_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigpair_attr_shared_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigpair_attr_shared_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigpair_attr_shared_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_sigpair_attr_shared_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_normsplit_attr_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_normsplit_attr_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_normsplit_attr_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_normsplit_attr_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_logcode_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_logcode_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_logcode_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_logcode_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed300_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed300_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed300_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed300_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed301_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed301_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed301_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed301_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed302_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed302_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed302_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed302_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed303_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed303_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed303_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed303_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed304_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed304_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed304_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed304_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed305_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed305_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed305_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed305_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed306_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed306_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-dc-r51,ex246_ex246_semantic_mul_product_dc_seed306_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
