case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with boundary attr valid bit removed,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|default_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_nested_default_and.md,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with boundary attr valid bit removed,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_nested_default_aig.md,official evaluate.py status OK; synth=default_aig
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with boundary attr valid bit removed,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|synth_preset_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_nested_synth_preset_and.md,official evaluate.py status OK; synth=synth_preset_and
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with boundary attr valid bit removed,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_nested_synth_preset_aig.md,official evaluate.py status OK; synth=synth_preset_aig
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with flat pair boundary attrs,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|default_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_flat_default_and.md,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with flat pair boundary attrs,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_flat_default_aig.md,official evaluate.py status OK; synth=default_aig
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with flat pair boundary attrs,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|synth_preset_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_flat_synth_preset_and.md,official evaluate.py status OK; synth=synth_preset_and
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with flat pair boundary attrs,ex247|E5M2FN packed low-over-high division|validless flat pair boundary attrs|shared sign exponent significand decode and flat sigpair boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|flat_pair_region_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_flat_synth_preset_aig.md,official evaluate.py status OK; synth=synth_preset_aig
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with direct region assignment,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|default_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_direct_default_and.md,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with direct region assignment,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_direct_default_aig.md,official evaluate.py status OK; synth=default_aig
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with direct region assignment,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|synth_preset_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_direct_synth_preset_and.md,official evaluate.py status OK; synth=synth_preset_and
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with direct region assignment,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_direct_synth_preset_aig.md,official evaluate.py status OK; synth=synth_preset_aig
ex246,float_fp8,local-targeted,E5M2FN multiply with unreachable product effective-map,ex246|E5M2FN packed multiply|seed12 unreachable product effective-map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|effective_product_class_magnitude|default_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_effmap_seed12_default_and.md,official evaluate.py status OK; synth=default_and
