case,domain,agent_id,candidate_id,hypothesis,variant,method_signature,representation,shared_structure,synth_flow,semantics,output_grouping,verilog_path,aig_path,evaluate_log,verified_truth,equivalent,area,delay,adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,notes
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f00_bits_0_12_1_10_case_group_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f00_bits_0_12_1_10_case_group,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_case_group|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and case/group source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f00_bits_0_12_1_10_case_group_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f00_bits_0_12_1_10_case_group_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f00_bits_0_12_1_10_case_group_abc_g_aig.evaluate.py.log,1,1,1364,15,20460,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f00; mux_style=case; bdd_share=group; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=144:142:141:145:143:125:159:154:131:142:129:139:163:136:144:120; total_group_nodes=2257; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f00_bits_0_12_1_10_tree_group_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f00_bits_0_12_1_10_tree_group,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_tree_group|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and tree/group source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f00_bits_0_12_1_10_tree_group_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f00_bits_0_12_1_10_tree_group_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f00_bits_0_12_1_10_tree_group_abc_g_aig.evaluate.py.log,1,1,1371,18,24678,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f00; mux_style=tree; bdd_share=group; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=144:142:141:145:143:125:159:154:131:142:129:139:163:136:144:120; total_group_nodes=2257; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f00_bits_0_12_1_10_onehot_global_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f00_bits_0_12_1_10_onehot_global,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_onehot_global|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and onehot/global source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f00_bits_0_12_1_10_onehot_global_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f00_bits_0_12_1_10_onehot_global_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f00_bits_0_12_1_10_onehot_global_abc_g_aig.evaluate.py.log,1,1,1346,15,20190,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f00; mux_style=onehot; bdd_share=global; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=640:640:640:640:640:640:640:640:640:640:640:640:640:640:640:640; total_group_nodes=10240; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f00_bits_0_12_1_10_case_global_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f00_bits_0_12_1_10_case_global,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_case_global|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and case/global source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f00_bits_0_12_1_10_case_global_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f00_bits_0_12_1_10_case_global_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f00_bits_0_12_1_10_case_global_abc_g_aig.evaluate.py.log,1,1,1366,15,20490,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f00; mux_style=case; bdd_share=global; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=640:640:640:640:640:640:640:640:640:640:640:640:640:640:640:640; total_group_nodes=10240; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f00_bits_0_12_1_10_tree_global_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f00_bits_0_12_1_10_tree_global,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_tree_global|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and tree/global source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f00_bits_0_12_1_10_tree_global_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f00_bits_0_12_1_10_tree_global_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f00_bits_0_12_1_10_tree_global_abc_g_aig.evaluate.py.log,1,1,1336,19,25384,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f00; mux_style=tree; bdd_share=global; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=640:640:640:640:640:640:640:640:640:640:640:640:640:640:640:640; total_group_nodes=10240; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f10_bits_0_12_1_10_case_group_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f10_bits_0_12_1_10_case_group,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_case_group|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and case/group source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f10_bits_0_12_1_10_case_group_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f10_bits_0_12_1_10_case_group_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f10_bits_0_12_1_10_case_group_abc_g_aig.evaluate.py.log,1,1,1358,16,21728,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f10; mux_style=case; bdd_share=group; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=155:155:151:158:156:137:174:171:140:152:138:149:172:147:154:130; total_group_nodes=2439; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f10_bits_0_12_1_10_tree_group_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f10_bits_0_12_1_10_tree_group,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_tree_group|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and tree/group source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f10_bits_0_12_1_10_tree_group_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f10_bits_0_12_1_10_tree_group_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f10_bits_0_12_1_10_tree_group_abc_g_aig.evaluate.py.log,1,1,1337,18,24066,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f10; mux_style=tree; bdd_share=group; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=155:155:151:158:156:137:174:171:140:152:138:149:172:147:154:130; total_group_nodes=2439; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f10_bits_0_12_1_10_onehot_global_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f10_bits_0_12_1_10_onehot_global,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_onehot_global|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and onehot/global source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f10_bits_0_12_1_10_onehot_global_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f10_bits_0_12_1_10_onehot_global_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f10_bits_0_12_1_10_onehot_global_abc_g_aig.evaluate.py.log,1,1,1379,16,22064,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f10; mux_style=onehot; bdd_share=global; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=657:657:657:657:657:657:657:657:657:657:657:657:657:657:657:657; total_group_nodes=10512; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f10_bits_0_12_1_10_case_global_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f10_bits_0_12_1_10_case_global,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_case_global|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and case/global source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f10_bits_0_12_1_10_case_global_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f10_bits_0_12_1_10_case_global_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f10_bits_0_12_1_10_case_global_abc_g_aig.evaluate.py.log,1,1,1348,16,21568,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f10; mux_style=case; bdd_share=global; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=657:657:657:657:657:657:657:657:657:657:657:657:657:657:657:657; total_group_nodes=10512; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
ex286,unknown,local-ex286-symcof,ex286_r25_symcof_f10_bits_0_12_1_10_tree_global_abc_g_aig,hamming_weight_preserving_lossy_routing_normalizer,f10_bits_0_12_1_10_tree_global,ex286|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_bitset_0_12_1_10_tree_global|known_pair_symmetry_key_and_class_mux_bdd_share|yosys_abc_g_aig_official_evaluate|exact_popcount_preserving_unknown|full_word_class_mux,symmetry-cofactor class mux with explicit outer bitset and tree/global source structure,"canonical key for exact input swap pairs (4,5),(6,7); shared BDD cofactors; class mux over outer bitset",yosys abc -g aig plus official evaluate.py,exact_popcount_preserving_unknown_ex286,full_word_class_mux,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/verilog/ex286_r25_symcof_f10_bits_0_12_1_10_tree_global_abc_g_aig.v,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/aigs/ex286_r25_symcof_f10_bits_0_12_1_10_tree_global_abc_g_aig.aig,student/work/ex286_frontend_targeted_symcof_mux_probe_20260613_0403/local-ex286-symcof/ex286/logs/ex286_r25_symcof_f10_bits_0_12_1_10_tree_global_abc_g_aig.evaluate.py.log,1,1,1333,18,23994,20190,2376,0,0,"exact symmetry cofactor class-onehot model over 8192 inputs; pairs=4:5,6:7; order=interleave; policy=f10; mux_style=tree; bdd_share=global; outer_bits=0:12:1:10; inner_bits=2:3:4:5:6:7:8:9:11; classes=16; group_nodes=657:657:657:657:657:657:657:657:657:657:657:657:657:657:657:657; total_group_nodes=10512; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits="
