case,agent_id,hypothesis,shared_structure,estimated_saved_logic,observed_qor,notes,domain,candidate_id,representation,shard_csv,structure,shared_nodes,output_bits,evidence,result,family,variant,keys,residual_rows,residual_ratio,estimated_entries,exact_bits,source_decision
ex246,sub-fp8-codearith-r65,E5M2FN multiply code-arithmetic product microcode,"shared sign xor, significand product, exponent sum, product default class, and residual only near rounding/underflow/saturation boundaries",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex246_r65_mul_boundary_residual_case_default,product log/default exponent microcode with exact boundary residual case table / default,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex246,sub-fp8-codearith-r65,E5M2FN multiply code-arithmetic product microcode,"shared sign xor, significand product, exponent sum, product default class, and residual only near rounding/underflow/saturation boundaries",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex246_r65_mul_boundary_residual_case_synth_preset_aig,product log/default exponent microcode with exact boundary residual case table / synth_preset_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex246,sub-fp8-codearith-r65,E5M2FN multiply selected-bit boundary classifiers,shared product/exponent arithmetic default with exact residual bits minimized over reachable product/exp keys,,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex246_r65_mul_boundary_residual_sop_default,product microcode plus minimized Boolean classifiers for residual output bits / default,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex246,sub-fp8-codearith-r65,E5M2FN multiply selected-bit boundary classifiers,shared product/exponent arithmetic default with exact residual bits minimized over reachable product/exp keys,,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex246_r65_mul_boundary_residual_sop_synth_preset_aig,product microcode plus minimized Boolean classifiers for residual output bits / synth_preset_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division signed biased exponent microcode,"shared special-case shell, quotient sigpair attr, signed biased delta, and exact low/sat boundary residual",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex247_r65_div_biased_delta_microcode_default,sigpair attr microcode with signed exponent-delta default and boundary residual table / default,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division signed biased exponent microcode,"shared special-case shell, quotient sigpair attr, signed biased delta, and exact low/sat boundary residual",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex247_r65_div_biased_delta_microcode_synth_preset_aig,sigpair attr microcode with signed exponent-delta default and boundary residual table / synth_preset_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division quotient reciprocal nibble code,"shared reciprocal nibble qcode, signed exponent delta, special-case shell, and exact residual boundary correction",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex247_r65_div_recip_nibble_residual_default,denominator reciprocal nibble times numerator code with exact sigpair/delta residual / default,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division quotient reciprocal nibble code,"shared reciprocal nibble qcode, signed exponent delta, special-case shell, and exact residual boundary correction",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex247_r65_div_recip_nibble_residual_synth_preset_aig,denominator reciprocal nibble times numerator code with exact sigpair/delta residual / synth_preset_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division selected-bit quotient boundary classifiers,shared sigpair arithmetic default with exact residual bits minimized over reachable quotient/delta keys,,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex247_r65_div_boundary_residual_sop_default,signed delta microcode plus minimized Boolean classifiers for residual quotient bits / default,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex247,sub-fp8-codearith-r65,E5M2FN division selected-bit quotient boundary classifiers,shared sigpair arithmetic default with exact residual bits minimized over reachable quotient/delta keys,,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex247_r65_div_boundary_residual_sop_synth_preset_aig,signed delta microcode plus minimized Boolean classifiers for residual quotient bits / synth_preset_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/shared_structure_report.csv,,,,,,,,,,,,,
