case,agent_id,candidate_id,simulator,status,patterns,evidence_path,notes,domain,simulation_pass,log_path,shard_csv,rows_checked,mismatches,sample_count
ex246,sub-fp8-codearith-r65,ex246_r65_mul_boundary_residual_case,,,,,debug simulation not used; official evaluate.py is final validation,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/simulation_results.csv,,,
ex246,sub-fp8-codearith-r65,ex246_r65_mul_boundary_residual_sop,,,,,debug simulation not used; official evaluate.py is final validation,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/simulation_results.csv,,,
ex247,sub-fp8-codearith-r65,ex247_r65_div_biased_delta_microcode,,,,,debug simulation not used; official evaluate.py is final validation,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/simulation_results.csv,,,
ex247,sub-fp8-codearith-r65,ex247_r65_div_recip_nibble_residual,,,,,debug simulation not used; official evaluate.py is final validation,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/simulation_results.csv,,,
ex247,sub-fp8-codearith-r65,ex247_r65_div_boundary_residual_sop,,,,,debug simulation not used; official evaluate.py is final validation,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-codearith-r65/simulation_results.csv,,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_delta_bit_cubes_default_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_delta_bit_cubes_extra_share_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_delta_bit_cubes_abc_g_aig_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_delta_bit_cubes_synth_preset_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_class_case_increment_default_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_class_case_increment_extra_share_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_class_case_increment_abc_g_aig_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex244,sub-fp8-hypot-classifier-r65,ex244_ex244_r65_class_case_increment_synth_preset_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_threshold_cubes_default_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_threshold_cubes_extra_share_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_threshold_cubes_abc_g_aig_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_threshold_cubes_synth_preset_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_exact_state_cubes_default_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_exact_state_cubes_extra_share_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_exact_state_cubes_abc_g_aig_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex249,sub-fp8-hypot-classifier-r65,ex249_ex249_r65_exact_state_cubes_synth_preset_raw,,,,,official evaluate.py used for final verification,float_fp8,not_run,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/simulation_results.csv,,,
ex285,sub-unk285-localrule-r65,ex285_r65_compact_central_layer_state_descriptors,truth_screen,BLOCKED,,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,blocked_central_conflicts; best_variant=pair_counts_lanes; row_matches=; residual_rows=74; conflict_keys=36,unknown,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/simulation_results.csv,2508,,
