case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,shard_csv,domain,evaluate_log,method_signature,hypothesis,variant,method_family,representation,shared_structure,official_aig_path,path_exists,official_status,official_area,official_delay,official_adp,previous_current_adp,previous_frontend_adp,reference_adp_rebuilt,improves_current,improves_frontend,official_eval_log,official_eval_dir,official_returncode,outcome,status
ex223,ex223_r67_log_nested_low13_hi5_abc_g_aig,OK,1,10754,19,204326,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/verilog/ex223_r67_log_nested_low13_hi5_abc_g_aig.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/aigs/ex223_r67_log_nested_low13_hi5_abc_g_aig.aig,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/logs/ex223_r67_log_nested_low13_hi5_abc_g_aig.evaluate.py.log,sub-fp16-mid-r67,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/evaluation_results.csv,,,,,,,,,,,,,,,,,,,,,,,,
ex223,ex223_r67_log_sparse_low13_hi5_abc_g_aig,OK,1,10759,19,204421,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/verilog/ex223_r67_log_sparse_low13_hi5_abc_g_aig.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/aigs/ex223_r67_log_sparse_low13_hi5_abc_g_aig.aig,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex223/logs/ex223_r67_log_sparse_low13_hi5_abc_g_aig.evaluate.py.log,sub-fp16-mid-r67,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/evaluation_results.csv,,,,,,,,,,,,,,,,,,,,,,,,
ex225,ex225_r67_log_nested_low13_hi5_abc_g_aig,OK,1,11535,19,219165,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/verilog/ex225_r67_log_nested_low13_hi5_abc_g_aig.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/aigs/ex225_r67_log_nested_low13_hi5_abc_g_aig.aig,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/logs/ex225_r67_log_nested_low13_hi5_abc_g_aig.evaluate.py.log,sub-fp16-mid-r67,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/evaluation_results.csv,,,,,,,,,,,,,,,,,,,,,,,,
ex225,ex225_r67_log_sparse_low13_hi6_abc_g_aig,OK,1,12714,18,228852,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/verilog/ex225_r67_log_sparse_low13_hi6_abc_g_aig.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/aigs/ex225_r67_log_sparse_low13_hi6_abc_g_aig.aig,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp16-mid-r67/ex225/logs/ex225_r67_log_sparse_low13_hi6_abc_g_aig.evaluate.py.log,sub-fp16-mid-r67,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/evaluation_results.csv,,,,,,,,,,,,,,,,,,,,,,,,
ex240,ex240_r67_active_desc_dc,,1,4619,39,180141,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/verilog/ex240_r67_active_desc_dc.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/aigs/ex240_r67_active_desc_dc.aig,,sub-fp8-mid-r67,official evaluate.py OK; synth_sec=13.844; eval_sec=0.848,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/logs/ex240_r67_active_desc_dc.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,
ex240,ex240_r67_active_desc_split,,1,8060,40,322400,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/verilog/ex240_r67_active_desc_split.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/aigs/ex240_r67_active_desc_split.aig,,sub-fp8-mid-r67,official evaluate.py OK; synth_sec=18.603; eval_sec=0.904,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex240/logs/ex240_r67_active_desc_split.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,
ex241,ex241_r67_product_desc_dc,,1,762,36,27432,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/verilog/ex241_r67_product_desc_dc.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/aigs/ex241_r67_product_desc_dc.aig,,sub-fp8-mid-r67,official evaluate.py OK; synth_sec=1.090; eval_sec=0.483,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/logs/ex241_r67_product_desc_dc.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,
ex241,ex241_r67_product_desc_split,,1,761,35,26635,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/verilog/ex241_r67_product_desc_split.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/aigs/ex241_r67_product_desc_split.aig,,sub-fp8-mid-r67,official evaluate.py OK; synth_sec=1.166; eval_sec=0.479,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex241/logs/ex241_r67_product_desc_split.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,
ex242,ex242_r67_div_desc_dc,,1,1306,20,26120,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/verilog/ex242_r67_div_desc_dc.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/aigs/ex242_r67_div_desc_dc.aig,,sub-fp8-mid-r67,official evaluate.py OK; synth_sec=1.176; eval_sec=0.495,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/logs/ex242_r67_div_desc_dc.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,
ex242,ex242_r67_div_desc_split,,1,1325,19,25175,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/verilog/ex242_r67_div_desc_split.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/aigs/ex242_r67_div_desc_split.aig,,sub-fp8-mid-r67,official evaluate.py OK; synth_sec=1.267; eval_sec=0.504,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex242/logs/ex242_r67_div_desc_split.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,
