case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,domain,simulation_pass,simulation_status,reason,verilog_path,source_family,simulation_type,passed,evidence_path
ex223,ex223_r67_log_nested_low13_hi5_abc_g_aig,iverilog,not_run,0,not_run,sub-fp16-mid-r67,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/simulation_results.csv,,,,,,,,,
ex223,ex223_r67_log_sparse_low13_hi5_abc_g_aig,iverilog,not_run,0,not_run,sub-fp16-mid-r67,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/simulation_results.csv,,,,,,,,,
ex225,ex225_r67_log_nested_low13_hi5_abc_g_aig,iverilog,not_run,0,not_run,sub-fp16-mid-r67,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/simulation_results.csv,,,,,,,,,
ex225,ex225_r67_log_sparse_low13_hi6_abc_g_aig,iverilog,not_run,0,not_run,sub-fp16-mid-r67,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp16-mid-r67/simulation_results.csv,,,,,,,,,
ex240,ex240_r67_active_desc_dc,,,,,sub-fp8-mid-r67,official evaluate.py used; iverilog not needed for generated descriptor RTL,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/simulation_results.csv,float_fp8,not_run,,,,,,,
ex240,ex240_r67_active_desc_split,,,,,sub-fp8-mid-r67,official evaluate.py used; iverilog not needed for generated descriptor RTL,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/simulation_results.csv,float_fp8,not_run,,,,,,,
ex241,ex241_r67_product_desc_dc,,,,,sub-fp8-mid-r67,official evaluate.py used; iverilog not needed for generated descriptor RTL,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/simulation_results.csv,float_fp8,not_run,,,,,,,
ex241,ex241_r67_product_desc_split,,,,,sub-fp8-mid-r67,official evaluate.py used; iverilog not needed for generated descriptor RTL,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/simulation_results.csv,float_fp8,not_run,,,,,,,
ex242,ex242_r67_div_desc_dc,,,,,sub-fp8-mid-r67,official evaluate.py used; iverilog not needed for generated descriptor RTL,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/simulation_results.csv,float_fp8,not_run,,,,,,,
ex242,ex242_r67_div_desc_split,,,,,sub-fp8-mid-r67,official evaluate.py used; iverilog not needed for generated descriptor RTL,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/simulation_results.csv,float_fp8,not_run,,,,,,,
ex245,ex245_r67_active_desc_dc,,,,,sub-fp8-mid-r67,official evaluate.py used; iverilog not needed for generated descriptor RTL,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/simulation_results.csv,float_fp8,not_run,,,,,,,
