case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,domain,simulation_pass
ex223,ex223_r70_hi4_threshold_low12_fullcase_abc_g_aig,not_run,not_run,0,,sub-fp16-int-source-r70,Iverilog is debug only; official evaluate.py result used for validity.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp16-int-source-r70/simulation_results.csv,fp16,not_run
ex225,ex225_r70_hi4_threshold_low12_fullcase_abc_g_aig,not_run,not_run,0,,sub-fp16-int-source-r70,Iverilog is debug only; official evaluate.py result used for validity.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp16-int-source-r70/simulation_results.csv,fp16,not_run
ex260,ex260_r70_radix4_booth_csa_hcla_abc_g_aig,not_run,not_run,0,,sub-fp16-int-source-r70,Iverilog is debug only; official evaluate.py result used for validity.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp16-int-source-r70/simulation_results.csv,integer,not_run
ex260,ex260_r70_signmag_abs_csa_condneg_abc_g_aig,not_run,not_run,0,,sub-fp16-int-source-r70,Iverilog is debug only; official evaluate.py result used for validity.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp16-int-source-r70/simulation_results.csv,integer,not_run
ex266,ex266_r70_shared_ge_threshold_bands_abc_g_aig,not_run,not_run,0,,sub-fp16-int-source-r70,Iverilog is debug only; official evaluate.py result used for validity.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp16-int-source-r70/simulation_results.csv,integer,not_run
ex266,ex266_r70_leadingone_class_thresholds_abc_g_aig,not_run,not_run,0,,sub-fp16-int-source-r70,Iverilog is debug only; official evaluate.py result used for validity.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp16-int-source-r70/simulation_results.csv,integer,not_run
ex240,ex240_r70_branch_record_planes,not_run,not_run,0,,sub-fp8-mid-source-r70,Iverilog not used; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-mid-source-r70/simulation_results.csv,float_fp8,not_run
ex240,ex240_r70_gap_major_nested_planes,not_run,not_run,0,,sub-fp8-mid-source-r70,Iverilog not used; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-mid-source-r70/simulation_results.csv,float_fp8,not_run
ex241,ex241_r70_product_lattice_flat_plane,not_run,not_run,0,,sub-fp8-mid-source-r70,Iverilog not used; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-mid-source-r70/simulation_results.csv,float_fp8,not_run
ex241,ex241_r70_exp_onehot_product_planes,not_run,not_run,0,,sub-fp8-mid-source-r70,Iverilog not used; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-mid-source-r70/simulation_results.csv,float_fp8,not_run
ex242,ex242_r70_den_interval_planes,not_run,not_run,0,,sub-fp8-mid-source-r70,Iverilog not used; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-mid-source-r70/simulation_results.csv,float_fp8,not_run
ex242,ex242_r70_delta_quotient_class_planes,not_run,not_run,0,,sub-fp8-mid-source-r70,Iverilog not used; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-mid-source-r70/simulation_results.csv,float_fp8,not_run
ex245,ex245_r70_branch_record_planes,not_run,not_run,0,,sub-fp8-mid-source-r70,Iverilog not used; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-mid-source-r70/simulation_results.csv,float_fp8,not_run
ex245,ex245_r70_gap_major_nested_planes,not_run,not_run,0,,sub-fp8-mid-source-r70,Iverilog not used; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-mid-source-r70/simulation_results.csv,float_fp8,not_run
ex244,ex244_r70_delta_ge_cells,iverilog,not_run,0,,sub-fp8-worst-source-r70,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-worst-source-r70/simulation_results.csv,float_fp8,not_run
ex244,ex244_r70_gap_sqkernel_thresholds,iverilog,not_run,0,,sub-fp8-worst-source-r70,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-worst-source-r70/simulation_results.csv,float_fp8,not_run
ex246,ex246_r70_pprod_threshold_cells,iverilog,not_run,0,,sub-fp8-worst-source-r70,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-worst-source-r70/simulation_results.csv,float_fp8,not_run
ex246,ex246_r70_sigpair_onehot_cells,iverilog,not_run,0,,sub-fp8-worst-source-r70,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-worst-source-r70/simulation_results.csv,float_fp8,not_run
ex247,ex247_r70_recip_interval_cells,iverilog,not_run,0,,sub-fp8-worst-source-r70,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-worst-source-r70/simulation_results.csv,float_fp8,not_run
ex247,ex247_r70_subcompare_threshold,iverilog,not_run,0,,sub-fp8-worst-source-r70,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-worst-source-r70/simulation_results.csv,float_fp8,not_run
ex249,ex249_r70_minsq_delta_cells,iverilog,not_run,0,,sub-fp8-worst-source-r70,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-worst-source-r70/simulation_results.csv,float_fp8,not_run
ex249,ex249_r70_onehot_gap_threshold,iverilog,not_run,0,,sub-fp8-worst-source-r70,debug-only simulator not needed; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-fp8-worst-source-r70/simulation_results.csv,float_fp8,not_run
ex285,ex285_r70_lane_parity_lowrep_anf,not_run,not_run,,,sub-unknown-source-r70,official evaluate.py is the required authority; iverilog skipped,student/frontend_campaigns/campaigns/frontend_source_parallel_round70_20260613_1235/agent_shards/sub-unknown-source-r70/simulation_results.csv,unknown,not_run
