case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,method_signature,evaluate_command,shard_csv,domain,evaluate_log,status,output_dir,runtime_sec,beats_frontend,beats_current_best,beats_reference
ex223,ex223_r72_posnorm_mant0_override_abc_g_aig,,1,10742,19,204098,,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex223/logs/ex223_r72_posnorm_mant0_override_abc_g_aig.evaluate.py.log,sub-fp16-int-micro-r72,official evaluate.py OK; runtime_sec=1.357,ex223|fp16_log_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,/usr/bin/python3 /home/b10507053/ALS_Final_Project/evaluate.py --case ex223 --output /home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex223/official_eval/ex223_r72_posnorm_mant0_override_abc_g_aig --timeout 90,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/evaluation_results.csv,,,,,,,,
ex225,ex225_r72_posnorm_mant0_override_abc_g_aig,,1,11534,19,219146,,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex225/logs/ex225_r72_posnorm_mant0_override_abc_g_aig.evaluate.py.log,sub-fp16-int-micro-r72,official evaluate.py OK; runtime_sec=1.373,ex225|fp16_log10_posnormal_mant0_predicate|mant0_exact_signexp_cone_over_current_source|shared_mant0_special_predicate|yosys_abc_g_aig|abc_xf_official_evaluate|local_mant0_only,/usr/bin/python3 /home/b10507053/ALS_Final_Project/evaluate.py --case ex225 --output /home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex225/official_eval/ex225_r72_posnorm_mant0_override_abc_g_aig --timeout 90,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/evaluation_results.csv,,,,,,,,
ex260,ex260_r72_low2_column_formula_abc_g_aig,,1,88,14,1232,,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/logs/ex260_r72_low2_column_formula_abc_g_aig.evaluate.py.log,sub-fp16-int-micro-r72,official evaluate.py OK; runtime_sec=0.151,ex260|signed_product_low_carry_predicate|exact_low2_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,/usr/bin/python3 /home/b10507053/ALS_Final_Project/evaluate.py --case ex260 --output /home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/official_eval/ex260_r72_low2_column_formula_abc_g_aig --timeout 90,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/evaluation_results.csv,,,,,,,,
ex260,ex260_r72_low3_column_formula_abc_g_aig,,1,88,14,1232,,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/logs/ex260_r72_low3_column_formula_abc_g_aig.evaluate.py.log,sub-fp16-int-micro-r72,official evaluate.py OK; runtime_sec=0.157,ex260|signed_product_low_carry_predicate|exact_low3_formula_over_current_source|shared_low_column_terms|yosys_abc_g_aig|signed_low4_high4_multiply|local_low_bits,/usr/bin/python3 /home/b10507053/ALS_Final_Project/evaluate.py --case ex260 --output /home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex260/official_eval/ex260_r72_low3_column_formula_abc_g_aig --timeout 90,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/evaluation_results.csv,,,,,,,,
ex266,ex266_r72_q0_lowbdd_predicate_synth_preset_d10,,1,214,17,3638,,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex266/logs/ex266_r72_q0_lowbdd_predicate_synth_preset_d10.evaluate.py.log,sub-fp16-int-micro-r72,official evaluate.py OK; runtime_sec=0.178,ex266|udiv_low_quotient_bit_predicate|exact_q0_bdd_over_current_source|shared_low_quotient_predicate|yosys_synth_preset_d10|unsigned_low5_high5_div_dbz_sat|local_q0,/usr/bin/python3 /home/b10507053/ALS_Final_Project/evaluate.py --case ex266 --output /home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round72_20260613_1347/sub-fp16-int-micro-r72/ex266/official_eval/ex266_r72_q0_lowbdd_predicate_synth_preset_d10 --timeout 90,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp16-int-micro-r72/evaluation_results.csv,,,,,,,,
ex240,ex240_r72_numeric_mag_compare,,1,635,49,31115,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/verilog/ex240_r72_numeric_mag_compare.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/aigs/ex240_r72_numeric_mag_compare.aig,,sub-fp8-mid-micro-r72,official OK but nonwinning,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/logs/ex240_r72_numeric_mag_compare.evaluate.py.log,,,,,,
ex240,ex240_r72_numeric_compare_shared_sign,,1,635,49,31115,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/verilog/ex240_r72_numeric_compare_shared_sign.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/aigs/ex240_r72_numeric_compare_shared_sign.aig,,sub-fp8-mid-micro-r72,official OK but nonwinning,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex240/logs/ex240_r72_numeric_compare_shared_sign.evaluate.py.log,,,,,,
ex241,ex241_r72_explicit_product_wires,,1,567,30,17010,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/verilog/ex241_r72_explicit_product_wires.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/aigs/ex241_r72_explicit_product_wires.aig,,sub-fp8-mid-micro-r72,official OK but nonwinning,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/logs/ex241_r72_explicit_product_wires.evaluate.py.log,,,,,,
ex241,ex241_r72_shared_sig_eff_wires,,1,554,30,16620,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/verilog/ex241_r72_shared_sig_eff_wires.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/aigs/ex241_r72_shared_sig_eff_wires.aig,,sub-fp8-mid-micro-r72,best ex241 round72 row but nonwinning,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex241/logs/ex241_r72_shared_sig_eff_wires.evaluate.py.log,,,,,,
ex245,ex245_r72_zero_pair_bypass,,1,724,37,26788,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex245/verilog/ex245_r72_zero_pair_bypass.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex245/aigs/ex245_r72_zero_pair_bypass.aig,,sub-fp8-mid-micro-r72,official OK but nonwinning,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-mid-micro-r72/ex245/logs/ex245_r72_zero_pair_bypass.evaluate.py.log,,,,,,
