case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,method_signature,testbench_path,sim_command,sim_pass,vectors_tested,failure_summary,round,run_id,domain,simulation_pass
ex266,ex266_r74_q4_formula_current_wordmux,iverilog,not_run,0,,sub-fp16-int-hybrid-r74,truth-derived semantic q4 formula checked by official evaluate.py only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp16-int-hybrid-r74/simulation_results.csv,,,,,,,,,,
ex240,ex240_r74_action_sign_r64_high_r68_low,,,,,sub-fp8-mid-hybrid-r74,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/simulation_results.csv,ex240|E4M3FN packed add|action_sign_r64_high_r68_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,,not_run,not_run,,,,,,
ex240,ex240_r74_r64_sign_r68_high_action_low,,,,,sub-fp8-mid-hybrid-r74,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/simulation_results.csv,ex240|E4M3FN packed add|r64_sign_r68_high_action_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,,not_run,not_run,,,,,,
ex241,ex241_r74_action_sign_nested_high_wires_low,,,,,sub-fp8-mid-hybrid-r74,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/simulation_results.csv,ex241|E4M3FN packed multiply|action_sign_nested_high_wires_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,,not_run,not_run,,,,,,
ex241,ex241_r74_wires_sign_action_high_nested_low,,,,,sub-fp8-mid-hybrid-r74,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/simulation_results.csv,ex241|E4M3FN packed multiply|wires_sign_action_high_nested_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,,not_run,not_run,,,,,,
ex245,ex245_r74_action_sign_active_high_gap_low,,,,,sub-fp8-mid-hybrid-r74,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/simulation_results.csv,ex245|E5M2FN packed add|action_sign_active_high_gap_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,,not_run,not_run,,,,,,
ex245,ex245_r74_active_sign_gap_high_action_low,,,,,sub-fp8-mid-hybrid-r74,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-mid-hybrid-r74/simulation_results.csv,ex245|E5M2FN packed add|active_sign_gap_high_action_low|source_bit_slice_hybrid|repo_yosys_frontend_default|official_evaluate|sign_high_low_mix,,not_run,not_run,,,,,,
ex244,ex244_r74_hybrid_a_upper_b_lower,,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/logs/ex244_r74_hybrid_a_upper_b_lower.iverilog.log,sub-fp8-worst-hybrid-r74,syntax-only compile check,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/simulation_results.csv,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1
ex244,ex244_r74_hybrid_b_upper_a_lower,,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex244/logs/ex244_r74_hybrid_b_upper_a_lower.iverilog.log,sub-fp8-worst-hybrid-r74,syntax-only compile check,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/simulation_results.csv,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1
ex246,ex246_r74_hybrid_a_upper_b_lower,,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/logs/ex246_r74_hybrid_a_upper_b_lower.iverilog.log,sub-fp8-worst-hybrid-r74,syntax-only compile check,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/simulation_results.csv,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1
ex246,ex246_r74_hybrid_b_upper_a_lower,,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex246/logs/ex246_r74_hybrid_b_upper_a_lower.iverilog.log,sub-fp8-worst-hybrid-r74,syntax-only compile check,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/simulation_results.csv,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1
ex247,ex247_r74_hybrid_a_upper_b_lower,,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex247/logs/ex247_r74_hybrid_a_upper_b_lower.iverilog.log,sub-fp8-worst-hybrid-r74,syntax-only compile check,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/simulation_results.csv,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1
ex247,ex247_r74_hybrid_b_upper_a_lower,,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex247/logs/ex247_r74_hybrid_b_upper_a_lower.iverilog.log,sub-fp8-worst-hybrid-r74,syntax-only compile check,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/simulation_results.csv,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1
ex249,ex249_r74_hybrid_a_upper_b_lower,,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex249/logs/ex249_r74_hybrid_a_upper_b_lower.iverilog.log,sub-fp8-worst-hybrid-r74,syntax-only compile check,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/simulation_results.csv,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1
ex249,ex249_r74_hybrid_b_upper_a_lower,,,,student/work/frontend_source_parallel_round74_20260613_1438/sub-fp8-worst-hybrid-r74/ex249/logs/ex249_r74_hybrid_b_upper_a_lower.iverilog.log,sub-fp8-worst-hybrid-r74,syntax-only compile check,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1438/agent_shards/sub-fp8-worst-hybrid-r74/simulation_results.csv,,,,,,,round74,frontend_source_parallel_round74_20260613_1438,float_fp8,1
