round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,simulation_pass,area,delay,adp,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference,notes,shard_csv,variant,verified_truth,eval_log,current_frontend_adp,improves_current,improves_frontend,eval_status,synth_log,current_target_adp,official_output_dir
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low12_split_no_keep_abc_g_aig,output_boundary_grouping,fp16_log,nested_log_boundary_low12_hi15_to_12,high-vs-low grouped output assigns with no extra keep,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low12_hi15_to_12|high-vs-low_grouped_output_assigns_with_no_extra_keep|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low12_split_no_keep.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low12_split_no_keep_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low12_split_no_keep_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low12_split_no_keep_abc_g_aig/ex223_r78_low12_split_no_keep_abc_g_aig.evaluate.py.log,OK,1,not_run,10727,19,203813,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low12_split_keep_decode_abc_g_aig,output_boundary_keep_decode,fp16_log,nested_log_boundary_low12_hi15_to_12,high-vs-low grouped output assigns plus kept sign_exp/mant/active decode,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low12_hi15_to_12|high-vs-low_grouped_output_assigns_plus_kept_sign_exp/mant/active_decode|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low12_split_keep_decode.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low12_split_keep_decode_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low12_split_keep_decode_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low12_split_keep_decode_abc_g_aig/ex223_r78_low12_split_keep_decode_abc_g_aig.evaluate.py.log,OK,1,not_run,10727,20,214540,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low12_split_keep_highrun_abc_g_aig,separate_highrun_bundle,fp16_log,nested_log_boundary_low12_hi15_to_12,high-vs-low output boundary plus kept high-run output registers,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low12_hi15_to_12|high-vs-low_output_boundary_plus_kept_high-run_output_registers|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low12_split_keep_highrun.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low12_split_keep_highrun_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low12_split_keep_highrun_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low12_split_keep_highrun_abc_g_aig/ex223_r78_low12_split_keep_highrun_abc_g_aig.evaluate.py.log,OK,1,not_run,10730,20,214600,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low12_pred_helper_split_abc_g_aig,predicate_helper_boundary,fp16_log,nested_log_boundary_low12_hi15_to_12,positive-normal helper module plus grouped high-vs-low output assigns,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low12_hi15_to_12|positive-normal_helper_module_plus_grouped_high-vs-low_output_assigns|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low12_pred_helper_split.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low12_pred_helper_split_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low12_pred_helper_split_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low12_pred_helper_split_abc_g_aig/ex223_r78_low12_pred_helper_split_abc_g_aig.evaluate.py.log,OK,1,not_run,10715,20,214300,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low13_split_no_keep_abc_g_aig,output_boundary_grouping,fp16_log,nested_log_boundary_low13_hi15_to_13,high-vs-low grouped output assigns with no extra keep,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low13_hi15_to_13|high-vs-low_grouped_output_assigns_with_no_extra_keep|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low13_split_no_keep.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low13_split_no_keep_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low13_split_no_keep_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low13_split_no_keep_abc_g_aig/ex223_r78_low13_split_no_keep_abc_g_aig.evaluate.py.log,OK,1,not_run,10731,19,203889,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low13_split_keep_decode_abc_g_aig,output_boundary_keep_decode,fp16_log,nested_log_boundary_low13_hi15_to_13,high-vs-low grouped output assigns plus kept sign_exp/mant/active decode,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low13_hi15_to_13|high-vs-low_grouped_output_assigns_plus_kept_sign_exp/mant/active_decode|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low13_split_keep_decode.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low13_split_keep_decode_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low13_split_keep_decode_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low13_split_keep_decode_abc_g_aig/ex223_r78_low13_split_keep_decode_abc_g_aig.evaluate.py.log,OK,1,not_run,10718,19,203642,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low13_split_keep_highrun_abc_g_aig,separate_highrun_bundle,fp16_log,nested_log_boundary_low13_hi15_to_13,high-vs-low output boundary plus kept high-run output registers,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low13_hi15_to_13|high-vs-low_output_boundary_plus_kept_high-run_output_registers|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low13_split_keep_highrun.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low13_split_keep_highrun_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low13_split_keep_highrun_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low13_split_keep_highrun_abc_g_aig/ex223_r78_low13_split_keep_highrun_abc_g_aig.evaluate.py.log,OK,1,not_run,10724,19,203756,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low13_pred_helper_split_abc_g_aig,predicate_helper_boundary,fp16_log,nested_log_boundary_low13_hi15_to_13,positive-normal helper module plus grouped high-vs-low output assigns,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low13_hi15_to_13|positive-normal_helper_module_plus_grouped_high-vs-low_output_assigns|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low13_pred_helper_split.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low13_pred_helper_split_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low13_pred_helper_split_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low13_pred_helper_split_abc_g_aig/ex223_r78_low13_pred_helper_split_abc_g_aig.evaluate.py.log,OK,1,not_run,10765,19,204535,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low11_split_no_keep_abc_g_aig,output_boundary_grouping,fp16_log,nested_log_boundary_low11_hi15_to_11,high-vs-low grouped output assigns with no extra keep,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low11_hi15_to_11|high-vs-low_grouped_output_assigns_with_no_extra_keep|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low11_split_no_keep.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low11_split_no_keep_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low11_split_no_keep_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low11_split_no_keep_abc_g_aig/ex223_r78_low11_split_no_keep_abc_g_aig.evaluate.py.log,OK,1,not_run,10783,19,204877,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
78,frontend_source_parallel_round78_20260613_1744,sub-fp16-int-enum-r78,ex223,fp16,ex223_r78_low11_split_keep_decode_abc_g_aig,output_boundary_keep_decode,fp16_log,nested_log_boundary_low11_hi15_to_11,high-vs-low grouped output assigns plus kept sign_exp/mant/active decode,"special/default table, positive-normal high-run bundle, nested low LUT",yosys_abc_g_aig,ex223|fp16_log|nested_log_boundary_low11_hi15_to_11|high-vs-low_grouped_output_assigns_plus_kept_sign_exp/mant/active_decode|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_mtbdd_sparse_not_r76_ratio_xor_segbase_not_r77_same_split_only,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/verilog/ex223_r78_low11_split_keep_decode.v,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/aigs/ex223_r78_low11_split_keep_decode_abc_g_aig.aig,student/work/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/logs/ex223_r78_low11_split_keep_decode_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round78_20260613_1744/sub-fp16-int-enum-r78/ex223/official_eval/ex223_r78_low11_split_keep_decode_abc_g_aig/ex223_r78_low11_split_keep_decode_abc_g_aig.evaluate.py.log,OK,1,not_run,10791,19,205029,120549,189468,203490,0,0,0,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/frontend_campaigns/campaigns/frontend_source_parallel_round78_20260613_1744/agent_shards/sub-fp16-int-enum-r78/candidates.csv,,,,,,,,,,
