round,run_id,agent_id,case,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,estimated_shared_terms,notes,shard_csv,structure
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex223,ex223_r79_split_hi1_rest_abc_g_aig,fp16_log,frontend_best_source_split_after_bit15,adjacent output split with bit15 separated from bits14_0,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,adjacent neighbor above r77 bit15_14 versus bit13_0 split; source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex223,ex223_r79_split_hi3_rest_abc_g_aig,fp16_log,frontend_best_source_split_after_bit13,adjacent output split with bits15_13 separated from bits12_0,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,adjacent neighbor below r77 bit15_14 versus bit13_0 split; source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex223,ex223_r79_split_hi4_rest_abc_g_aig,fp16_log,frontend_best_source_split_after_bit12,wider high output split with bits15_12 separated from bits11_0,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,bounded wider neighbor around the high/low source boundary; source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex223,ex223_r79_split_b15_b14_low_abc_g_aig,fp16_log,frontend_best_source_single_high_bits_split,single-bit splits for both high-run outputs and one low residual group,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,single-bit high-run boundary split around r77 grouped high output; source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex223,ex223_r79_split_b13_single_abc_g_aig,fp16_log,frontend_best_source_single_bit13_split,single low-msb-adjacent bit split at bit13 with high bits grouped,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,area-heavy bit probe uses the residual MSB adjacent to the useful r77 boundary; source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex223,ex223_r79_split_b12_single_abc_g_aig,fp16_log,frontend_best_source_single_bit12_split,single adjacent residual bit split at bit12,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,second bounded area-heavy neighbor below bit13; source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex223,ex223_r79_split_hi2_keep_highrun_abc_g_aig,fp16_log,frontend_best_source_r77_boundary_keep_highrun,r77 high-vs-low output split with keep only on high-run output regs,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,keep high-run boundary without replaying r77 decode_keep; source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex223,ex223_r79_split_hi3_keep_highrun_abc_g_aig,fp16_log,frontend_best_source_bit13_boundary_keep_highrun,adjacent bit13 output split with keep only on high-run output regs,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,keep high-run boundary on the lower adjacent split; source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex225,ex225_r79_split_hi1_rest_abc_g_aig,fp16_log10,frontend_best_source_split_after_bit15,adjacent output split with bit15 separated from bits14_0,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,adjacent neighbor above r77 bit15_14 versus bit13_0 split; source student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/verilog/ex225_log_sparse_residual_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex225,ex225_r79_split_hi3_rest_abc_g_aig,fp16_log10,frontend_best_source_split_after_bit13,adjacent output split with bits15_13 separated from bits12_0,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,adjacent neighbor below r77 bit15_14 versus bit13_0 split; source student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/verilog/ex225_log_sparse_residual_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex225,ex225_r79_split_hi4_rest_abc_g_aig,fp16_log10,frontend_best_source_split_after_bit12,wider high output split with bits15_12 separated from bits11_0,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,bounded wider neighbor around the high/low source boundary; source student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/verilog/ex225_log_sparse_residual_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
,frontend_source_parallel_round79_20260613_1838,sub-fp16-source-r79,ex225,ex225_r79_split_b15_b14_low_abc_g_aig,fp16_log10,frontend_best_source_single_high_bits_split,single-bit splits for both high-run outputs and one low residual group,final output mux boundary only; source table unchanged,frontend-best nested residual source plus high-run output regs,single-bit high-run boundary split around r77 grouped high output; source student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/verilog/ex225_log_sparse_residual_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp16-source-r79/shared_structure_report.csv,
