case,domain,category,current_best_adp,current_best_area,current_best_delay,current_best_source,current_best_run,frontend_best_adp,frontend_best_run,backend_best_adp,backend_best_run,reference_adp,gap_to_reference,ratio_to_reference,priority,recommendation
ex200,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,47698,3407,14,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,54405,ex200_ex299_frontend_refgap_round2_20260612_1512,47698,newseeds_backend_full_20260614_1420_bf16_feedback_short,40052,7646,1.190902,frontend_high,rethink high-level description and shared-structure RTL
ex201,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,19513,1501,13,backend,ex200_ex219_backend_v3_ga_20260613_0956,23058,ex200_ex219_current,19513,ex200_ex219_backend_v3_ga_20260613_0956,16300,3213,1.197117,frontend_medium,add diverse frontend seeds before deeper backend
ex202,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,45080,3220,14,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,55648,ex200_ex219_current,45080,newseeds_backend_full_20260614_1420_bf16_feedback_short,43344,1736,1.040052,backend_close,case is close; prefer backend micro-optimization
ex203,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,64800,4050,16,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,77248,ex200_ex219_current,64800,newseeds_backend_full_20260614_1420_bf16_feedback_short,56948,7852,1.137880,frontend_medium,add diverse frontend seeds before deeper backend
ex204,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,19586,1399,14,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,24576,ex200_ex299_frontend_refgap_round24_20260613_0435,19586,newseeds_backend_full_20260614_1420_bf16_feedback_short,15180,4406,1.290250,frontend_high,rethink high-level description and shared-structure RTL
ex205,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,63440,3965,16,backend,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,70560,ex200_ex299_frontend_refgap_round27_20260613_0613,63440,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,47128,16312,1.346121,frontend_high,rethink high-level description and shared-structure RTL
ex206,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,444193,26129,17,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,564312,ex200_ex219_current,444193,newseeds_backend_full_20260614_1420_bf16_feedback_short,539049,-94856,0.824031,already_beat_or_low_priority,do not spend frontend time unless polishing
ex207,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,518760,28820,18,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,627333,ex200_ex219_current,518760,newseeds_backend_full_20260614_1420_bf16_feedback_short,627817,-109057,0.826292,already_beat_or_low_priority,do not spend frontend time unless polishing
ex208,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,24167,1859,13,backend,ex200_ex219_backend_v3_ga_20260613_0956,32505,ex200_ex219_current,24167,ex200_ex219_backend_v3_ga_20260613_0956,24505,-338,0.986207,already_beat_or_low_priority,do not spend frontend time unless polishing
ex209,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,6941,631,11,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,9828,ex200_ex219_current,6941,newseeds_backend_full_20260614_1420_bf16_feedback_short,7320,-379,0.948224,already_beat_or_low_priority,do not spend frontend time unless polishing
ex210,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,27014,2078,13,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,33480,ex200_ex219_current,27014,newseeds_backend_full_20260614_1420_bf16_feedback_short,27053,-39,0.998558,already_beat_or_low_priority,do not spend frontend time unless polishing
ex211,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,2160,240,9,backend,ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753,3003,ex200_ex219_current,2160,ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753,2136,24,1.011236,backend_close,case is close; prefer backend micro-optimization
ex212,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,2169,241,9,backend,ex200_ex219_backend_v3_ga_20260613_0956,3091,ex200_ex219_current,2169,ex200_ex219_backend_v3_ga_20260613_0956,2304,-135,0.941406,already_beat_or_low_priority,do not spend frontend time unless polishing
ex213,bf16,BF16 unary ops: exp/exp2/10^x/log/log2/log10/sin/tan/sinh/tanh/sigmoid/reciprocal/square/sqrt/cube/cbrt variants.,3030,303,10,backend,ex200_ex219_backend_v3_ga_20260613_0956,3806,ex200_ex219_current,3030,ex200_ex219_backend_v3_ga_20260613_0956,2900,130,1.044828,backend_close,case is close; prefer backend micro-optimization
