case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_best_run,candidate_id,method_signature,hypothesis,representation,shared_structure,verilog_path,aig_path,equivalent,simulation_pass,evaluate_log,source_type,source_campaign,source_path,reference_adp,gap_to_reference,ratio_to_reference,last_update,notes
ex200,bf16,54405,3627,15,ex200_ex299_frontend_refgap_round2_20260612_1512,ex200_bf16_sparse_residual_hilo3_abc_g_aig,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,bf16_exp_sparse_residual_compression,sparse_signexp_hilo3_residual_defaults,shared_sign_exp_decode_per_hi_sparse_residual,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/verilog/ex200_bf16_sparse_residual_hilo3.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/aigs/ex200_bf16_sparse_residual_hilo3_abc_g_aig.aig,1,not_run,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/official_eval/ex200_bf16_sparse_residual_hilo3_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex200_ex299_frontend_refgap_round2_20260612_1512,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round2_20260612_1512/results/best_improvements.csv,40052,14353,1.358359,auto,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=480; variable_groups=32; hi_groups=256; dense_entries=4096; sparse_overrides=2273
ex201,bf16,23058,1647,14,ex200_ex219_current,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,ex201|frontend|current,bf16_exp2,hilo3_field_mode_bits_3_bh1,,student/seeds/bf16/ex200_ex219_current/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.v,student/seeds/bf16/ex200_ex219_current/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,16300,6758,1.414601,auto,auto-indexed from student/runs frontend summary
ex202,bf16,55648,3478,16,ex200_ex219_current,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,ex202|frontend|current,bf16_exp10,sep_fields_e3_m3_s0_bits_14_15_bh4,,student/seeds/bf16/ex200_ex219_current/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.v,student/seeds/bf16/ex200_ex219_current/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,43344,12304,1.283869,auto,auto-indexed from student/runs frontend summary
ex203,bf16,77248,4544,17,ex200_ex219_current,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,ex203|frontend|current,bf16_log,sep_fields_e3_m3_s2_bits_14_bh2,,student/seeds/bf16/ex200_ex219_current/ex203/verilog/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.v,student/seeds/bf16/ex200_ex219_current/ex203/aigs/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,56948,20300,1.356466,auto,auto-indexed from student/runs frontend summary
ex204,bf16,24576,1536,16,ex200_ex299_frontend_refgap_round24_20260613_0435,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,ex204|bf16_log2_arithbase_delta_bitgroup_flow_neighbor|hilo3 selected-bit correction with bit_hi2 grouping and aig gate flow|shared exponent base plus selected output-bit correction tables|abc_g_aig|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|grouped word output,bf16_log2_arithbase_delta_bitgroup_flow_neighbor,hilo3 selected-bit correction with bit_hi2 grouping and aig gate flow,shared exponent base plus selected output-bit correction tables,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/verilog/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/aigs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.aig,1,not_run,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/logs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex200_ex299_frontend_refgap_round24_20260613_0435,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round24_20260613_0435/results/best_improvements.csv,15180,9396,1.618972,auto,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=11_14 bit_items=40; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction
ex205,bf16,70560,4410,16,ex200_ex299_frontend_refgap_round27_20260613_0613,ex205_r27_seedcopy_synth_preset_aig,ex205|bf16_log10_sep_fields_seed_synthflow_refinement|current sep-fields frontend seed module copy with alternate Yosys mapping|shared BF16 sign/exponent/mantissa field decode plus manual sign predicate|synth_preset_aig|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|field_grouped_word,bf16_log10_sep_fields_seed_synthflow_refinement,current sep-fields frontend seed module copy with alternate Yosys mapping,,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex205/verilog/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1__seedcopy_r27_seedcopy.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex205/official_eval/ex205_r27_seedcopy_synth_preset_aig/ex205.aig,1,,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex205/logs/ex205_r27_seedcopy_synth_preset_aig.evaluate.py.log,new_seeds_current_frontend,ex200_ex299_frontend_refgap_round27_20260613_0613,student/frontend_campaigns/frontend_best_registry.csv,47128,23432,1.497199,auto,current best imported from verified student/new_seeds catalog
ex206,bf16,564312,26872,21,ex200_ex219_current,ex206_bf16_sin_odd_pos_fullword_h4,ex206|frontend|current,bf16_sin,odd_pos_fullword_h4,,student/seeds/bf16/ex200_ex219_current/ex206/verilog/ex206_bf16_sin_odd_pos_fullword_h4.v,student/seeds/bf16/ex200_ex219_current/ex206/aigs/ex206_bf16_sin_odd_pos_fullword_h4.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,539049,25263,1.046866,auto,auto-indexed from student/runs frontend summary
ex207,bf16,627333,29873,21,ex200_ex219_current,ex207_bf16_tan_odd_pos_fullword_expflip_h4,ex207|frontend|current,bf16_tan,odd_pos_fullword_expflip_h4,,student/seeds/bf16/ex200_ex219_current/ex207/verilog/ex207_bf16_tan_odd_pos_fullword_expflip_h4.v,student/seeds/bf16/ex200_ex219_current/ex207/aigs/ex207_bf16_tan_odd_pos_fullword_expflip_h4.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,627817,-484,0.999229,auto,auto-indexed from student/runs frontend summary
ex208,bf16,32505,2167,15,ex200_ex219_current,ex208_bf16_sinh_default_in_const_excepts_h4,ex208|frontend|current,bf16_sinh,default_in_const_excepts_h4,,student/seeds/bf16/ex200_ex219_current/ex208/verilog/ex208_bf16_sinh_default_in_const_excepts_h4.v,student/seeds/bf16/ex200_ex219_current/ex208/aigs/ex208_bf16_sinh_default_in_const_excepts_h4.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,24505,8000,1.326464,auto,auto-indexed from student/runs frontend summary
ex209,bf16,9828,756,13,ex200_ex219_current,ex209_bf16_tanh_sign_exp_default_expr_casez,ex209|frontend|current,bf16_tanh,sign_exp_default_expr_casez,,student/seeds/bf16/ex200_ex219_current/ex209/verilog/ex209_bf16_tanh_sign_exp_default_expr_casez.v,student/seeds/bf16/ex200_ex219_current/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_casez.aig,1,,,official_frontend_run,,student/runs/bf16/ex200_ex219_current/results/summary.csv,7320,2508,1.342623,auto,auto-indexed from student/runs frontend summary
