case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex200,6,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2,3650,16,58400,40052,1.458104,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2;ex200_selected_highbits_low12_hilo3_abc_g_aig;ex200_semantic_default_one_casez_saturation_replay_abc_g_aig;ex200_semantic_exp_default_one_casez_all_special_abc_g_aig;ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset;ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,6,6,0,
ex201,4,ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1,1655,14,23170,16300,1.421472,ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1;ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp;ex201_bf16_exp2_hilo2_field_mode;ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1,6,4,1,not enough valid non-current frontend candidates after hash/family diversity filtering
ex202,4,ex202_bf16_exp10_hilo3_field_mode_formula_bits_14,3488,16,55808,43344,1.287560,ex202_bf16_exp10_hilo3_field_mode_formula_bits_14;ex202_bf16_exp10_sep_fields_e3_m3_s0;ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4;ex202_r94_sep_fields_e3_m3_s0_formula_bits_14_15,6,4,1,not enough valid non-current frontend candidates after hash/family diversity filtering
ex203,4,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_pla,4571,17,77707,56948,1.364526,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_pla;ex203_bf16_log_sep_fields_e2_m3_s3;ex203_r94_sep_fields_e3_m3_s2_bits_13_14_bh2;ex203_bf16_log_hilo3_word_mode_bits_14_bh3,6,4,1,not enough valid non-current frontend candidates after hash/family diversity filtering
ex204,6,ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_gates,1510,17,25670,15180,1.691041,ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_gates;ex204_arithbase_delta_hilo3_bits_11_14_replay_abc_g_aig;ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_bh2_abc_g_aig;ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_pla_abc_g_gates;ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_14_bh2_abc_g_aig;ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_gates,6,6,0,
ex205,6,ex205_r97_sf_e3m3_b14_15_abc_g_aig,4440,16,71040,47128,1.507384,ex205_r97_sf_e3m3_b14_15_abc_g_aig;ex205_r27_seedcopy_abc_g_aig;ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig;ex205_r95_bf16_log10_transform_source_reuse_out_sign_abc_g_aig;ex205_r95_bf16_log10_sep_fields_e4_m3_s0_bits_15_bh1_abc_g_aig;ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig,6,6,0,
ex206,4,ex206_bf16_sin_split_sign_word_mixed_h5_h6special,26999,21,566979,539049,1.051813,ex206_bf16_sin_split_sign_word_mixed_h5_h6special;ex206_bf16_sin_split_sign_word_h4_first;ex206_bf16_sin_split_sign_word_h4;ex206_bf16_sin_split_sign_word_h6,4,4,0,
ex207,4,ex207_bf16_tan_split_sign_word_mixed_h5_h6special,30193,21,634053,627817,1.009933,ex207_bf16_tan_split_sign_word_mixed_h5_h6special;ex207_bf16_tan_split_sign_word_h5;ex207_bf16_tan_split_sign_word_h4_first;ex207_bf16_tan_r94_odd_pos_passthrough_descriptor_h4,4,4,0,
ex208,6,ex208_bf16_sinh_legacy_split_sign_exp_mant_case,2208,15,33120,24505,1.351561,ex208_bf16_sinh_legacy_split_sign_exp_mant_case;ex208_bf16_sinh_default_in_const_excepts_h3_manual_bits_15;ex208_bf16_sinh_odd_pos_fields_e3_m3;ex208_bf16_sinh_default_in_excepts_h3;ex208_bf16_sinh_r94_default_in_const_excepts_h4_manual_bits_15;ex208_bf16_sinh_r94_default_in_const_excepts_h4_first,6,6,0,
ex209,6,ex209_bf16_tanh_legacy_sign_exp_default_expr_case,765,13,9945,7320,1.358607,ex209_bf16_tanh_legacy_sign_exp_default_expr_case;ex209_bf16_tanh_default_in_const_excepts_h4_manual_bits_15;ex209_bf16_tanh_default_in_excepts_h3;ex209_bf16_tanh_r94_sign_exp_default_expr_casez_manual_bits_15;ex209_bf16_tanh_r94_default_in_const_excepts_h4_first;ex209_bf16_tanh_default_in_const_excepts_h3_manual_bits_15,6,6,0,
ex210,6,ex210_bf16_sigmoid_const_default_0000_h3,2246,15,33690,27053,1.245333,ex210_bf16_sigmoid_const_default_0000_h3;ex210_bf16_sigmoid_const_default_3f00_h3_first;ex210_bf16_sigmoid_r94_const_default_fields_3f80_h3;ex210_bf16_sigmoid_sep_fields_e3_m3_s0;ex210_bf16_sigmoid_r94_const_default_3f80_h3_first;ex210_bf16_sigmoid_aggr_semantic_field_reassembly,6,6,0,
ex211,6,ex211_bf16_reciprocal_aggr_semantic_positive_symmetry_fields,275,11,3025,2136,1.416199,ex211_bf16_reciprocal_aggr_semantic_positive_symmetry_fields;ex211_bf16_reciprocal_hand_recip_formula_mant_lut;ex211_r94_bf16_reciprocal_hand_recip_formula_signmag_add_lut;ex211_bf16_reciprocal_legacy_exp_mant_delta_pair;ex211_r94_bf16_reciprocal_delta_pair_mode_hilo3;ex211_r94_bf16_reciprocal_odd_pos_fields_e3_m3,6,6,0,
ex212,6,ex212_bf16_square_delta_pair_mode_hilo4,282,11,3102,2304,1.346354,ex212_bf16_square_delta_pair_mode_hilo4;ex212_bf16_square_delta_pair_first_hilo4;ex212_r94_bf16_square_delta_pair_mode_hilo3_bits_15_bh1;ex212_bf16_square_legacy_exp_mant_delta_pair;ex212_r94_bf16_square_hand_square_formula_mant_lut;ex212_bf16_square_arith_semantic_fields,6,6,0,
ex213,5,ex213_bf16_sqrt_sep_fields_e3_m3_s3_bits_14_bh1,333,12,3996,2900,1.377931,ex213_bf16_sqrt_sep_fields_e3_m3_s3_bits_14_bh1;ex213_bf16_sqrt_sep_fields_e3_m3_s3;ex213_r94_bf16_sqrt_sep_fields_e2_m4_s3_bits_1_bh1;ex213_bf16_sqrt_arith_semantic_fields;ex213_r94_bf16_sqrt_sqrt_pos_nan_fields_e4_m3,6,5,1,not enough valid non-current frontend candidates after hash/family diversity filtering
ex214,6,ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_caseattrs,337,11,3707,2424,1.529290,ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_caseattrs;ex214_r96_bf16_recip_square_current_abc_g_aig;ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_runs_fix;ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_bh1_caseattrs;ex214_bf16_reciprocal_square_legacy_default_expr_exception_case;ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_15_cmp_caseattrs,6,6,0,
ex215,6,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2,390,12,4680,3150,1.485714,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2;ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3;ex215_bf16_reciprocal_sqrt_legacy_sign_pair_case;ex215_r94_bf16_reciprocal_sqrt_delta_pair_mode_hilo4_bits_9_bh1;ex215_bf16_reciprocal_sqrt_aggr_semantic_exp_delta_fields;ex215_r94_bf16_reciprocal_sqrt_arith_semantic_fields,6,6,0,
