case,candidate_id,hypothesis,function_guess,variant,method_signature,verilog_path,aig_path,metadata_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,classification,selection_reason,source_kind,source_csv,source_run,source_verilog_path,source_aig_path,source_evaluate_log,aig_sha256,verilog_sha256,notes
ex200,ex200_bf16_sparse_residual_hilo3_abc_g_aig,bf16_exp_sparse_residual_compression,,sparse_signexp_hilo3_residual_defaults,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,student/new_seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_sparse_residual_hilo3_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_sparse_residual_hilo3_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_current/ex200/metadata/ex200_bf16_sparse_residual_hilo3_abc_g_aig.json,1,1,OK,3627,15,54405,40052,1.358359,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex299_frontend_refgap_round2_20260612_1512,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/verilog/ex200_bf16_sparse_residual_hilo3.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/aigs/ex200_bf16_sparse_residual_hilo3_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex200/official_eval/ex200_bf16_sparse_residual_hilo3_abc_g_aig.evaluate.py.log,fd790e28901e1175fd8f81ab84b88929923478b4f59e83755456a817078c4a0d,65c76d666b63628d895292628e869fff62d763d0de60ba292bba1bef56343846,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=480; variable_groups=32; hi_groups=256; dense_entries=4096; sparse_overrides=2273
ex201,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,bf16_exp2,,hilo3_field_mode_bits_3_bh1,ex201|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.v,student/new_seeds/bf16/ex200_ex219_current/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,student/new_seeds/bf16/ex200_ex219_current/ex201/metadata/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.json,1,1,OK,1647,14,23058,16300,1.414601,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.v,student/seeds/bf16/ex200_ex219_current/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,,c68e8bd04c130ae5da6257abf302ccdaf8efedffffdd18171cccd250864649e3,a8028068c9ea871c11656de01dcde3d4b6d88c7815c1a3eeaf97980326a4a53a,auto-indexed from student/runs frontend summary
ex202,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,bf16_exp10,,sep_fields_e3_m3_s0_bits_14_15_bh4,ex202|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.v,student/new_seeds/bf16/ex200_ex219_current/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,student/new_seeds/bf16/ex200_ex219_current/ex202/metadata/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.json,1,1,OK,3478,16,55648,43344,1.283869,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.v,student/seeds/bf16/ex200_ex219_current/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,,f57188285096e1bb9aa740c05948d3c26b25f072c1fadb11e72042fb5cf22ced,16a15e83124b1968b787162c979f54f8376ac9294017cd3f13ad352203d9eeab,auto-indexed from student/runs frontend summary
ex203,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,bf16_log,,sep_fields_e3_m3_s2_bits_14_bh2,ex203|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex203/verilog/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.v,student/new_seeds/bf16/ex200_ex219_current/ex203/aigs/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.aig,student/new_seeds/bf16/ex200_ex219_current/ex203/metadata/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.json,1,1,OK,4544,17,77248,56948,1.356466,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex203/verilog/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.v,student/seeds/bf16/ex200_ex219_current/ex203/aigs/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.aig,,0e432877acf2234c35aa6317d5e91eb563a45ec36aff6c17557cba2608e2a7a3,27bb6fe4e7b34f529dfd7eed6c66d1eccd00dbb4fda41f73bd888f65eded5839,auto-indexed from student/runs frontend summary
ex204,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,bf16_log2_arithbase_delta_bitgroup_flow_neighbor,,hilo3 selected-bit correction with bit_hi2 grouping and aig gate flow,ex204|bf16_log2_arithbase_delta_bitgroup_flow_neighbor|hilo3 selected-bit correction with bit_hi2 grouping and aig gate flow|shared exponent base plus selected output-bit correction tables|abc_g_aig|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|grouped word output,student/new_seeds/bf16/ex200_ex219_current/ex204/verilog/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex204/aigs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_current/ex204/metadata/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.json,1,1,OK,1536,16,24576,15180,1.618972,0,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex299_frontend_refgap_round24_20260613_0435,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/verilog/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/aigs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/logs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.evaluate.py.log,16c0df6628255caf7374703bbc542de0ebecd10d964acf93a2f07447606232c5,c6d5f2602f1c4a2014acaed50ed88717a5e40953655cbad19cd9f18c03cbf38a,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=11_14 bit_items=40; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction
ex205,ex205_r27_seedcopy_synth_preset_aig,bf16_log10_sep_fields_seed_synthflow_refinement,,current sep-fields frontend seed module copy with alternate Yosys mapping,ex205|bf16_log10_sep_fields_seed_synthflow_refinement|current sep-fields frontend seed module copy with alternate Yosys mapping|shared BF16 sign/exponent/mantissa field decode plus manual sign predicate|synth_preset_aig|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|field_grouped_word,student/new_seeds/bf16/ex200_ex219_current/ex205/verilog/ex205_r27_seedcopy_synth_preset_aig.v,student/new_seeds/bf16/ex200_ex219_current/ex205/aigs/ex205_r27_seedcopy_synth_preset_aig.aig,student/new_seeds/bf16/ex200_ex219_current/ex205/metadata/ex205_r27_seedcopy_synth_preset_aig.json,1,1,OK,4410,16,70560,47128,1.497199,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex299_frontend_refgap_round27_20260613_0613,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex205/verilog/ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1__seedcopy_r27_seedcopy.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex205/official_eval/ex205_r27_seedcopy_synth_preset_aig/ex205.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/mixed-uncovered-r27/ex205/logs/ex205_r27_seedcopy_synth_preset_aig.evaluate.py.log,d3d095aaf0ffbac799ec741c73bc070b4459ba714b40b8760a250d77ceb84ba7,f31939a3794fe1a28296501bd3fea34f11148562176a9879864abdd5abb00207,current best imported from verified student/new_seeds catalog
ex206,ex206_bf16_sin_odd_pos_fullword_h4,bf16_sin,,odd_pos_fullword_h4,ex206|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex206/verilog/ex206_bf16_sin_odd_pos_fullword_h4.v,student/new_seeds/bf16/ex200_ex219_current/ex206/aigs/ex206_bf16_sin_odd_pos_fullword_h4.aig,student/new_seeds/bf16/ex200_ex219_current/ex206/metadata/ex206_bf16_sin_odd_pos_fullword_h4.json,1,1,OK,26872,21,564312,539049,1.046866,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex206/verilog/ex206_bf16_sin_odd_pos_fullword_h4.v,student/seeds/bf16/ex200_ex219_current/ex206/aigs/ex206_bf16_sin_odd_pos_fullword_h4.aig,,5ac573d4801a928ff03206e18271bda6154360be46bdc2ba6c7cf5c7fe0bb510,170f35d276b2738890b0bdfbc94c7837196598b78c350df3639f91ca55b06e86,auto-indexed from student/runs frontend summary
ex207,ex207_bf16_tan_odd_pos_fullword_expflip_h4,bf16_tan,,odd_pos_fullword_expflip_h4,ex207|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex207/verilog/ex207_bf16_tan_odd_pos_fullword_expflip_h4.v,student/new_seeds/bf16/ex200_ex219_current/ex207/aigs/ex207_bf16_tan_odd_pos_fullword_expflip_h4.aig,student/new_seeds/bf16/ex200_ex219_current/ex207/metadata/ex207_bf16_tan_odd_pos_fullword_expflip_h4.json,1,1,OK,29873,21,627333,627817,0.999229,1,1,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex207/verilog/ex207_bf16_tan_odd_pos_fullword_expflip_h4.v,student/seeds/bf16/ex200_ex219_current/ex207/aigs/ex207_bf16_tan_odd_pos_fullword_expflip_h4.aig,,a629a15283cc7f24944bb564da48e035b532488db081c502a57e804195829e0e,129014138489bd0907abfa05c6f299dc3e21be4cac422e389c46ec2479b96e69,auto-indexed from student/runs frontend summary
ex208,ex208_bf16_sinh_default_in_const_excepts_h4,bf16_sinh,,default_in_const_excepts_h4,ex208|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex208/verilog/ex208_bf16_sinh_default_in_const_excepts_h4.v,student/new_seeds/bf16/ex200_ex219_current/ex208/aigs/ex208_bf16_sinh_default_in_const_excepts_h4.aig,student/new_seeds/bf16/ex200_ex219_current/ex208/metadata/ex208_bf16_sinh_default_in_const_excepts_h4.json,1,1,OK,2167,15,32505,24505,1.326464,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex208/verilog/ex208_bf16_sinh_default_in_const_excepts_h4.v,student/seeds/bf16/ex200_ex219_current/ex208/aigs/ex208_bf16_sinh_default_in_const_excepts_h4.aig,,4cd28d6af61394227a60ed101d84b1de231f56d568adba3ac596c34d0903c092,1d8f455a132af79578415fda11de655ca3f0c6e1bb23009632448e5ea8db391c,auto-indexed from student/runs frontend summary
ex209,ex209_bf16_tanh_sign_exp_default_expr_casez,bf16_tanh,,sign_exp_default_expr_casez,ex209|frontend|current,student/new_seeds/bf16/ex200_ex219_current/ex209/verilog/ex209_bf16_tanh_sign_exp_default_expr_casez.v,student/new_seeds/bf16/ex200_ex219_current/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_casez.aig,student/new_seeds/bf16/ex200_ex219_current/ex209/metadata/ex209_bf16_tanh_sign_exp_default_expr_casez.json,1,1,OK,756,13,9828,7320,1.342623,1,0,frontend_verified,current_best,frontend_best_registry,student/frontend_campaigns/frontend_best_registry.csv,ex200_ex219_current,student/seeds/bf16/ex200_ex219_current/ex209/verilog/ex209_bf16_tanh_sign_exp_default_expr_casez.v,student/seeds/bf16/ex200_ex219_current/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_casez.aig,,3940a7c9fab4e33bff30de6033324b989c81397998c51734948757f0692cbe64,d02c4c4dbf92b4888d6ae4336666a774a8f8269e47ed29aac2f7c080aa6a5f96,auto-indexed from student/runs frontend summary
