case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex200,1,ex200_bf16_sparse_residual_hilo3_abc_g_aig,3627,15,54405,40052,1.358359,ex200_bf16_sparse_residual_hilo3_abc_g_aig,1,1,0,
ex201,1,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,1647,14,23058,16300,1.414601,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,1,1,0,
ex202,1,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,3478,16,55648,43344,1.283869,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,1,1,0,
ex203,1,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,4544,17,77248,56948,1.356466,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,1,1,0,
ex204,1,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,1536,16,24576,15180,1.618972,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,1,1,0,
ex205,1,ex205_r27_seedcopy_synth_preset_aig,4410,16,70560,47128,1.497199,ex205_r27_seedcopy_synth_preset_aig,1,1,0,
ex206,1,ex206_bf16_sin_odd_pos_fullword_h4,26872,21,564312,539049,1.046866,ex206_bf16_sin_odd_pos_fullword_h4,1,1,0,
ex207,1,ex207_bf16_tan_odd_pos_fullword_expflip_h4,29873,21,627333,627817,0.999229,ex207_bf16_tan_odd_pos_fullword_expflip_h4,1,1,0,
ex208,1,ex208_bf16_sinh_default_in_const_excepts_h4,2167,15,32505,24505,1.326464,ex208_bf16_sinh_default_in_const_excepts_h4,1,1,0,
ex209,1,ex209_bf16_tanh_sign_exp_default_expr_casez,756,13,9828,7320,1.342623,ex209_bf16_tanh_sign_exp_default_expr_casez,1,1,0,
ex210,1,ex210_bf16_sigmoid_const_default_3f80_h3,2232,15,33480,27053,1.237571,ex210_bf16_sigmoid_const_default_3f80_h3,1,1,0,
ex211,1,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,273,11,3003,2136,1.405899,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,1,1,0,
ex212,1,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,281,11,3091,2304,1.341580,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,1,1,0,
ex213,1,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,346,11,3806,2900,1.312414,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,1,1,0,
ex214,1,ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig,324,11,3564,2424,1.470297,ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig,1,1,0,
ex215,1,ex215_r8_caseattrs_abc_g_aig,389,12,4668,3150,1.481905,ex215_r8_caseattrs_abc_g_aig,1,1,0,
ex216,1,ex216_r4_current_source_abc_g_aig,440,13,5720,3357,1.703902,ex216_r4_current_source_abc_g_aig,1,1,0,
ex217,1,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,623,13,8099,5785,1.400000,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,1,1,0,
ex218,1,ex218_field_selector_abc_g_aig,457,13,5941,3222,1.843886,ex218_field_selector_abc_g_aig,1,1,0,
ex219,1,ex219_r4_current_source_abc_g_aig,657,13,8541,5640,1.514362,ex219_r4_current_source_abc_g_aig,1,1,0,
