case,status,evaluate_area,evaluate_delay,evaluate_adp,selection_area,selection_delay,selection_adp,qor_match,candidate_id,aig_path
ex200,OK,3627,15,54405,3627,15,54405,1,ex200_bf16_sparse_residual_hilo3_abc_g_aig,student/new_seeds/bf16/ex200_ex219_current/ex200/aigs/ex200_bf16_sparse_residual_hilo3_abc_g_aig.aig
ex201,OK,1647,14,23058,1647,14,23058,1,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,student/new_seeds/bf16/ex200_ex219_current/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig
ex202,OK,3478,16,55648,3478,16,55648,1,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,student/new_seeds/bf16/ex200_ex219_current/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig
ex203,OK,4544,17,77248,4544,17,77248,1,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,student/new_seeds/bf16/ex200_ex219_current/ex203/aigs/ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2.aig
ex204,OK,1536,16,24576,1536,16,24576,1,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,student/new_seeds/bf16/ex200_ex219_current/ex204/aigs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig.aig
ex205,OK,4410,16,70560,4410,16,70560,1,ex205_r27_seedcopy_synth_preset_aig,student/new_seeds/bf16/ex200_ex219_current/ex205/aigs/ex205_r27_seedcopy_synth_preset_aig.aig
ex206,OK,26872,21,564312,26872,21,564312,1,ex206_bf16_sin_odd_pos_fullword_h4,student/new_seeds/bf16/ex200_ex219_current/ex206/aigs/ex206_bf16_sin_odd_pos_fullword_h4.aig
ex207,OK,29873,21,627333,29873,21,627333,1,ex207_bf16_tan_odd_pos_fullword_expflip_h4,student/new_seeds/bf16/ex200_ex219_current/ex207/aigs/ex207_bf16_tan_odd_pos_fullword_expflip_h4.aig
ex208,OK,2167,15,32505,2167,15,32505,1,ex208_bf16_sinh_default_in_const_excepts_h4,student/new_seeds/bf16/ex200_ex219_current/ex208/aigs/ex208_bf16_sinh_default_in_const_excepts_h4.aig
ex209,OK,756,13,9828,756,13,9828,1,ex209_bf16_tanh_sign_exp_default_expr_casez,student/new_seeds/bf16/ex200_ex219_current/ex209/aigs/ex209_bf16_tanh_sign_exp_default_expr_casez.aig
ex210,OK,2232,15,33480,2232,15,33480,1,ex210_bf16_sigmoid_const_default_3f80_h3,student/new_seeds/bf16/ex200_ex219_current/ex210/aigs/ex210_bf16_sigmoid_const_default_3f80_h3.aig
ex211,OK,273,11,3003,273,11,3003,1,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,student/new_seeds/bf16/ex200_ex219_current/ex211/aigs/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.aig
ex212,OK,281,11,3091,281,11,3091,1,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,student/new_seeds/bf16/ex200_ex219_current/ex212/aigs/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.aig
ex213,OK,346,11,3806,346,11,3806,1,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,student/new_seeds/bf16/ex200_ex219_current/ex213/aigs/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.aig
ex214,OK,324,11,3564,324,11,3564,1,ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig,student/new_seeds/bf16/ex200_ex219_current/ex214/aigs/ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig.aig
ex215,OK,389,12,4668,389,12,4668,1,ex215_r8_caseattrs_abc_g_aig,student/new_seeds/bf16/ex200_ex219_current/ex215/aigs/ex215_r8_caseattrs_abc_g_aig.aig
ex216,OK,440,13,5720,440,13,5720,1,ex216_r4_current_source_abc_g_aig,student/new_seeds/bf16/ex200_ex219_current/ex216/aigs/ex216_r4_current_source_abc_g_aig.aig
ex217,OK,623,13,8099,623,13,8099,1,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,student/new_seeds/bf16/ex200_ex219_current/ex217/aigs/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.aig
ex218,OK,457,13,5941,457,13,5941,1,ex218_field_selector_abc_g_aig,student/new_seeds/bf16/ex200_ex219_current/ex218/aigs/ex218_field_selector_abc_g_aig.aig
