case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex240,1,ex240_r64_signmag_selected_output_factor_synth_preset,610,43,26230,13299,1.972329,ex240_r64_signmag_selected_output_factor_synth_preset,1,1,0,
ex241,1,ex241_r71_caseattrs_outputsplit,531,29,15399,7224,2.131645,ex241_r71_caseattrs_outputsplit,1,1,0,
ex242,1,ex242_r8_axis_numzero_shell_abc_g_aig_frontend,841,20,16820,11900,1.413445,ex242_r8_axis_numzero_shell_abc_g_aig_frontend,1,1,0,
ex243,1,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig,1790,27,48330,53227,0.907998,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig,1,1,0,
ex244,1,ex244_r7_satbit_regroup_synth_preset_aig,311,32,9952,4272,2.329588,ex244_r7_satbit_regroup_synth_preset_aig,1,1,0,
ex245,1,ex245_r11_r89_active_branch_muxclean,696,33,22968,11050,2.078552,ex245_r11_r89_active_branch_muxclean,1,1,0,
ex246,1,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,341,22,7502,2805,2.674510,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,1,1,0,
ex247,1,ex247_r5_lowpred_truth_case_abc_g_aig_frontend,249,26,6474,2975,2.176134,ex247_r5_lowpred_truth_case_abc_g_aig_frontend,1,1,0,
ex248,1,ex248_r8_split_payload_shell_abc_g_aig_frontend,290,27,7830,4180,1.873206,ex248_r8_split_payload_shell_abc_g_aig_frontend,1,1,0,
ex249,1,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,168,26,4368,2079,2.101010,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,1,1,0,
ex250,1,ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig,413,41,16933,20355,0.831884,ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig,1,1,0,
ex251,1,ex251_semantic_int3_dot2_arith_qcase_abc_g_aig,495,38,18810,39270,0.478992,ex251_semantic_int3_dot2_arith_qcase_abc_g_aig,1,1,0,
ex252,1,ex252_semantic_u2_dot4_handmul_balanced_qcase_default,145,21,3045,2603,1.169804,ex252_semantic_u2_dot4_handmul_balanced_qcase_default,1,1,0,
ex253,1,ex253_semantic_u2_sum8_popcount_laneqcase_default,126,18,2268,1845,1.229268,ex253_semantic_u2_sum8_popcount_laneqcase_default,1,1,0,
ex254,1,ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig,662,55,36410,38220,0.952643,ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig,1,1,0,
