case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex220,1,ex220_fp16_exp_exp_mant_pair_case,10754,22,236588,180404,1.311434,ex220_fp16_exp_exp_mant_pair_case,1,1,0,
ex221,1,ex221_varying_signexp_nested_low10_hi5_abc_g_aig,6811,18,122598,105655,1.160362,ex221_varying_signexp_nested_low10_hi5_abc_g_aig,1,1,0,
ex222,1,ex222_fp16_exp10_positive_default_exp_mant_case,10615,22,233530,173621,1.345056,ex222_fp16_exp10_positive_default_exp_mant_case,1,1,0,
ex223,1,ex223_catalog_source_d18_synth_preset_aig_d18,10564,19,200716,120549,1.665016,ex223_catalog_source_d18_synth_preset_aig_d18,1,1,0,
ex224,1,ex224_expbase_xor_low12_hi6_synth_preset_aig,5817,16,93072,64708,1.438338,ex224_expbase_xor_low12_hi6_synth_preset_aig,1,1,0,
ex225,1,ex225_catalog_source_d18_synth_preset_aig_d18,11356,19,215764,116676,1.849258,ex225_catalog_source_d18_synth_preset_aig_d18,1,1,0,
ex226,1,ex226_positive_default_exp_mant_case_abc_g_aig,33356,22,733832,587790,1.248459,ex226_positive_default_exp_mant_case_abc_g_aig,1,1,0,
ex227,1,ex227_positive_default_exp_mant_case_abc_g_aig,40629,22,893838,721639,1.238622,ex227_positive_default_exp_mant_case_abc_g_aig,1,1,0,
ex228,1,ex228_semantic_sign_exp_field_defaults_abc_g_aig,6627,20,132540,101205,1.309619,ex228_semantic_sign_exp_field_defaults_abc_g_aig,1,1,0,
ex229,1,ex229_odd_nested_low9_hi6_abc_g_aig,3957,16,63312,57968,1.092189,ex229_odd_nested_low9_hi6_abc_g_aig,1,1,0,
ex230,1,ex230_exp_mant_pair_case_abc_g_aig,6969,20,139380,108320,1.286743,ex230_exp_mant_pair_case_abc_g_aig,1,1,0,
ex231,1,ex231_abc_g_aig_abc_g_aig,1163,14,16282,14066,1.157543,ex231_abc_g_aig_abc_g_aig,1,1,0,
ex232,1,ex232_attr_abc_g_aig,1240,13,16120,13392,1.203704,ex232_attr_abc_g_aig,1,1,0,
ex233,1,ex233_abc_g_aig_abc_g_aig,1530,15,22950,20174,1.137603,ex233_abc_g_aig_abc_g_aig,1,1,0,
ex234,1,ex234_boundary_wordmode_mh5_abc_g_aig,1278,14,17892,15561,1.149798,ex234_boundary_wordmode_mh5_abc_g_aig,1,1,0,
ex235,1,ex235_direct_special_low8_hi6_synth_preset,1628,14,22792,20800,1.095769,ex235_direct_special_low8_hi6_synth_preset,1,1,0,
ex236,1,ex236_core_clamp_hi6_abc_g_aig,1432,15,21480,17290,1.242337,ex236_core_clamp_hi6_abc_g_aig,1,1,0,
ex237,1,ex237_direct_special_low10_hi6_synth_preset,1889,16,30224,25440,1.188050,ex237_direct_special_low10_hi6_synth_preset,1,1,0,
ex238,1,ex238_r27_core_boundary_low12_hi6_synth_preset_recheck,1502,15,22530,16549,1.361412,ex238_r27_core_boundary_low12_hi6_synth_preset_recheck,1,1,0,
ex239,1,ex239_direct_special_low7_hi6_abc_g_aig,2026,16,32416,25965,1.248450,ex239_direct_special_low7_hi6_abc_g_aig,1,1,0,
