case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex280,ex280_unknown_shared_bdd_12x12_ex280_sift_449,unknown_shared_bdd_12x12,ex280_sift_449,student/work/target_ex280_bdd_eval/ex280/verilog/ex280_unknown_shared_bdd_12x12_ex280_sift_449.v,student/work/target_ex280_bdd_eval/ex280/aigs/ex280_unknown_shared_bdd_12x12_ex280_sift_449.aig,1,1,958,21,20118,2415,8.330435,0,0,structural_exact,unknown function shared-BDD Verilog seed
ex281,ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_synth_preset,unknown_shared_bdd_13x13,synth_preset,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex281/verilog/ex281_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex281/aigs/ex281_order_0_12_1_11_2_10_3_9_4_8_5_7_6_synth_preset.aig,1,1,1158,22,25476,2336,10.905822,0,0,synthflow_exact,Yosys synth preset with flatten
ex282,ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig,unknown_shared_bdd_14x14,abc_g_aig,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex282/verilog/ex282_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex282/aigs/ex282_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig.aig,1,1,1313,24,31512,2704,11.653846,0,0,synthflow_exact,Yosys abc gate set aig
ex283,ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig,unknown_shared_bdd_15x15,abc_g_aig,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex283/verilog/ex283_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex283/aigs/ex283_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7_abc_g_aig.aig,1,1,1494,26,38844,3168,12.261364,0,0,synthflow_exact,Yosys abc gate set aig
ex284,ex284_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_abc_g_aig,unknown_shared_bdd_16x16,abc_g_aig,student/work/ex280_ex284_frontend_bdd_interleave_20260608_1120/ex284/verilog/ex284_unknown_shared_bdd_16x16_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8.v,student/work/ex281_ex284_frontend_bdd_synthflow_20260608_1135/ex284/aigs/ex284_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_abc_g_aig.aig,1,1,1727,29,50083,4240,11.812028,0,0,synthflow_exact,Yosys abc gate set aig
ex285,ex285_decision_tree_greedy_synth_preset,unknown_12x12,synth_preset,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_synth_preset.aig,1,1,775,17,13175,5499,2.395890,0,0,synthflow_exact,Yosys synth preset with flatten
ex286,ex286_interleave_f00_k4_onehot_group_synth_preset,unknown_symmetry_cofactor_classonehot,synth_preset,student/work/ex286_frontend_symcof_selector_20260609_0822/ex286/verilog/ex286_unknown_symcof_interleave_f00_k4_onehot_group.v,student/work/ex286_frontend_symcof_selector_synthpreset_20260609_0938/ex286/aigs/ex286_interleave_f00_k4_onehot_group_synth_preset.aig,1,1,1425,16,22800,2376,9.595960,0,0,synthflow_exact,Yosys synth preset with flatten
ex287,ex287_interleave_f00_k4_onehot_group_synth_preset,unknown_symmetry_cofactor_classonehot,synth_preset,student/work/ex287_frontend_symcof_selector_20260609_0828/ex287/verilog/ex287_unknown_symcof_interleave_f00_k4_onehot_group.v,student/work/ex287_frontend_symcof_selector_synthpreset_20260609_0938/ex287/aigs/ex287_interleave_f00_k4_onehot_group_synth_preset.aig,1,1,1699,18,30582,5782,5.289173,0,0,synthflow_exact,Yosys synth preset with flatten
ex288,ex288_interleave_f10_k4_case_group_synth_preset,unknown_symmetry_cofactor_classonehot,synth_preset,student/work/ex288_frontend_symcof_selector01_20260609_0847/ex288/verilog/ex288_unknown_symcof_interleave_f10_k4_case_group.v,student/work/ex288_frontend_symcof_selector01_synthpreset_20260609_0938/ex288/aigs/ex288_interleave_f10_k4_case_group_synth_preset.aig,1,1,1872,18,33696,16394,2.055386,0,0,synthflow_exact,Yosys synth preset with flatten
ex289,ex289_interleave_f00_bits_0_1_12_13_case_group_synth_preset,unknown_symmetry_cofactor_classonehot,synth_preset,student/work/ex289_frontend_multipair_selector_20260609_0927/ex289/verilog/ex289_unknown_symcof_interleave_f00_bits_0_1_12_13_case_group.v,student/work/ex289_frontend_multipair_selector_synthflow_20260609_0929/ex289/aigs/ex289_interleave_f00_bits_0_1_12_13_case_group_synth_preset.aig,1,1,1325,19,25175,13620,1.848385,0,0,synthflow_exact,Yosys synth preset with flatten
