case,candidate_id,family_id,parent_id,parent_hash,source,tool,tool_chain,command,command_expanded,params_json,aig_path,aig_hash,verilog_path,seed_origin,area,delay,adp,parent_area,parent_delay,parent_adp,delta_area,delta_delay,delta_adp,equivalent,round,phase,tier,runtime_sec,is_pareto,is_near_pareto,is_active,is_new_pareto,duplicate_of,notes
ex200,ex200_r005_mockturtle_mockturtle_balance_resub_pex200_r004_mockturtle_mo_a3587_d15_adp53805_277a524a,alt03,ex200_r004_mockturtle_mockturtle_balance_resub_pex200_r003_mockturtle_mo_a3588_d15_adp53820_1a9d0af6,1a9d0af687e0a72a612ec36aa007759c2896124f29ff59be68479b2bfe5e7169,mockturtle,mockturtle,mockturtle_balance_resub,balance_resub,balance_resub,"{""flow"": ""balance_resub""}",student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex200/artifacts/ex200_r005_mockturtle_mockturtle_balance_resub_pex200_r004_mockturtle_mo_a3587_d15_adp53805_277a524a.aig,277a524abc38b0487511132d80abd73d60a4151e808023b21aeecb4ac6058fc9,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3587,15,53805,3588,15,53820,-1,0,-15,1,5,mockturtle,0,0.825,1,0,1,1,,
ex201,ex201_r008_culs_culs_resyn2_pex201_r007_culs_culs_res_a1506_d14_adp21084_0e59f3e0,alt02,ex201_r007_culs_culs_resyn2_pex201_r006_culs_culs_res_a1506_d14_adp21084_ccbd9b93,ccbd9b9330c13a4a74ec24f522392dbc42192542b62a998d6dbc071ca6bcf0ee,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex201/artifacts/ex201_r008_culs_culs_resyn2_pex201_r007_culs_culs_res_a1506_d14_adp21084_0e59f3e0.aig,0e59f3e063311554f98767042ce8da4559bff44cd5ef41b088f282ebdcb2e806,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,1506,14,21084,1506,14,21084,0,0,0,1,8,culs,0,1.222,1,0,1,1,,
ex202,ex202_r008_culs_culs_resyn2_pex202_r007_culs_culs_res_a3339_d15_adp50085_fb25960f,alt02,ex202_r007_culs_culs_resyn2_pex202_r006_culs_culs_res_a3340_d15_adp50100_86a634d6,86a634d68fff56e7cbd457dcdbd9be468f640a82ace5f5d02b7ed1a6166ff05d,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex202/artifacts/ex202_r008_culs_culs_resyn2_pex202_r007_culs_culs_res_a3339_d15_adp50085_fb25960f.aig,fb25960fb1efcde0481a933c6eb48fd62c131898569df1f526a84d9d4c079a39,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3339,15,50085,3340,15,50100,-1,0,-15,1,8,culs,0,1.505,1,0,1,1,,
ex203,ex203_r008_culs_culs_resyn2_pex203_r007_culs_culs_res_a4285_d16_adp68560_fbff1596,alt01,ex203_r007_culs_culs_resyn2_pex203_r006_culs_culs_res_a4289_d16_adp68624_438bd012,438bd0123bec3a9d5e6300e47c09ac12c42e42324a2e9450bd2b05d4cef2daca,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex203/artifacts/ex203_r008_culs_culs_resyn2_pex203_r007_culs_culs_res_a4285_d16_adp68560_fbff1596.aig,fbff15969e2d34d5a7f846a25498097890448932652f0d9920582208438c84dc,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,4285,16,68560,4289,16,68624,-4,0,-64,1,8,culs,0,2.237,1,0,1,1,,
ex204,ex204_r007_culs_culs_resyn2_pex204_r006_culs_culs_res_a1445_d16_adp23120_13c215ac,alt01,ex204_r006_culs_culs_resyn2_pex204_r005_mockturtle_mo_a1449_d16_adp23184_c69a5ff5,c69a5ff5a8de266f46a5cb623e47fcb61c95c5dc30aeca78a14455fc91c7e9ae,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex204/artifacts/ex204_r007_culs_culs_resyn2_pex204_r006_culs_culs_res_a1445_d16_adp23120_13c215ac.aig,13c215ac1a3876e670cb71f3d4234fd1cc45e481753cfd5a608906227ef7c85b,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,1445,16,23120,1449,16,23184,-4,0,-64,1,7,culs,0,1.730,1,0,1,1,,
ex205,ex205_r008_culs_culs_resyn2_pex205_r007_culs_culs_res_a4150_d16_adp66400_8926fe99,alt03,ex205_r007_culs_culs_resyn2_pex205_r006_culs_culs_res_a4159_d16_adp66544_ca7bfaa8,ca7bfaa87f078c02491f875cb70cd27a24801d8536c4ce6bdd8492f277ea03a0,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex205/artifacts/ex205_r008_culs_culs_resyn2_pex205_r007_culs_culs_res_a4150_d16_adp66400_8926fe99.aig,8926fe99a847b8dd4df4c3bd20b043c36d418b5731e34e6654c11bc9c6474db5,,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,4150,16,66400,4159,16,66544,-9,0,-144,1,8,culs,0,2.324,1,0,1,1,,
ex206,ex206_r008_culs_culs_resyn2_pex206_r007_culs_culs_res_a26039_d19_adp494741_5f5c39bc,current,ex206_r007_culs_culs_resyn2_pex206_r006_culs_culs_res_a26042_d19_adp494798_a21d3e21,a21d3e219e0444d6879f8bbd0c8634df1d9dbd4af7234605aaa19a119f93ed9b,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex206/artifacts/ex206_r008_culs_culs_resyn2_pex206_r007_culs_culs_res_a26039_d19_adp494741_5f5c39bc.aig,5f5c39bc5015cf15c3658deb127e3e9814c42d190ffc0452ab53659028ff9cd7,,student/seeds/bf16/ex200_ex219_current/results/best.csv,26039,19,494741,26042,19,494798,-3,0,-57,1,8,culs,0,4.350,1,0,1,1,,
ex207,ex207_r006_culs_culs_resyn2_pex207_r004_mockturtle_mo_a28824_d19_adp547656_7fea578b,current,ex207_r004_mockturtle_mockturtle_resub_balance_pex207_r003_mockturtle_mo_a28840_d19_adp547960_28fe179b,28fe179b313fb4be4d31f60664a9ba4d0dbc6378910ee03fb2e9162aae3ab1c5,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex207/artifacts/ex207_r006_culs_culs_resyn2_pex207_r004_mockturtle_mo_a28824_d19_adp547656_7fea578b.aig,7fea578b6dba195b78760bd8ffe29f99399f2dc87b206f0de4304f342fe103b6,,student/seeds/bf16/ex200_ex219_current/results/best.csv,28824,19,547656,28840,19,547960,-16,0,-304,1,6,culs,0,4.726,1,0,1,1,,
ex208,ex208_r006_culs_culs_resyn2_pex208_r005_mockturtle_mo_a1957_d13_adp25441_01f379e8,current,ex208_r005_mockturtle_mockturtle_balance_pex208_r004_mockturtle_mo_a1966_d13_adp25558_daad7940,daad7940f9d635a3b60155039af3a67e33879103288df8f6342448d1c8b54e9f,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex208/artifacts/ex208_r006_culs_culs_resyn2_pex208_r005_mockturtle_mo_a1957_d13_adp25441_01f379e8.aig,01f379e88ad79df9432b50d0741bfb5acd3fe3e3b12680cb3730cc9391766fc5,,student/seeds/bf16/ex200_ex219_current/results/best.csv,1957,13,25441,1966,13,25558,-9,0,-117,1,6,culs,0,1.511,1,0,1,1,,
ex209,ex209_r006_culs_culs_resyn2_pex209_r003_mockturtle_mo_a670_d12_adp8040_14ad2ea1,current,ex209_r003_mockturtle_mockturtle_resub_balance_pex209_r002_abc_abc_dc2_d_a670_d12_adp8040_97df24cd,97df24cd62a272d6d50d568e02b309bddc0f678b0e02a4285043089fc09f472c,culs,culs,culs_resyn2,resyn2,read <input>; resyn2; write <output>,{},student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex209/artifacts/ex209_r006_culs_culs_resyn2_pex209_r003_mockturtle_mo_a670_d12_adp8040_14ad2ea1.aig,14ad2ea16de12b452284149baaddd82079e565259a53e232e3d56e3da555cfb9,,student/seeds/bf16/ex200_ex219_current/results/best.csv,670,12,8040,670,12,8040,0,0,0,1,6,culs,0,1.440,1,0,1,1,,
