case,best_candidate_id,best_aig_path,best_area,best_delay,best_adp,reference_area,reference_delay,reference_adp,adp_ratio_to_reference,beats_reference,pareto_points,near_pareto_points,history_rows
ex200,ex200_r005_mockturtle_mockturtle_balance_resub_pex200_r004_mockturtle_mo_a3587_d15_adp53805_277a524a,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex200/artifacts/ex200_r005_mockturtle_mockturtle_balance_resub_pex200_r004_mockturtle_mo_a3587_d15_adp53805_277a524a.aig,3587,15,53805,1292,31,40052,1.343379,0,2,64,465
ex201,ex201_r008_culs_culs_resyn2_pex201_r007_culs_culs_res_a1506_d14_adp21084_0e59f3e0,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex201/artifacts/ex201_r008_culs_culs_resyn2_pex201_r007_culs_culs_res_a1506_d14_adp21084_0e59f3e0.aig,1506,14,21084,652,25,16300,1.293497,0,3,64,486
ex202,ex202_r008_culs_culs_resyn2_pex202_r007_culs_culs_res_a3339_d15_adp50085_fb25960f,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex202/artifacts/ex202_r008_culs_culs_resyn2_pex202_r007_culs_culs_res_a3339_d15_adp50085_fb25960f.aig,3339,15,50085,3096,14,43344,1.155523,0,1,64,498
ex203,ex203_r008_culs_culs_resyn2_pex203_r007_culs_culs_res_a4285_d16_adp68560_fbff1596,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex203/artifacts/ex203_r008_culs_culs_resyn2_pex203_r007_culs_culs_res_a4285_d16_adp68560_fbff1596.aig,4285,16,68560,1238,46,56948,1.203905,0,1,64,509
ex204,ex204_r007_culs_culs_resyn2_pex204_r006_culs_culs_res_a1445_d16_adp23120_13c215ac,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex204/artifacts/ex204_r007_culs_culs_resyn2_pex204_r006_culs_culs_res_a1445_d16_adp23120_13c215ac.aig,1445,16,23120,660,23,15180,1.523057,0,7,64,508
ex205,ex205_r008_culs_culs_resyn2_pex205_r007_culs_culs_res_a4150_d16_adp66400_8926fe99,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex205/artifacts/ex205_r008_culs_culs_resyn2_pex205_r007_culs_culs_res_a4150_d16_adp66400_8926fe99.aig,4150,16,66400,1096,43,47128,1.408929,0,1,64,513
ex206,ex206_r008_culs_culs_resyn2_pex206_r007_culs_culs_res_a26039_d19_adp494741_5f5c39bc,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex206/artifacts/ex206_r008_culs_culs_resyn2_pex206_r007_culs_culs_res_a26039_d19_adp494741_5f5c39bc.aig,26039,19,494741,28371,19,539049,0.917803,1,5,64,486
ex207,ex207_r006_culs_culs_resyn2_pex207_r004_mockturtle_mo_a28824_d19_adp547656_7fea578b,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex207/artifacts/ex207_r006_culs_culs_resyn2_pex207_r004_mockturtle_mo_a28824_d19_adp547656_7fea578b.aig,28824,19,547656,33043,19,627817,0.872318,1,2,64,482
ex208,ex208_r006_culs_culs_resyn2_pex208_r005_mockturtle_mo_a1957_d13_adp25441_01f379e8,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex208/artifacts/ex208_r006_culs_culs_resyn2_pex208_r005_mockturtle_mo_a1957_d13_adp25441_01f379e8.aig,1957,13,25441,1885,13,24505,1.038196,0,4,64,462
ex209,ex209_r006_culs_culs_resyn2_pex209_r003_mockturtle_mo_a670_d12_adp8040_14ad2ea1,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex209/artifacts/ex209_r006_culs_culs_resyn2_pex209_r003_mockturtle_mo_a670_d12_adp8040_14ad2ea1.aig,670,12,8040,488,15,7320,1.098361,0,31,64,402
ex210,ex210_r008_culs_culs_resyn2_pex210_r007_culs_culs_res_a2103_d14_adp29442_651eef5b,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738/ex210/artifacts/ex210_r008_culs_culs_resyn2_pex210_r007_culs_culs_res_a2103_d14_adp29442_651eef5b.aig,2103,14,29442,2081,13,27053,1.088308,0,1,64,494
