case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex201,ex201_bf16_exp2_semantic_sign_exp_field_defaults,bf16_exp2,semantic_sign_exp_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_semantic_sign_exp_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_semantic_sign_exp_field_defaults.aig,1,1,1,1894,16,30304,2.669,groups=512; full_default_groups=481; exceptions=3185,aggressive semantic BF16 field RTL
ex201,ex201_bf16_exp2_semantic_positive_field_defaults,bf16_exp2,semantic_positive_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_semantic_positive_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_semantic_positive_field_defaults.aig,1,1,1,1624,17,27608,4.759,positive_exp_groups=256; full_default_groups=241; positive_exceptions=1537; relation=zero; negative_exceptions=17276,aggressive semantic BF16 field RTL
ex201,ex201_bf16_exp2_semantic_exp_delta_fields,bf16_exp2,semantic_exp_delta_fields,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_semantic_exp_delta_fields.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_semantic_exp_delta_fields.aig,1,1,1,1653,20,33060,10.749,base=lookup_by_input_exp; positive_entries=32768; normal_entries=17152; special_entries=15616; relation=zero; negative_exceptions=17276,aggressive semantic BF16 field RTL
ex202,ex202_bf16_exp10_semantic_positive_field_defaults,bf16_exp10,semantic_positive_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_semantic_positive_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_semantic_positive_field_defaults.aig,1,1,1,3645,19,69255,6.228,positive_exp_groups=256; full_default_groups=240; positive_exceptions=1525; relation=zero; negative_exceptions=17047,aggressive semantic BF16 field RTL
ex202,ex202_bf16_exp10_semantic_exp_delta_fields,bf16_exp10,semantic_exp_delta_fields,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_semantic_exp_delta_fields.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_semantic_exp_delta_fields.aig,1,1,1,3743,32,119776,11.930,base=lookup_by_input_exp; positive_entries=32768; normal_entries=16923; special_entries=15845; relation=zero; negative_exceptions=17047,aggressive semantic BF16 field RTL
ex203,ex203_bf16_log_semantic_sign_exp_field_defaults,bf16_log,semantic_sign_exp_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/verilog/ex203_bf16_log_semantic_sign_exp_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/aigs/ex203_bf16_log_semantic_sign_exp_field_defaults.aig,1,1,1,4649,19,88331,8.340,groups=512; full_default_groups=257; exceptions=20152,aggressive semantic BF16 field RTL
ex203,ex203_bf16_log_semantic_positive_field_defaults,bf16_log,semantic_positive_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/verilog/ex203_bf16_log_semantic_positive_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/aigs/ex203_bf16_log_semantic_positive_field_defaults.aig,1,1,1,4620,20,92400,7.514,positive_exp_groups=256; full_default_groups=1; positive_exceptions=20152; relation=nan; negative_exceptions=128,aggressive semantic BF16 field RTL
ex203,ex203_bf16_log_semantic_exp_delta_fields,bf16_log,semantic_exp_delta_fields,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/verilog/ex203_bf16_log_semantic_exp_delta_fields.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex203/aigs/ex203_bf16_log_semantic_exp_delta_fields.aig,1,1,1,4406,27,118962,12.662,base=lookup_by_input_exp; positive_entries=32768; normal_entries=32511; special_entries=257; relation=nan; negative_exceptions=128,aggressive semantic BF16 field RTL
ex204,ex204_bf16_log2_semantic_sign_exp_field_defaults,bf16_log2,semantic_sign_exp_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/verilog/ex204_bf16_log2_semantic_sign_exp_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/aigs/ex204_bf16_log2_semantic_sign_exp_field_defaults.aig,1,1,1,2528,16,40448,7.644,groups=512; full_default_groups=257; exceptions=21293,aggressive semantic BF16 field RTL
ex204,ex204_bf16_log2_semantic_positive_field_defaults,bf16_log2,semantic_positive_field_defaults,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/verilog/ex204_bf16_log2_semantic_positive_field_defaults.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex204/aigs/ex204_bf16_log2_semantic_positive_field_defaults.aig,1,1,1,2223,17,37791,6.998,positive_exp_groups=256; full_default_groups=1; positive_exceptions=21293; relation=nan; negative_exceptions=128,aggressive semantic BF16 field RTL
