case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex201,ex201_bf16_exp2_exp_pair_runs_only_118,bf16_exp2,exp_pair_runs_only_118,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_runs_only_118.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_runs_only_118.aig,1,1,1,1605,16,25680,1.645,,full pair table with selected low-unique exponent groups as casez runs
ex201,ex201_bf16_exp2_exp_pair_runs_only_119,bf16_exp2,exp_pair_runs_only_119,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_runs_only_119.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_runs_only_119.aig,1,1,1,1597,16,25552,1.664,,full pair table with selected low-unique exponent groups as casez runs
ex201,ex201_bf16_exp2_exp_pair_runs_only_120,bf16_exp2,exp_pair_runs_only_120,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_runs_only_120.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_runs_only_120.aig,1,1,1,1613,16,25808,1.637,,full pair table with selected low-unique exponent groups as casez runs
ex201,ex201_bf16_exp2_exp_pair_runs_only_121,bf16_exp2,exp_pair_runs_only_121,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_runs_only_121.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_runs_only_121.aig,1,1,1,1603,16,25648,1.645,,full pair table with selected low-unique exponent groups as casez runs
ex201,ex201_bf16_exp2_exp_pair_runs_only_118_119,bf16_exp2,exp_pair_runs_only_118_119,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_runs_only_118_119.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_runs_only_118_119.aig,1,1,1,1606,18,28908,1.603,,full pair table with selected low-unique exponent groups as casez runs
ex201,ex201_bf16_exp2_exp_pair_runs_only_119_120,bf16_exp2,exp_pair_runs_only_119_120,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_runs_only_119_120.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_runs_only_119_120.aig,1,1,1,1606,16,25696,1.594,,full pair table with selected low-unique exponent groups as casez runs
ex201,ex201_bf16_exp2_exp_pair_runs_only_118_119_120,bf16_exp2,exp_pair_runs_only_118_119_120,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_runs_only_118_119_120.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_runs_only_118_119_120.aig,1,1,1,1605,16,25680,1.607,,full pair table with selected low-unique exponent groups as casez runs
ex201,ex201_bf16_exp2_exp_pair_runs_only_118_119_120_121,bf16_exp2,exp_pair_runs_only_118_119_120_121,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/verilog/ex201_bf16_exp2_exp_pair_runs_only_118_119_120_121.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex201/aigs/ex201_bf16_exp2_exp_pair_runs_only_118_119_120_121.aig,1,1,1,1606,16,25696,1.635,,full pair table with selected low-unique exponent groups as casez runs
ex202,ex202_bf16_exp10_exp_pair_runs_only_116,bf16_exp10,exp_pair_runs_only_116,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_runs_only_116.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_runs_only_116.aig,1,1,1,3650,17,62050,2.341,,full pair table with selected low-unique exponent groups as casez runs
ex202,ex202_bf16_exp10_exp_pair_runs_only_117,bf16_exp10,exp_pair_runs_only_117,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/verilog/ex202_bf16_exp10_exp_pair_runs_only_117.v,student/work/ex201_ex204_frontend_bitlogic_20260605_1412/ex202/aigs/ex202_bf16_exp10_exp_pair_runs_only_117.aig,1,1,1,3642,18,65556,2.346,,full pair table with selected low-unique exponent groups as casez runs
