case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes
ex201,ex201_bf16_exp2_hybrid_pair_table_bit0_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit0_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit0_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit0_mode.aig,1,1,1603,16,25648,base pair table with bit 0 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit1_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit1_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit1_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit1_mode.aig,1,1,1603,16,25648,base pair table with bit 1 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit2_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit2_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit2_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit2_mode.aig,1,1,1597,16,25552,base pair table with bit 2 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit3_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit3_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit3_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit3_mode.aig,1,1,1600,16,25600,base pair table with bit 3 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit4_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit4_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit4_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit4_mode.aig,1,1,1596,16,25536,base pair table with bit 4 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit5_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit5_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit5_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit5_mode.aig,1,1,1603,16,25648,base pair table with bit 5 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit6_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit6_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit6_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit6_mode.aig,1,1,1617,16,25872,base pair table with bit 6 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit7_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit7_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit7_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit7_mode.aig,1,1,1604,16,25664,base pair table with bit 7 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit8_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit8_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit8_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit8_mode.aig,1,1,1606,16,25696,base pair table with bit 8 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit9_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit9_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit9_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit9_mode.aig,1,1,1595,15,23925,base pair table with bit 9 replaced by bit-mode table
