case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex202,ex202_bf16_exp10_field_default_bits_0_4_5_13_14_override,bf16_exp10,field_default_bits_0_4_5_13_14_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_0_4_5_13_14_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_0_4_5_13_14_override.aig,1,1,1,3854,17,65518,4.033,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_0_4_5_13_override,bf16_exp10,field_default_bits_0_4_5_13_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_0_4_5_13_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_0_4_5_13_override.aig,1,1,1,3708,17,63036,4.123,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_0_4_5_14_override,bf16_exp10,field_default_bits_0_4_5_14_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_0_4_5_14_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_0_4_5_14_override.aig,1,1,1,3658,18,65844,4.283,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_0_4_5_override,bf16_exp10,field_default_bits_0_4_5_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_0_4_5_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_0_4_5_override.aig,1,1,1,3760,17,63920,4.020,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_0_5_13_override,bf16_exp10,field_default_bits_0_5_13_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_0_5_13_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_0_5_13_override.aig,1,1,1,3786,17,64362,3.839,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_0_5_14_override,bf16_exp10,field_default_bits_0_5_14_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_0_5_14_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_0_5_14_override.aig,1,1,1,3831,17,65127,3.793,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_0_5_6_override,bf16_exp10,field_default_bits_0_5_6_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_0_5_6_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_0_5_6_override.aig,1,1,1,3806,17,64702,3.931,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_0_5_override,bf16_exp10,field_default_bits_0_5_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_0_5_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_0_5_override.aig,1,1,1,3762,17,63954,3.835,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_4_5_override,bf16_exp10,field_default_bits_4_5_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_4_5_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_4_5_override.aig,1,1,1,3723,17,63291,3.643,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_5_12_override,bf16_exp10,field_default_bits_5_12_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_5_12_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_5_12_override.aig,1,1,1,3770,18,67860,3.459,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_5_13_override,bf16_exp10,field_default_bits_5_13_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_5_13_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_5_13_override.aig,1,1,1,3798,17,64566,3.463,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_5_14_override,bf16_exp10,field_default_bits_5_14_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_5_14_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_5_14_override.aig,1,1,1,3719,17,63223,3.403,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_5_6_override,bf16_exp10,field_default_bits_5_6_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_5_6_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_5_6_override.aig,1,1,1,3697,17,62849,3.591,field-default base with multiple output bits overridden by bit-mode tables
ex202,ex202_bf16_exp10_field_default_bits_5_8_override,bf16_exp10,field_default_bits_5_8_override,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/verilog/ex202_bf16_exp10_field_default_bits_5_8_override.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex202/aigs/ex202_bf16_exp10_field_default_bits_5_8_override.aig,1,1,1,3739,17,63563,3.694,field-default base with multiple output bits overridden by bit-mode tables
