case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_fix12,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_fix12.aig,1,1,444,13,5772,11.977,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; manual cube bit14 boundary exp>=128 or exp127 mant>=34
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_cmp_fix5_manual_sign_non_nan_fix10_caseattrs_fix12,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_bits_14_cmp_fix5_manual_sign_non_nan_fix10_caseattrs_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_cmp_fix5_manual_sign_non_nan_fix10_caseattrs_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_bits_14_cmp_fix5_manual_sign_non_nan_fix10_caseattrs_fix12.aig,1,1,420,14,5880,12.188,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; generic selected bit overrides bits=14 bit_hi_bits=cmp bit_items=18; manual sign bit override sign && !is_nan; source case attributes parallel_case full_case
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_mod3_bit6_fix12,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_mod3_bit6_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_mod3_bit6_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_mod3_bit6_fix12.aig,1,1,685,16,10960,13.100,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; mod3/mant selected bit override bit=6 items=26
ex215,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_cmp_fix12,bf16_reciprocal_sqrt,reciprocal_sqrt,delta_pair_mode_hilo3_bits_9_cmp_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_cmp_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex215/aigs/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_cmp_fix12.aig,1,1,491,12,5892,13.095,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo3 items=29348; generic selected bit overrides bits=9 bit_hi_bits=cmp bit_items=114
ex215,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12,bf16_reciprocal_sqrt,reciprocal_sqrt,delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex215/aigs/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12.aig,1,1,390,12,4680,12.697,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo3 items=29348; generic selected bit overrides bits=9 bit_hi_bits=1 bit_items=147; source case attributes parallel_case full_case
ex217,ex217_bf16_cbrt_delta_pair_first_hilo3_mod3_bit0_fix12,bf16_cbrt,cbrt,delta_pair_first_hilo3_mod3_bit0_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex217/verilog/ex217_bf16_cbrt_delta_pair_first_hilo3_mod3_bit0_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex217/aigs/ex217_bf16_cbrt_delta_pair_first_hilo3_mod3_bit0_fix12.aig,1,1,603,15,9045,14.143,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27692; mod3/mant selected bit override bit=0 items=184
ex217,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh2_fix2_manual_sign_non_nan_fix12,bf16_cbrt,cbrt,delta_pair_first_hilo3_bits_0_bh2_fix2_manual_sign_non_nan_fix12,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex217/verilog/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh2_fix2_manual_sign_non_nan_fix12.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex217/aigs/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh2_fix2_manual_sign_non_nan_fix12.aig,1,1,587,14,8218,21.462,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27692; generic selected bit overrides bits=0 bit_hi_bits=2 bit_items=32508; manual sign bit override sign && !is_nan
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9_manual_sign_casez_fix13,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9_manual_sign_casez_fix13,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9_manual_sign_casez_fix13.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9_manual_sign_casez_fix13.aig,1,1,646,15,9690,14.884,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=6 bit_hi_bits=cmp bit_items=684; source case attributes parallel_case full_case; manual sign bit casez override
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13.aig,1,1,444,13,5772,12.582,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; manual cube bit14 boundary exp>=128 or exp127 mant>=34; source case attributes parallel_case full_case
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_casez_fix13,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_manual_sign_casez_fix13,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_casez_fix13.v,student/work/ex215_ex219_frontend_bf16_deep2_20260606_1726/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_casez_fix13.aig,1,1,467,14,6538,19.209,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; manual sign bit casez override
