case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex240,ex240_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15,unknown_shared_bdd_16x8,order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15.aig,1,1,1,10127,28,283556,9.821,order_name=order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15; order=0:8:1:9:2:10:3:11:4:12:5:13:6:14:7:15; bdd_nodes=5969,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15,unknown_shared_bdd_16x8,order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15.aig,1,1,1,2930,25,73250,5.601,order_name=order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15; order=6:14:5:13:4:12:3:11:2:10:1:9:0:8:7:15; bdd_nodes=1751,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.aig,1,1,1,2786,26,72436,5.555,order_name=order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8; order=7:15:6:14:5:13:4:12:3:11:2:10:1:9:0:8; bdd_nodes=1668,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15,unknown_shared_bdd_16x8,order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15.aig,1,1,1,4214,27,113778,6.466,order_name=order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15; order=3:11:4:12:5:13:6:14:0:8:1:9:2:10:7:15; bdd_nodes=2539,unknown function shared-BDD Verilog seed
ex241,ex241_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15,unknown_shared_bdd_16x8,order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/verilog/ex241_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/aigs/ex241_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15.aig,1,1,1,3691,25,92275,6.228,order_name=order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15; order=0:8:1:9:2:10:3:11:4:12:5:13:6:14:7:15; bdd_nodes=2196,unknown function shared-BDD Verilog seed
ex241,ex241_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15,unknown_shared_bdd_16x8,order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/verilog/ex241_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/aigs/ex241_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15.aig,1,1,1,1539,22,33858,4.750,order_name=order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15; order=6:14:5:13:4:12:3:11:2:10:1:9:0:8:7:15; bdd_nodes=1012,unknown function shared-BDD Verilog seed
ex241,ex241_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/verilog/ex241_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/aigs/ex241_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.aig,1,1,1,1506,21,31626,4.563,order_name=order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8; order=7:15:6:14:5:13:4:12:3:11:2:10:1:9:0:8; bdd_nodes=995,unknown function shared-BDD Verilog seed
ex241,ex241_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15,unknown_shared_bdd_16x8,order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/verilog/ex241_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/aigs/ex241_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15.aig,1,1,1,1990,24,47760,5.146,order_name=order_3_11_4_12_5_13_6_14_0_8_1_9_2_10_7_15; order=3:11:4:12:5:13:6:14:0:8:1:9:2:10:7:15; bdd_nodes=1183,unknown function shared-BDD Verilog seed
ex242,ex242_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15,unknown_shared_bdd_16x8,order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex242/verilog/ex242_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex242/aigs/ex242_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15.aig,1,1,1,3701,24,88824,6.313,order_name=order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15; order=0:8:1:9:2:10:3:11:4:12:5:13:6:14:7:15; bdd_nodes=2103,unknown function shared-BDD Verilog seed
ex242,ex242_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15,unknown_shared_bdd_16x8,order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex242/verilog/ex242_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex242/aigs/ex242_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15.aig,1,1,1,1595,23,36685,4.827,order_name=order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15; order=6:14:5:13:4:12:3:11:2:10:1:9:0:8:7:15; bdd_nodes=1009,unknown function shared-BDD Verilog seed
ex242,ex242_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex242/verilog/ex242_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex242/aigs/ex242_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.aig,1,1,1,1560,22,34320,4.605,order_name=order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8; order=7:15:6:14:5:13:4:12:3:11:2:10:1:9:0:8; bdd_nodes=993,unknown function shared-BDD Verilog seed
