case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex240,ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.aig,1,1,1,2786,26,72436,5.712,order_name=order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8; order=7:15:6:14:5:13:4:12:3:11:2:10:1:9:0:8; bdd_nodes=1668,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15,unknown_shared_bdd_16x8,order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15.aig,1,1,1,2930,25,73250,5.636,order_name=order_6_14_5_13_4_12_3_11_2_10_1_9_0_8_7_15; order=6:14:5:13:4:12:3:11:2:10:1:9:0:8:7:15; bdd_nodes=1751,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15,unknown_shared_bdd_16x8,order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15.aig,1,1,1,3656,28,102368,6.183,order_name=order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15; order=3:11:4:12:5:13:6:14:2:10:1:9:0:8:7:15; bdd_nodes=2194,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.aig,1,1,1,2514,23,57822,5.654,order_name=order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8; order=6:14:5:13:4:12:3:11:7:15:2:10:1:9:0:8; bdd_nodes=1932,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_7_15_3_11_4_12_5_13_6_14_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_3_11_4_12_5_13_6_14_2_10_1_9_0_8,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_3_11_4_12_5_13_6_14_2_10_1_9_0_8.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_7_15_3_11_4_12_5_13_6_14_2_10_1_9_0_8.aig,1,1,1,3771,25,94275,6.332,order_name=order_7_15_3_11_4_12_5_13_6_14_2_10_1_9_0_8; order=7:15:3:11:4:12:5:13:6:14:2:10:1:9:0:8; bdd_nodes=2327,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_2_10_1_9_0_8_3_11_4_12_5_13_6_14_7_15,unknown_shared_bdd_16x8,order_2_10_1_9_0_8_3_11_4_12_5_13_6_14_7_15,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_2_10_1_9_0_8_3_11_4_12_5_13_6_14_7_15.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_2_10_1_9_0_8_3_11_4_12_5_13_6_14_7_15.aig,1,1,1,10086,28,282408,9.706,order_name=order_2_10_1_9_0_8_3_11_4_12_5_13_6_14_7_15; order=2:10:1:9:0:8:3:11:4:12:5:13:6:14:7:15; bdd_nodes=5952,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15,unknown_shared_bdd_16x8,order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15.aig,1,1,1,10127,28,283556,9.607,order_name=order_0_8_1_9_2_10_3_11_4_12_5_13_6_14_7_15; order=0:8:1:9:2:10:3:11:4:12:5:13:6:14:7:15; bdd_nodes=5969,unknown function shared-BDD Verilog seed
ex240,ex240_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0,unknown_shared_bdd_16x8,order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0.aig,1,1,1,2786,26,72436,5.507,order_name=order_15_7_14_6_13_5_12_4_11_3_10_2_9_1_8_0; order=15:7:14:6:13:5:12:4:11:3:10:2:9:1:8:0; bdd_nodes=1668,unknown function shared-BDD Verilog seed
ex244,ex244_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex244/verilog/ex244_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex244/aigs/ex244_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.aig,1,1,1,695,22,15290,3.574,order_name=order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8; order=7:15:6:14:5:13:4:12:3:11:2:10:1:9:0:8; bdd_nodes=412,unknown function shared-BDD Verilog seed
ex244,ex244_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15,unknown_shared_bdd_16x8,order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex244/verilog/ex244_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15.v,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex244/aigs/ex244_unknown_shared_bdd_16x8_order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15.aig,1,1,1,1015,23,23345,4.212,order_name=order_3_11_4_12_5_13_6_14_2_10_1_9_0_8_7_15; order=3:11:4:12:5:13:6:14:2:10:1:9:0:8:7:15; bdd_nodes=613,unknown function shared-BDD Verilog seed
