case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_default_recheck,unknown_shared_bdd_16x8,default_recheck,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_default_recheck.aig,1,1,1,2786,26,72436,13299,5.446725,0,0,2.449,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_no_internal_abc,unknown_shared_bdd_16x8,no_internal_abc,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_no_internal_abc.aig,1,1,1,3773,30,113190,13299,8.511166,0,0,2.599,skip Yosys internal abc pass,synthflow_exact,skip Yosys internal abc pass
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_fast,unknown_shared_bdd_16x8,abc_fast,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_fast.aig,1,1,1,3745,30,112350,13299,8.448004,0,0,1.555,Yosys abc fast script,synthflow_exact,Yosys abc fast script
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_d20,unknown_shared_bdd_16x8,abc_d20,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_d20.aig,1,1,1,2786,26,72436,13299,5.446725,0,0,1.631,Yosys abc delay target 20,synthflow_exact,Yosys abc delay target 20
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_d21,unknown_shared_bdd_16x8,abc_d21,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_d21.aig,1,1,1,2786,26,72436,13299,5.446725,0,0,1.638,Yosys abc delay target 21,synthflow_exact,Yosys abc delay target 21
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_d22,unknown_shared_bdd_16x8,abc_d22,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_d22.aig,1,1,1,2786,26,72436,13299,5.446725,0,0,1.645,Yosys abc delay target 22,synthflow_exact,Yosys abc delay target 22
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_d24,unknown_shared_bdd_16x8,abc_d24,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_d24.aig,1,1,1,2786,26,72436,13299,5.446725,0,0,1.652,Yosys abc delay target 24,synthflow_exact,Yosys abc delay target 24
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig,unknown_shared_bdd_16x8,abc_g_aig,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig.aig,1,1,1,2755,23,63365,13299,4.764644,0,0,2.435,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_simple,unknown_shared_bdd_16x8,abc_g_simple,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_simple.aig,1,1,1,2849,25,71225,13299,5.355666,0,0,2.798,Yosys abc gate set simple,synthflow_exact,Yosys abc gate set simple
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_and_mux,unknown_shared_bdd_16x8,abc_g_and_mux,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_and_mux.aig,1,1,1,2840,27,76680,13299,5.765847,0,0,1.683,"Yosys abc gate set AND,MUX",synthflow_exact,"Yosys abc gate set AND,MUX"
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_extra_opt_share,unknown_shared_bdd_16x8,extra_opt_share,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_extra_opt_share.aig,1,1,1,2786,26,72436,13299,5.446725,0,0,1.714,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_late_flatten,unknown_shared_bdd_16x8,late_flatten,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_late_flatten.aig,1,1,1,2786,26,72436,13299,5.446725,0,0,1.657,move flatten after techmap,synthflow_exact,move flatten after techmap
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_synth_preset,unknown_shared_bdd_16x8,synth_preset,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_synth_preset.aig,1,1,1,2712,24,65088,13299,4.894203,0,0,2.149,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_synth_preset_noabc,unknown_shared_bdd_16x8,synth_preset_noabc,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_synth_preset_noabc.aig,1,1,1,3737,30,112110,13299,8.429957,0,0,1.670,Yosys synth preset without abc,synthflow_exact,Yosys synth preset without abc
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig_d18,unknown_shared_bdd_16x8,abc_g_aig_d18,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig_d18.aig,1,1,1,2755,23,63365,13299,4.764644,0,0,1.671,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig_d19,unknown_shared_bdd_16x8,abc_g_aig_d19,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig_d19.aig,1,1,1,2755,23,63365,13299,4.764644,0,0,1.671,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig_d20,unknown_shared_bdd_16x8,abc_g_aig_d20,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig_d20.aig,1,1,1,2755,23,63365,13299,4.764644,0,0,1.667,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig_d21,unknown_shared_bdd_16x8,abc_g_aig_d21,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_aig_d21.aig,1,1,1,2755,23,63365,13299,4.764644,0,0,1.675,Yosys abc gate set aig delay target 21,synthflow_exact,Yosys abc gate set aig delay target 21
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_gates,unknown_shared_bdd_16x8,abc_g_gates,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_gates.aig,1,1,1,2766,23,63618,13299,4.783668,0,0,1.702,Yosys abc gate set gates,synthflow_exact,Yosys abc gate set gates
ex240,ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_cmos2,unknown_shared_bdd_16x8,abc_g_cmos2,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_best_synthflow_20260608_1253/ex240/aigs/ex240_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8_abc_g_cmos2.aig,1,1,1,2817,24,67608,13299,5.083691,0,0,1.728,Yosys abc gate set cmos2,synthflow_exact,Yosys abc gate set cmos2
