case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_default_recheck,unknown_shared_bdd_16x8,default_recheck,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_default_recheck.aig,1,1,1,2514,23,57822,13299,4.347846,0,0,2.270,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_no_internal_abc,unknown_shared_bdd_16x8,no_internal_abc,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_no_internal_abc.aig,1,1,1,4321,30,129630,13299,9.747349,0,0,1.571,skip Yosys internal abc pass,synthflow_exact,skip Yosys internal abc pass
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_fast,unknown_shared_bdd_16x8,abc_fast,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_fast.aig,1,1,1,4299,30,128970,13299,9.697722,0,0,1.686,Yosys abc fast script,synthflow_exact,Yosys abc fast script
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_d20,unknown_shared_bdd_16x8,abc_d20,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_d20.aig,1,1,1,2514,23,57822,13299,4.347846,0,0,1.659,Yosys abc delay target 20,synthflow_exact,Yosys abc delay target 20
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_d21,unknown_shared_bdd_16x8,abc_d21,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_d21.aig,1,1,1,2514,23,57822,13299,4.347846,0,0,1.693,Yosys abc delay target 21,synthflow_exact,Yosys abc delay target 21
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_d22,unknown_shared_bdd_16x8,abc_d22,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_d22.aig,1,1,1,2514,23,57822,13299,4.347846,0,0,1.760,Yosys abc delay target 22,synthflow_exact,Yosys abc delay target 22
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_d24,unknown_shared_bdd_16x8,abc_d24,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_d24.aig,1,1,1,2514,23,57822,13299,4.347846,0,0,1.640,Yosys abc delay target 24,synthflow_exact,Yosys abc delay target 24
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_g_aig,unknown_shared_bdd_16x8,abc_g_aig,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_g_aig.aig,1,1,1,2493,23,57339,13299,4.311527,0,0,1.700,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_g_simple,unknown_shared_bdd_16x8,abc_g_simple,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_g_simple.aig,1,1,1,2594,24,62256,13299,4.681254,0,0,1.733,Yosys abc gate set simple,synthflow_exact,Yosys abc gate set simple
ex240,ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_g_and_mux,unknown_shared_bdd_16x8,abc_g_and_mux,student/work/ex240_ex244_frontend_fp8_bdd_refine_20260608_1330/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8.v,student/work/ex240_frontend_fp8_bdd_refine_synthflow_20260608_1330/ex240/aigs/ex240_order_6_14_5_13_4_12_3_11_7_15_2_10_1_9_0_8_abc_g_and_mux.aig,1,1,1,2563,24,61512,13299,4.625310,0,0,1.774,"Yosys abc gate set AND,MUX",synthflow_exact,"Yosys abc gate set AND,MUX"
