case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_default_recheck,fp8_e4m3fn_div_low_over_high,default_recheck,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_default_recheck.aig,1,1,1,1309,20,26180,11900,2.200000,0,0,1.509,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_no_internal_abc,fp8_e4m3fn_div_low_over_high,no_internal_abc,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_no_internal_abc.aig,1,1,1,1886,28,52808,11900,4.437647,0,0,1.343,skip Yosys internal abc pass,synthflow_exact,skip Yosys internal abc pass
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_fast,fp8_e4m3fn_div_low_over_high,abc_fast,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_fast.aig,1,1,1,1855,26,48230,11900,4.052941,0,0,1.457,Yosys abc fast script,synthflow_exact,Yosys abc fast script
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_d20,fp8_e4m3fn_div_low_over_high,abc_d20,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_d20.aig,1,1,1,1309,20,26180,11900,2.200000,0,0,1.515,Yosys abc delay target 20,synthflow_exact,Yosys abc delay target 20
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_d21,fp8_e4m3fn_div_low_over_high,abc_d21,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_d21.aig,1,1,1,1309,20,26180,11900,2.200000,0,0,1.508,Yosys abc delay target 21,synthflow_exact,Yosys abc delay target 21
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_d22,fp8_e4m3fn_div_low_over_high,abc_d22,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_d22.aig,1,1,1,1309,20,26180,11900,2.200000,0,0,1.523,Yosys abc delay target 22,synthflow_exact,Yosys abc delay target 22
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_d24,fp8_e4m3fn_div_low_over_high,abc_d24,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_d24.aig,1,1,1,1309,20,26180,11900,2.200000,0,0,1.547,Yosys abc delay target 24,synthflow_exact,Yosys abc delay target 24
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_aig,fp8_e4m3fn_div_low_over_high,abc_g_aig,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_aig.aig,1,1,1,1304,20,26080,11900,2.191597,0,0,1.847,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_simple,fp8_e4m3fn_div_low_over_high,abc_g_simple,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_simple.aig,1,1,1,1347,23,30981,11900,2.603445,0,0,1.555,Yosys abc gate set simple,synthflow_exact,Yosys abc gate set simple
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_and_mux,fp8_e4m3fn_div_low_over_high,abc_g_and_mux,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_and_mux.aig,1,1,1,1354,22,29788,11900,2.503193,0,0,1.570,"Yosys abc gate set AND,MUX",synthflow_exact,"Yosys abc gate set AND,MUX"
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_extra_opt_share,fp8_e4m3fn_div_low_over_high,extra_opt_share,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_extra_opt_share.aig,1,1,1,1308,20,26160,11900,2.198319,0,0,1.598,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_late_flatten,fp8_e4m3fn_div_low_over_high,late_flatten,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_late_flatten.aig,1,1,1,1309,20,26180,11900,2.200000,0,0,1.548,move flatten after techmap,synthflow_exact,move flatten after techmap
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_synth_preset,fp8_e4m3fn_div_low_over_high,synth_preset,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_synth_preset.aig,1,1,1,1270,21,26670,11900,2.241176,0,0,1.888,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_synth_preset_noabc,fp8_e4m3fn_div_low_over_high,synth_preset_noabc,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_synth_preset_noabc.aig,1,1,1,2083,28,58324,11900,4.901176,0,0,1.795,Yosys synth preset without abc,synthflow_exact,Yosys synth preset without abc
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_aig_d18,fp8_e4m3fn_div_low_over_high,abc_g_aig_d18,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_aig_d18.aig,1,1,1,1304,20,26080,11900,2.191597,0,0,1.550,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_aig_d19,fp8_e4m3fn_div_low_over_high,abc_g_aig_d19,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_aig_d19.aig,1,1,1,1304,20,26080,11900,2.191597,0,0,1.553,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_aig_d20,fp8_e4m3fn_div_low_over_high,abc_g_aig_d20,student/work/ex242_frontend_fp8_div_clean_sparse_20260608_1330/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex242_frontend_fp8_div_clean_sparse_synthflow_20260608_1330/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_abc_g_aig_d20.aig,1,1,1,1304,20,26080,11900,2.191597,0,0,1.543,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
