case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_default_recheck,fp8_e4m3fn_hypot_abs,default_recheck,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_default_recheck.aig,1,1,1,332,37,12284,4272,2.875468,0,0,0.760,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_no_internal_abc,fp8_e4m3fn_hypot_abs,no_internal_abc,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_no_internal_abc.aig,1,1,1,555,55,30525,4272,7.145365,0,0,0.657,skip Yosys internal abc pass,synthflow_exact,skip Yosys internal abc pass
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_fast,fp8_e4m3fn_hypot_abs,abc_fast,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_fast.aig,1,1,1,513,47,24111,4272,5.643961,0,0,0.742,Yosys abc fast script,synthflow_exact,Yosys abc fast script
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_d20,fp8_e4m3fn_hypot_abs,abc_d20,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_d20.aig,1,1,1,332,37,12284,4272,2.875468,0,0,0.773,Yosys abc delay target 20,synthflow_exact,Yosys abc delay target 20
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_d21,fp8_e4m3fn_hypot_abs,abc_d21,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_d21.aig,1,1,1,332,37,12284,4272,2.875468,0,0,0.780,Yosys abc delay target 21,synthflow_exact,Yosys abc delay target 21
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_d22,fp8_e4m3fn_hypot_abs,abc_d22,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_d22.aig,1,1,1,332,37,12284,4272,2.875468,0,0,0.783,Yosys abc delay target 22,synthflow_exact,Yosys abc delay target 22
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_d24,fp8_e4m3fn_hypot_abs,abc_d24,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_d24.aig,1,1,1,332,37,12284,4272,2.875468,0,0,0.774,Yosys abc delay target 24,synthflow_exact,Yosys abc delay target 24
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_g_aig,fp8_e4m3fn_hypot_abs,abc_g_aig,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_g_aig.aig,1,1,1,320,37,11840,4272,2.771536,0,0,0.787,Yosys abc gate set aig,synthflow_exact,Yosys abc gate set aig
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_g_simple,fp8_e4m3fn_hypot_abs,abc_g_simple,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_g_simple.aig,1,1,1,435,39,16965,4272,3.971208,0,0,0.823,Yosys abc gate set simple,synthflow_exact,Yosys abc gate set simple
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_g_and_mux,fp8_e4m3fn_hypot_abs,abc_g_and_mux,student/work/ex244_frontend_fp8_hypot_sig_threshold_fix_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_synthflow_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig_abc_g_and_mux.aig,1,1,1,341,38,12958,4272,3.033240,0,0,0.777,"Yosys abc gate set AND,MUX",synthflow_exact,"Yosys abc gate set AND,MUX"
