case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex246,ex246_semantic_mul_product_attr_shared_default,fp8_e5m2fn_mul,semantic_mul_product_attr_shared_default,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/aigs/ex246_semantic_mul_product_attr_shared_default.aig,1,1,1,430,33,14190,2805,5.058824,0,0,0.701,E5M2FN mul: product attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_product_attr_shared_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_product_attr_shared_abc_g_aig,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/aigs/ex246_semantic_mul_product_attr_shared_abc_g_aig.aig,1,1,1,422,31,13082,2805,4.663815,0,0,0.701,E5M2FN mul: product attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_product_attr_shared_synth_preset,fp8_e5m2fn_mul,semantic_mul_product_attr_shared_synth_preset,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/aigs/ex246_semantic_mul_product_attr_shared_synth_preset.aig,1,1,1,416,33,13728,2805,4.894118,0,0,1.010,E5M2FN mul: product attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_product_attr_shared_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_product_attr_shared_synth_preset_aig,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/aigs/ex246_semantic_mul_product_attr_shared_synth_preset_aig.aig,1,1,1,409,33,13497,2805,4.811765,0,0,0.866,E5M2FN mul: product attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_sigpair_attr_shared_default,fp8_e5m2fn_mul,semantic_mul_sigpair_attr_shared_default,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/verilog/ex246_semantic_mul_sigpair_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/aigs/ex246_semantic_mul_sigpair_attr_shared_default.aig,1,1,1,486,27,13122,2805,4.678075,0,0,0.661,E5M2FN mul: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_sigpair_attr_shared_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_sigpair_attr_shared_abc_g_aig,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/verilog/ex246_semantic_mul_sigpair_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/aigs/ex246_semantic_mul_sigpair_attr_shared_abc_g_aig.aig,1,1,1,476,27,12852,2805,4.581818,0,0,0.671,E5M2FN mul: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_sigpair_attr_shared_synth_preset,fp8_e5m2fn_mul,semantic_mul_sigpair_attr_shared_synth_preset,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/verilog/ex246_semantic_mul_sigpair_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/aigs/ex246_semantic_mul_sigpair_attr_shared_synth_preset.aig,1,1,1,489,27,13203,2805,4.706952,0,0,0.792,E5M2FN mul: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_sigpair_attr_shared_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_sigpair_attr_shared_synth_preset_aig,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/verilog/ex246_semantic_mul_sigpair_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex246/aigs/ex246_semantic_mul_sigpair_attr_shared_synth_preset_aig.aig,1,1,1,479,26,12454,2805,4.439929,0,0,0.798,E5M2FN mul: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,
ex247,ex247_semantic_div_sigpair_attr_shared_default,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_attr_shared_default,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex247/verilog/ex247_semantic_div_sigpair_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex247/aigs/ex247_semantic_div_sigpair_attr_shared_default.aig,1,1,0,,,,2975,,,,0.653,E5M2FN div: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,'Candidate' object has no attribute 'status'
ex247,ex247_semantic_div_sigpair_attr_shared_abc_g_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_attr_shared_abc_g_aig,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex247/verilog/ex247_semantic_div_sigpair_attr_shared.v,student/work/ex246_ex247_frontend_fp8_e5m2_normsplit_fix3_20260608_1734/ex247/aigs/ex247_semantic_div_sigpair_attr_shared_abc_g_aig.aig,1,1,0,,,,2975,,,,0.657,E5M2FN div: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,'Candidate' object has no attribute 'status'
