case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex246,ex246_semantic_mul_product_attr_shared_default,fp8_e5m2fn_mul,semantic_mul_product_attr_shared_default,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_product_attr_shared_default.aig,1,1,1,430,33,14190,2805,5.058824,0,0,0.697,E5M2FN mul: product attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_product_attr_shared_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_product_attr_shared_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_product_attr_shared_abc_g_aig.aig,1,1,1,422,31,13082,2805,4.663815,0,0,0.695,E5M2FN mul: product attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_product_attr_shared_synth_preset,fp8_e5m2fn_mul,semantic_mul_product_attr_shared_synth_preset,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_product_attr_shared_synth_preset.aig,1,1,1,416,33,13728,2805,4.894118,0,0,0.829,E5M2FN mul: product attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_product_attr_shared_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_product_attr_shared_synth_preset_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_product_attr_shared.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_product_attr_shared_synth_preset_aig.aig,1,1,1,409,33,13497,2805,4.811765,0,0,0.827,E5M2FN mul: product attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_sigpair_attr_shared_default,fp8_e5m2fn_mul,semantic_mul_sigpair_attr_shared_default,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_sigpair_attr_shared.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_sigpair_attr_shared_default.aig,1,1,1,486,27,13122,2805,4.678075,0,0,0.666,E5M2FN mul: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_sigpair_attr_shared_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_sigpair_attr_shared_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_sigpair_attr_shared.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_sigpair_attr_shared_abc_g_aig.aig,1,1,1,476,27,12852,2805,4.581818,0,0,0.670,E5M2FN mul: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_sigpair_attr_shared_synth_preset,fp8_e5m2fn_mul,semantic_mul_sigpair_attr_shared_synth_preset,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_sigpair_attr_shared.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_sigpair_attr_shared_synth_preset.aig,1,1,1,489,27,13203,2805,4.706952,0,0,0.795,E5M2FN mul: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_sigpair_attr_shared_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_sigpair_attr_shared_synth_preset_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_sigpair_attr_shared.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_sigpair_attr_shared_synth_preset_aig.aig,1,1,1,479,26,12454,2805,4.439929,0,0,0.809,E5M2FN mul: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,
ex246,ex246_semantic_mul_threshold_norm_default,fp8_e5m2fn_mul,semantic_mul_threshold_norm_default,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_threshold_norm.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_threshold_norm_default.aig,1,1,1,413,35,14455,2805,5.153298,0,0,0.757,E5M2FN mul: product threshold class plus shared low-end rounding table,semantic_exact,
ex246,ex246_semantic_mul_threshold_norm_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_threshold_norm_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_threshold_norm.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_threshold_norm_abc_g_aig.aig,1,1,1,402,35,14070,2805,5.016043,0,0,0.761,E5M2FN mul: product threshold class plus shared low-end rounding table,semantic_exact,
ex246,ex246_semantic_mul_threshold_norm_synth_preset,fp8_e5m2fn_mul,semantic_mul_threshold_norm_synth_preset,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_threshold_norm.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_threshold_norm_synth_preset.aig,1,1,1,398,37,14726,2805,5.249911,0,0,0.921,E5M2FN mul: product threshold class plus shared low-end rounding table,semantic_exact,
ex246,ex246_semantic_mul_threshold_norm_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_threshold_norm_synth_preset_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_threshold_norm.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_threshold_norm_synth_preset_aig.aig,1,1,1,387,36,13932,2805,4.966845,0,0,0.922,E5M2FN mul: product threshold class plus shared low-end rounding table,semantic_exact,
ex246,ex246_semantic_mul_logcode_default,fp8_e5m2fn_mul,semantic_mul_logcode_default,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_logcode.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_logcode_default.aig,1,1,1,472,25,11800,2805,4.206774,0,0,0.741,E5M2FN mul: log-code add plus small normal/subnormal boundary tables,semantic_exact,
ex246,ex246_semantic_mul_logcode_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_logcode_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_logcode.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_logcode_abc_g_aig.aig,1,1,1,467,25,11675,2805,4.162210,0,0,0.749,E5M2FN mul: log-code add plus small normal/subnormal boundary tables,semantic_exact,
ex246,ex246_semantic_mul_logcode_synth_preset,fp8_e5m2fn_mul,semantic_mul_logcode_synth_preset,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_logcode.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_logcode_synth_preset.aig,1,1,1,462,21,9702,2805,3.458824,0,0,0.895,E5M2FN mul: log-code add plus small normal/subnormal boundary tables,semantic_exact,
ex246,ex246_semantic_mul_logcode_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_logcode_synth_preset_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_logcode.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_logcode_synth_preset_aig.aig,1,1,1,455,21,9555,2805,3.406417,0,0,0.900,E5M2FN mul: log-code add plus small normal/subnormal boundary tables,semantic_exact,
ex246,ex246_semantic_mul_key_bdd_exp_then_product_default,fp8_e5m2fn_mul,semantic_mul_key_bdd_exp_then_product_default,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_key_bdd_exp_then_product.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_key_bdd_exp_then_product_default.aig,1,1,1,377,28,10556,2805,3.763280,0,0,0.659,E5M2FN mul: reduced semantic-key BDD with exp-sum bits before product bits,semantic_exact,
ex246,ex246_semantic_mul_key_bdd_exp_then_product_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_key_bdd_exp_then_product_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_key_bdd_exp_then_product.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_key_bdd_exp_then_product_abc_g_aig.aig,1,1,1,376,28,10528,2805,3.753298,0,0,0.658,E5M2FN mul: reduced semantic-key BDD with exp-sum bits before product bits,semantic_exact,
ex246,ex246_semantic_mul_key_bdd_exp_then_product_synth_preset,fp8_e5m2fn_mul,semantic_mul_key_bdd_exp_then_product_synth_preset,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_key_bdd_exp_then_product.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_key_bdd_exp_then_product_synth_preset.aig,1,1,1,388,26,10088,2805,3.596435,0,0,0.796,E5M2FN mul: reduced semantic-key BDD with exp-sum bits before product bits,semantic_exact,
ex246,ex246_semantic_mul_key_bdd_exp_then_product_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_key_bdd_exp_then_product_synth_preset_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_key_bdd_exp_then_product.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_key_bdd_exp_then_product_synth_preset_aig.aig,1,1,1,386,26,10036,2805,3.577897,0,0,0.793,E5M2FN mul: reduced semantic-key BDD with exp-sum bits before product bits,semantic_exact,
ex246,ex246_semantic_mul_key_bdd_product_low_then_exp_default,fp8_e5m2fn_mul,semantic_mul_key_bdd_product_low_then_exp_default,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_key_bdd_product_low_then_exp.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_key_bdd_product_low_then_exp_default.aig,1,1,1,646,31,20026,2805,7.139394,0,0,0.715,E5M2FN mul: reduced semantic-key BDD with product low-to-high bits before exp-sum,semantic_exact,
ex246,ex246_semantic_mul_key_bdd_product_low_then_exp_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_key_bdd_product_low_then_exp_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_key_bdd_product_low_then_exp.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_key_bdd_product_low_then_exp_abc_g_aig.aig,1,1,1,641,30,19230,2805,6.855615,0,0,0.710,E5M2FN mul: reduced semantic-key BDD with product low-to-high bits before exp-sum,semantic_exact,
ex246,ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset,fp8_e5m2fn_mul,semantic_mul_key_bdd_product_low_then_exp_synth_preset,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_key_bdd_product_low_then_exp.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset.aig,1,1,1,600,31,18600,2805,6.631016,0,0,0.888,E5M2FN mul: reduced semantic-key BDD with product low-to-high bits before exp-sum,semantic_exact,
ex246,ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset_aig,fp8_e5m2fn_mul,semantic_mul_key_bdd_product_low_then_exp_synth_preset_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_key_bdd_product_low_then_exp.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_key_bdd_product_low_then_exp_synth_preset_aig.aig,1,1,1,595,31,18445,2805,6.575758,0,0,0.902,E5M2FN mul: reduced semantic-key BDD with product low-to-high bits before exp-sum,semantic_exact,
ex246,ex246_semantic_mul_normsplit_attr_default,fp8_e5m2fn_mul,semantic_mul_normsplit_attr_default,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_normsplit_attr.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_normsplit_attr_default.aig,1,1,1,528,25,13200,2805,4.705882,0,0,0.728,E5M2FN mul: normal-normal mantissa-pair core plus subnormal attribute correction,semantic_exact,
ex246,ex246_semantic_mul_normsplit_attr_abc_g_aig,fp8_e5m2fn_mul,semantic_mul_normsplit_attr_abc_g_aig,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_normsplit_attr.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_normsplit_attr_abc_g_aig.aig,1,1,1,524,25,13100,2805,4.670232,0,0,0.739,E5M2FN mul: normal-normal mantissa-pair core plus subnormal attribute correction,semantic_exact,
ex246,ex246_semantic_mul_normsplit_attr_synth_preset,fp8_e5m2fn_mul,semantic_mul_normsplit_attr_synth_preset,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/verilog/ex246_semantic_mul_normsplit_attr.v,student/work/ex246_frontend_fp8_e5m2_logcode_20260608_1800/ex246/aigs/ex246_semantic_mul_normsplit_attr_synth_preset.aig,1,1,1,518,24,12432,2805,4.432086,0,0,0.872,E5M2FN mul: normal-normal mantissa-pair core plus subnormal attribute correction,semantic_exact,
