case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex247,ex247_semantic_div_sigpair_attr_shared_default,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_attr_shared_default,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_sigpair_attr_shared.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_sigpair_attr_shared_default.aig,1,1,0,,,,2975,,,,0.671,E5M2FN div: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,'Candidate' object has no attribute 'status'
ex247,ex247_semantic_div_sigpair_attr_shared_abc_g_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_attr_shared_abc_g_aig,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_sigpair_attr_shared.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_sigpair_attr_shared_abc_g_aig.aig,1,1,0,,,,2975,,,,0.661,E5M2FN div: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,'Candidate' object has no attribute 'status'
ex247,ex247_semantic_div_sigpair_attr_shared_synth_preset,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_attr_shared_synth_preset,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_sigpair_attr_shared.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_sigpair_attr_shared_synth_preset.aig,1,1,0,,,,2975,,,,0.779,E5M2FN div: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,'Candidate' object has no attribute 'status'
ex247,ex247_semantic_div_sigpair_attr_shared_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_sigpair_attr_shared_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_sigpair_attr_shared.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_sigpair_attr_shared_synth_preset_aig.aig,1,1,0,,,,2975,,,,0.794,E5M2FN div: significand-pair attribute table plus shared boundary/linear reassembly,semantic_exact,'Candidate' object has no attribute 'status'
ex247,ex247_semantic_div_logcode_default,fp8_e5m2fn_div_low_over_high,semantic_div_logcode_default,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_logcode.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_logcode_default.aig,1,1,1,448,25,11200,2975,3.764706,0,0,0.757,E5M2FN div: log-code subtract plus small subnormal/boundary tables,semantic_exact,
ex247,ex247_semantic_div_logcode_abc_g_aig,fp8_e5m2fn_div_low_over_high,semantic_div_logcode_abc_g_aig,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_logcode.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_logcode_abc_g_aig.aig,1,1,1,441,25,11025,2975,3.705882,0,0,0.752,E5M2FN div: log-code subtract plus small subnormal/boundary tables,semantic_exact,
ex247,ex247_semantic_div_logcode_synth_preset,fp8_e5m2fn_div_low_over_high,semantic_div_logcode_synth_preset,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_logcode.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_logcode_synth_preset.aig,1,1,1,436,25,10900,2975,3.663866,0,0,0.823,E5M2FN div: log-code subtract plus small subnormal/boundary tables,semantic_exact,
ex247,ex247_semantic_div_logcode_synth_preset_aig,fp8_e5m2fn_div_low_over_high,semantic_div_logcode_synth_preset_aig,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_logcode.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_logcode_synth_preset_aig.aig,1,1,1,427,25,10675,2975,3.588235,0,0,0.829,E5M2FN div: log-code subtract plus small subnormal/boundary tables,semantic_exact,
ex247,ex247_semantic_div_normsplit_attr_default,fp8_e5m2fn_div_low_over_high,semantic_div_normsplit_attr_default,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_normsplit_attr.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_normsplit_attr_default.aig,1,1,1,592,27,15984,2975,5.372773,0,0,0.766,E5M2FN div: normal-normal mantissa-pair core plus subnormal attribute correction,semantic_exact,
ex247,ex247_semantic_div_normsplit_attr_abc_g_aig,fp8_e5m2fn_div_low_over_high,semantic_div_normsplit_attr_abc_g_aig,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/verilog/ex247_semantic_div_normsplit_attr.v,student/work/ex247_frontend_fp8_e5m2_logcode_20260608_1808/ex247/aigs/ex247_semantic_div_normsplit_attr_abc_g_aig.aig,1,1,1,573,27,15471,2975,5.200336,0,0,0.772,E5M2FN div: normal-normal mantissa-pair core plus subnormal attribute correction,semantic_exact,
