case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex225,ex225_abc_g_aig_abc_g_aig_d18,fp16_log10,abc_g_aig_d18,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_bitrun_bits12_9_t32.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex225/aigs/ex225_abc_g_aig_abc_g_aig_d18.aig,1,1,1,11499,22,252978,116676,2.168209,0,0,16.250,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex225,ex225_abc_g_aig_abc_g_aig_d19,fp16_log10,abc_g_aig_d19,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_bitrun_bits12_9_t32.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex225/aigs/ex225_abc_g_aig_abc_g_aig_d19.aig,1,1,1,11499,22,252978,116676,2.168209,0,0,16.155,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
ex225,ex225_abc_g_aig_abc_g_aig_d20,fp16_log10,abc_g_aig_d20,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_bitrun_bits12_9_t32.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex225/aigs/ex225_abc_g_aig_abc_g_aig_d20.aig,1,1,1,11499,22,252978,116676,2.168209,0,0,16.775,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
ex225,ex225_abc_g_aig_abc_g_aig_d21,fp16_log10,abc_g_aig_d21,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_bitrun_bits12_9_t32.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex225/aigs/ex225_abc_g_aig_abc_g_aig_d21.aig,1,1,1,11499,22,252978,116676,2.168209,0,0,16.878,Yosys abc gate set aig delay target 21,synthflow_exact,Yosys abc gate set aig delay target 21
ex225,ex225_abc_g_aig_abc_g_gates,fp16_log10,abc_g_gates,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_bitrun_bits12_9_t32.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex225/aigs/ex225_abc_g_aig_abc_g_gates.aig,1,1,1,11502,23,264546,116676,2.267356,0,0,16.235,Yosys abc gate set gates,synthflow_exact,Yosys abc gate set gates
ex225,ex225_abc_g_aig_abc_g_cmos2,fp16_log10,abc_g_cmos2,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_bitrun_bits12_9_t32.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex225/aigs/ex225_abc_g_aig_abc_g_cmos2.aig,1,1,1,11833,23,272159,116676,2.332605,0,0,17.700,Yosys abc gate set cmos2,synthflow_exact,Yosys abc gate set cmos2
ex226,ex226_abc_g_aig_abc_g_aig_d18,fp16_sin,abc_g_aig_d18,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex226/aigs/ex226_abc_g_aig_abc_g_aig_d18.aig,1,1,1,33356,22,733832,587790,1.248459,1,0,27.355,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
ex226,ex226_abc_g_aig_abc_g_aig_d19,fp16_sin,abc_g_aig_d19,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex226/aigs/ex226_abc_g_aig_abc_g_aig_d19.aig,1,1,1,33356,22,733832,587790,1.248459,1,0,27.594,Yosys abc gate set aig delay target 19,synthflow_exact,Yosys abc gate set aig delay target 19
ex226,ex226_abc_g_aig_abc_g_aig_d20,fp16_sin,abc_g_aig_d20,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex226/aigs/ex226_abc_g_aig_abc_g_aig_d20.aig,1,1,1,33356,22,733832,587790,1.248459,1,0,27.491,Yosys abc gate set aig delay target 20,synthflow_exact,Yosys abc gate set aig delay target 20
ex226,ex226_abc_g_aig_abc_g_aig_d21,fp16_sin,abc_g_aig_d21,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex226/aigs/ex226_abc_g_aig_abc_g_aig_d21.aig,1,1,1,33356,22,733832,587790,1.248459,1,0,28.159,Yosys abc gate set aig delay target 21,synthflow_exact,Yosys abc gate set aig delay target 21
ex226,ex226_abc_g_aig_abc_g_gates,fp16_sin,abc_g_gates,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex226/aigs/ex226_abc_g_aig_abc_g_gates.aig,1,1,1,33356,22,733832,587790,1.248459,1,0,28.527,Yosys abc gate set gates,synthflow_exact,Yosys abc gate set gates
ex226,ex226_abc_g_aig_abc_g_cmos2,fp16_sin,abc_g_cmos2,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex226/aigs/ex226_abc_g_aig_abc_g_cmos2.aig,1,1,1,33657,23,774111,587790,1.316986,1,0,29.770,Yosys abc gate set cmos2,synthflow_exact,Yosys abc gate set cmos2
ex227,ex227_abc_g_aig_abc_g_aig_d18,fp16_tan,abc_g_aig_d18,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex227/verilog/ex227_fp16_tan_positive_default_exp_mant_case.v,student/work/ex225_ex229_frontend_fp16_synthflow_neighbor_20260607_1240/ex227/aigs/ex227_abc_g_aig_abc_g_aig_d18.aig,1,1,1,40629,22,893838,721639,1.238622,1,0,32.469,Yosys abc gate set aig delay target 18,synthflow_exact,Yosys abc gate set aig delay target 18
