case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex225,ex225_abc_g_aig_default_recheck,fp16_log10,default_recheck,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_default_recheck.aig,1,1,1,11555,23,265765,116676,2.277803,0,0,16.547,current project Yosys script sanity recheck,synthflow_exact,current project Yosys script sanity recheck
ex225,ex225_abc_g_aig_no_internal_abc,fp16_log10,no_internal_abc,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_no_internal_abc.aig,1,1,1,16866,25,421650,116676,3.613854,0,0,16.985,skip Yosys internal abc pass,synthflow_exact,skip Yosys internal abc pass
ex225,ex225_abc_g_aig_abc_fast,fp16_log10,abc_fast,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_abc_fast.aig,1,1,1,16451,25,411275,116676,3.524932,0,0,17.211,Yosys abc fast script,synthflow_exact,Yosys abc fast script
ex225,ex225_abc_g_aig_abc_d20,fp16_log10,abc_d20,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_abc_d20.aig,1,1,1,11555,23,265765,116676,2.277803,0,0,15.638,Yosys abc delay target 20,synthflow_exact,Yosys abc delay target 20
ex225,ex225_abc_g_aig_abc_d21,fp16_log10,abc_d21,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_abc_d21.aig,1,1,1,11555,23,265765,116676,2.277803,0,0,15.809,Yosys abc delay target 21,synthflow_exact,Yosys abc delay target 21
ex225,ex225_abc_g_aig_abc_d22,fp16_log10,abc_d22,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_abc_d22.aig,1,1,1,11555,23,265765,116676,2.277803,0,0,16.012,Yosys abc delay target 22,synthflow_exact,Yosys abc delay target 22
ex225,ex225_abc_g_aig_abc_d24,fp16_log10,abc_d24,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_abc_d24.aig,1,1,1,11555,23,265765,116676,2.277803,0,0,16.022,Yosys abc delay target 24,synthflow_exact,Yosys abc delay target 24
ex225,ex225_abc_g_aig_abc_g_simple,fp16_log10,abc_g_simple,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_abc_g_simple.aig,1,1,1,12372,24,296928,116676,2.544894,0,0,17.701,Yosys abc gate set simple,synthflow_exact,Yosys abc gate set simple
ex225,ex225_abc_g_aig_abc_g_and_mux,fp16_log10,abc_g_and_mux,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_abc_g_and_mux.aig,1,1,1,11884,25,297100,116676,2.546368,0,0,16.443,"Yosys abc gate set AND,MUX",synthflow_exact,"Yosys abc gate set AND,MUX"
ex225,ex225_abc_g_aig_extra_opt_share,fp16_log10,extra_opt_share,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_extra_opt_share.aig,1,1,1,11534,23,265282,116676,2.273664,0,0,18.616,extra opt_reduce/opt_muxtree/wreduce/share before techmap,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex225,ex225_abc_g_aig_late_flatten,fp16_log10,late_flatten,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_late_flatten.aig,1,1,1,11544,23,265512,116676,2.275635,0,0,16.353,move flatten after techmap,synthflow_exact,move flatten after techmap
ex225,ex225_abc_g_aig_synth_preset,fp16_log10,synth_preset,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_synth_preset.aig,1,1,1,11528,23,265144,116676,2.272481,0,0,15.395,Yosys synth preset with flatten,synthflow_exact,Yosys synth preset with flatten
ex225,ex225_abc_g_aig_synth_preset_noabc,fp16_log10,synth_preset_noabc,student/seeds/fp16/ex225_ex229_frontend_fp16_bitrun_shells_current/ex225/verilog/ex225_fp16_log10_manual_ex225_bitvec12_9_bit14.v,student/work/ex225_frontend_fp16_best_synthflow_extra_20260607_1352/ex225/aigs/ex225_abc_g_aig_synth_preset_noabc.aig,1,1,1,17643,25,441075,116676,3.780340,0,0,14.786,Yosys synth preset without abc,synthflow_exact,Yosys synth preset without abc
