case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex232,ex232_fp16_square_bitrun_bit14_t8,fp16_square,bitrun_bit14_t8,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitrun_bit14_t8.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitrun_bit14_t8.aig,1,1,1,1395,17,23715,13392,1.770833,0,0,6.631,bits=14; threshold=8; table_items=32800; bit=14; threshold=8; const_groups=62; range_groups=2; table_groups=0; range_items=4; table_items=0,structural_exact,per-output-bit run-cover hybrid; bits=14; threshold=8; table_items=32800; bit=14; threshold=8; const_groups=62; range_groups=2; table_groups=0; range_items=4; table_items=0
ex232,ex232_fp16_square_bitrun_bit13_t8,fp16_square,bitrun_bit13_t8,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitrun_bit13_t8.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitrun_bit13_t8.aig,1,1,1,1398,18,25164,13392,1.879032,0,0,6.671,bits=13; threshold=8; table_items=32800; bit=13; threshold=8; const_groups=58; range_groups=6; table_groups=0; range_items=12; table_items=0,structural_exact,per-output-bit run-cover hybrid; bits=13; threshold=8; table_items=32800; bit=13; threshold=8; const_groups=58; range_groups=6; table_groups=0; range_items=12; table_items=0
ex232,ex232_fp16_square_bitrun_bit12_t8,fp16_square,bitrun_bit12_t8,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitrun_bit12_t8.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitrun_bit12_t8.aig,1,1,1,1389,17,23613,13392,1.763217,0,0,6.485,bits=12; threshold=8; table_items=32800; bit=12; threshold=8; const_groups=50; range_groups=14; table_groups=0; range_items=28; table_items=0,structural_exact,per-output-bit run-cover hybrid; bits=12; threshold=8; table_items=32800; bit=12; threshold=8; const_groups=50; range_groups=14; table_groups=0; range_items=28; table_items=0
ex232,ex232_fp16_square_bitrun_bit11_t8,fp16_square,bitrun_bit11_t8,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitrun_bit11_t8.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitrun_bit11_t8.aig,1,1,1,1392,17,23664,13392,1.767025,0,0,7.281,bits=11; threshold=8; table_items=32800; bit=11; threshold=8; const_groups=34; range_groups=30; table_groups=0; range_items=60; table_items=0,structural_exact,per-output-bit run-cover hybrid; bits=11; threshold=8; table_items=32800; bit=11; threshold=8; const_groups=34; range_groups=30; table_groups=0; range_items=60; table_items=0
ex232,ex232_fp16_square_bitrun_bit10_t16,fp16_square,bitrun_bit10_t16,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitrun_bit10_t16.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitrun_bit10_t16.aig,1,1,1,1381,18,24858,13392,1.856183,0,0,6.559,bits=10; threshold=16; table_items=32800; bit=10; threshold=16; const_groups=34; range_groups=30; table_groups=0; range_items=60; table_items=0,structural_exact,per-output-bit run-cover hybrid; bits=10; threshold=16; table_items=32800; bit=10; threshold=16; const_groups=34; range_groups=30; table_groups=0; range_items=60; table_items=0
ex232,ex232_fp16_square_bitrun_bit9_t32,fp16_square,bitrun_bit9_t32,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitrun_bit9_t32.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitrun_bit9_t32.aig,1,1,1,1365,18,24570,13392,1.834677,0,0,6.757,bits=9; threshold=32; table_items=32800; bit=9; threshold=32; const_groups=32; range_groups=32; table_groups=0; range_items=124; table_items=0,structural_exact,per-output-bit run-cover hybrid; bits=9; threshold=32; table_items=32800; bit=9; threshold=32; const_groups=32; range_groups=32; table_groups=0; range_items=124; table_items=0
ex232,ex232_fp16_square_bitvec_bits12_9_t32,fp16_square,bitvec_bits12_9_t32,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitvec_bits12_9_t32.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitvec_bits12_9_t32.aig,1,1,1,1350,17,22950,13392,1.713710,0,0,6.890,"bitvec selected bits; table_items=32800; bits=12,9; threshold=32; const_groups=32; range_groups=32; table_groups=0; range_items=124; table_items=0",structural_exact,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=32800; bits=12,9; threshold=32; const_groups=32; range_groups=32; table_groups=0; range_items=124; table_items=0"
ex232,ex232_fp16_square_bitvec_bits14_13_12_9_t32,fp16_square,bitvec_bits14_13_12_9_t32,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/verilog/ex232_fp16_square_bitvec_bits14_13_12_9_t32.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex232/aigs/ex232_fp16_square_bitvec_bits14_13_12_9_t32.aig,1,1,1,1385,17,23545,13392,1.758139,0,0,7.218,"bitvec selected bits; table_items=32800; bits=14,13,12,9; threshold=32; const_groups=32; range_groups=32; table_groups=0; range_items=124; table_items=0",structural_exact,"per-output-bit run-cover hybrid; bitvec selected bits; table_items=32800; bits=14,13,12,9; threshold=32; const_groups=32; range_groups=32; table_groups=0; range_items=124; table_items=0"
ex233,ex233_fp16_sqrt_bitrun_bit14_t8,fp16_sqrt,bitrun_bit14_t8,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex233/verilog/ex233_fp16_sqrt_bitrun_bit14_t8.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex233/aigs/ex233_fp16_sqrt_bitrun_bit14_t8.aig,1,1,1,1718,19,32642,20174,1.618023,0,0,4.912,bits=14; threshold=8; table_items=31777; bit=14; threshold=8; const_groups=64; range_groups=0; table_groups=0; range_items=0; table_items=0,structural_exact,per-output-bit run-cover hybrid; bits=14; threshold=8; table_items=31777; bit=14; threshold=8; const_groups=64; range_groups=0; table_groups=0; range_items=0; table_items=0
ex233,ex233_fp16_sqrt_bitrun_bit13_t8,fp16_sqrt,bitrun_bit13_t8,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex233/verilog/ex233_fp16_sqrt_bitrun_bit13_t8.v,student/work/ex232_ex233_frontend_fp16_bitrun_20260607_1853/ex233/aigs/ex233_fp16_sqrt_bitrun_bit13_t8.aig,1,1,1,1714,18,30852,20174,1.529295,0,0,4.954,bits=13; threshold=8; table_items=31777; bit=13; threshold=8; const_groups=64; range_groups=0; table_groups=0; range_items=0; table_items=0,structural_exact,per-output-bit run-cover hybrid; bits=13; threshold=8; table_items=31777; bit=13; threshold=8; const_groups=64; range_groups=0; table_groups=0; range_items=0; table_items=0
