case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex236,ex236_core_boundary_low15_hi5_abc_g_aig,fp16_cube,core_boundary_low15_hi5_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/verilog/ex236_core_boundary_low15_hi5.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/aigs/ex236_core_boundary_low15_hi5_abc_g_aig.aig,1,1,1,1527,15,22905,17290,1.324754,1,0,1.303,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=15; nested_hi=5; const_buckets=31; explicit_items=1056",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=15; nested_hi=5; const_buckets=31; explicit_items=1056"
ex236,ex236_core_boundary_low15_hi5_synth_preset,fp16_cube,core_boundary_low15_hi5_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/verilog/ex236_core_boundary_low15_hi5.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/aigs/ex236_core_boundary_low15_hi5_synth_preset.aig,1,1,1,1511,20,30220,17290,1.747831,0,0,1.558,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=15; nested_hi=5; const_buckets=31; explicit_items=1056",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=15; nested_hi=5; const_buckets=31; explicit_items=1056"
ex236,ex236_core_boundary_low15_hi6_abc_g_aig,fp16_cube,core_boundary_low15_hi6_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/verilog/ex236_core_boundary_low15_hi6.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/aigs/ex236_core_boundary_low15_hi6_abc_g_aig.aig,1,1,1,1482,15,22230,17290,1.285714,1,0,1.403,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_low_width=15; nested_hi=6; const_buckets=63; explicit_items=1040",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_low_width=15; nested_hi=6; const_buckets=63; explicit_items=1040"
ex236,ex236_core_boundary_low15_hi6_synth_preset,fp16_cube,core_boundary_low15_hi6_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/verilog/ex236_core_boundary_low15_hi6.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/aigs/ex236_core_boundary_low15_hi6_synth_preset.aig,1,1,1,1478,19,28082,17290,1.624176,0,0,1.700,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_low_width=15; nested_hi=6; const_buckets=63; explicit_items=1040",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_low_width=15; nested_hi=6; const_buckets=63; explicit_items=1040"
ex236,ex236_core_boundary_low15_hi7_abc_g_aig,fp16_cube,core_boundary_low15_hi7_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/verilog/ex236_core_boundary_low15_hi7.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/aigs/ex236_core_boundary_low15_hi7_abc_g_aig.aig,1,1,1,1690,15,25350,17290,1.466165,1,0,1.639,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_low_width=15; nested_hi=7; const_buckets=127; explicit_items=1032",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_low_width=15; nested_hi=7; const_buckets=127; explicit_items=1032"
ex236,ex236_core_boundary_low15_hi7_synth_preset,fp16_cube,core_boundary_low15_hi7_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/verilog/ex236_core_boundary_low15_hi7.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex236/aigs/ex236_core_boundary_low15_hi7_synth_preset.aig,1,1,1,1627,19,30913,17290,1.787912,0,0,2.005,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_low_width=15; nested_hi=7; const_buckets=127; explicit_items=1032",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_low_width=15; nested_hi=7; const_buckets=127; explicit_items=1032"
ex238,ex238_core_boundary_low15_hi5_abc_g_aig,fp16_reciprocal_cube,core_boundary_low15_hi5_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/verilog/ex238_core_boundary_low15_hi5.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/aigs/ex238_core_boundary_low15_hi5_abc_g_aig.aig,1,1,1,1481,18,26658,16549,1.610853,0,0,1.288,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=15; nested_hi=5; const_buckets=31; explicit_items=1056",semantic_core_boundary,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=15; nested_hi=5; const_buckets=31; explicit_items=1056"
ex238,ex238_core_boundary_low15_hi5_synth_preset,fp16_reciprocal_cube,core_boundary_low15_hi5_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/verilog/ex238_core_boundary_low15_hi5.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/aigs/ex238_core_boundary_low15_hi5_synth_preset.aig,1,1,1,1462,16,23392,16549,1.413499,1,0,1.528,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=15; nested_hi=5; const_buckets=31; explicit_items=1056",semantic_core_boundary,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=5; boundary_low_width=15; nested_hi=5; const_buckets=31; explicit_items=1056"
ex238,ex238_core_boundary_low15_hi6_abc_g_aig,fp16_reciprocal_cube,core_boundary_low15_hi6_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/verilog/ex238_core_boundary_low15_hi6.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/aigs/ex238_core_boundary_low15_hi6_abc_g_aig.aig,1,1,1,1491,17,25347,16549,1.531633,0,0,1.403,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_low_width=15; nested_hi=6; const_buckets=63; explicit_items=1040",semantic_core_boundary,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_low_width=15; nested_hi=6; const_buckets=63; explicit_items=1040"
ex238,ex238_core_boundary_low15_hi6_synth_preset,fp16_reciprocal_cube,core_boundary_low15_hi6_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/verilog/ex238_core_boundary_low15_hi6.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/aigs/ex238_core_boundary_low15_hi6_synth_preset.aig,1,1,1,1498,17,25466,16549,1.538824,0,0,1.662,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_low_width=15; nested_hi=6; const_buckets=63; explicit_items=1040",semantic_core_boundary,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=6; boundary_low_width=15; nested_hi=6; const_buckets=63; explicit_items=1040"
ex238,ex238_core_boundary_low15_hi7_abc_g_aig,fp16_reciprocal_cube,core_boundary_low15_hi7_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/verilog/ex238_core_boundary_low15_hi7.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/aigs/ex238_core_boundary_low15_hi7_abc_g_aig.aig,1,1,1,1711,16,27376,16549,1.654239,0,0,1.676,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_low_width=15; nested_hi=7; const_buckets=127; explicit_items=1032",semantic_core_boundary,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_low_width=15; nested_hi=7; const_buckets=127; explicit_items=1032"
ex238,ex238_core_boundary_low15_hi7_synth_preset,fp16_reciprocal_cube,core_boundary_low15_hi7_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/verilog/ex238_core_boundary_low15_hi7.v,student/work/ex236_ex238_frontend_fp16_core_boundary_low15_20260608_0944/ex238/aigs/ex238_core_boundary_low15_hi7_synth_preset.aig,1,1,1,1685,16,26960,16549,1.629101,0,0,2.049,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_low_width=15; nested_hi=7; const_buckets=127; explicit_items=1032",semantic_core_boundary,"special=semantic reciprocal_cube: exp<=8 signed inf, exp>=20/inf signed zero, NaN canonical; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=; low_width=10; nested_hi=7; boundary_low_width=15; nested_hi=7; const_buckets=127; explicit_items=1032"
