case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex236,ex236_core_boundary_low8_hi5_abc_g_aig,fp16_cube,core_boundary_low8_hi5_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low8_hi5.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low8_hi5_abc_g_aig.aig,1,1,1,1597,16,25552,17290,1.477848,1,0,1.376,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=8; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=8; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8"
ex236,ex236_core_boundary_low8_hi5_synth_preset,fp16_cube,core_boundary_low8_hi5_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low8_hi5.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low8_hi5_synth_preset.aig,1,1,1,1574,20,31480,17290,1.820706,0,0,1.650,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=8; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=8; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8"
ex236,ex236_core_boundary_low8_hi6_abc_g_aig,fp16_cube,core_boundary_low8_hi6_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low8_hi6.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low8_hi6_abc_g_aig.aig,1,1,1,1548,15,23220,17290,1.342973,1,0,1.476,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_low_width=8; nested_hi=6; const_buckets=63; explicit_items=1040; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_low_width=8; nested_hi=6; const_buckets=63; explicit_items=1040; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8"
ex236,ex236_core_boundary_low8_hi6_synth_preset,fp16_cube,core_boundary_low8_hi6_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low8_hi6.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low8_hi6_synth_preset.aig,1,1,1,1506,19,28614,17290,1.654945,0,0,1.733,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_low_width=8; nested_hi=6; const_buckets=63; explicit_items=1040; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6; boundary_low_width=8; nested_hi=6; const_buckets=63; explicit_items=1040; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8"
ex236,ex236_core_boundary_low8_hi7_abc_g_aig,fp16_cube,core_boundary_low8_hi7_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low8_hi7.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low8_hi7_abc_g_aig.aig,1,1,1,1761,16,28176,17290,1.629612,0,0,1.709,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_low_width=8; nested_hi=7; const_buckets=127; explicit_items=1032; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_low_width=8; nested_hi=7; const_buckets=127; explicit_items=1032; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8"
ex236,ex236_core_boundary_low8_hi7_synth_preset,fp16_cube,core_boundary_low8_hi7_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low8_hi7.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low8_hi7_synth_preset.aig,1,1,1,1692,20,33840,17290,1.957201,0,0,2.062,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_low_width=8; nested_hi=7; const_buckets=127; explicit_items=1032; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=7; boundary_low_width=8; nested_hi=7; const_buckets=127; explicit_items=1032; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4; boundary_b8_runs=13; max=8"
ex236,ex236_core_boundary_low9_hi4_abc_g_aig,fp16_cube,core_boundary_low9_hi4_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low9_hi4.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low9_hi4_abc_g_aig.aig,1,1,1,1544,16,24704,17290,1.428803,1,0,1.335,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=4; boundary_low_width=9; nested_hi=4; const_buckets=15; explicit_items=1088; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=4; boundary_low_width=9; nested_hi=4; const_buckets=15; explicit_items=1088; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4"
ex236,ex236_core_boundary_low9_hi4_synth_preset,fp16_cube,core_boundary_low9_hi4_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low9_hi4.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low9_hi4_synth_preset.aig,1,1,1,1537,18,27666,17290,1.600116,0,0,1.555,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=4; boundary_low_width=9; nested_hi=4; const_buckets=15; explicit_items=1088; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=4; boundary_low_width=9; nested_hi=4; const_buckets=15; explicit_items=1088; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4"
ex236,ex236_core_boundary_low9_hi5_abc_g_aig,fp16_cube,core_boundary_low9_hi5_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low9_hi5.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low9_hi5_abc_g_aig.aig,1,1,1,1529,16,24464,17290,1.414922,1,0,1.338,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=9; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=9; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4"
ex236,ex236_core_boundary_low9_hi5_synth_preset,fp16_cube,core_boundary_low9_hi5_synth_preset,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/verilog/ex236_core_boundary_low9_hi5.v,student/work/ex236_ex238_frontend_fp16_core_boundary_specs_20260608_0939/ex236/aigs/ex236_core_boundary_low9_hi5_synth_preset.aig,1,1,1,1523,20,30460,17290,1.761712,0,0,1.586,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=9; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4",semantic_core_boundary,"special=semantic cube: exp<=9 signed zero, exp>=21/inf signed inf, NaN canonical; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_low_width=9; nested_hi=5; const_buckets=31; explicit_items=1056; boundary_b14_runs=2; max=1; boundary_b13_runs=2; max=1; boundary_b12_runs=2; max=1; boundary_b11_runs=3; max=2; boundary_b10_runs=5; max=3; boundary_b9_runs=7; max=4"
