case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex236,ex236_core_clamp_hi5_default,fp16_cube,core_clamp_hi5_default,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_default.aig,1,1,1,1507,16,24112,17290,1.394563,1,0,1.125,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_no_internal_abc,fp16_cube,core_clamp_hi5_no_internal_abc,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_no_internal_abc.aig,1,1,1,1946,23,44758,17290,2.588664,0,0,0.944,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_abc_fast,fp16_cube,core_clamp_hi5_abc_fast,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_abc_fast.aig,1,1,1,1892,21,39732,17290,2.297976,0,0,1.021,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_abc_d20,fp16_cube,core_clamp_hi5_abc_d20,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_abc_d20.aig,1,1,1,1507,16,24112,17290,1.394563,1,0,1.107,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_abc_d21,fp16_cube,core_clamp_hi5_abc_d21,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_abc_d21.aig,1,1,1,1507,16,24112,17290,1.394563,1,0,1.110,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_abc_d22,fp16_cube,core_clamp_hi5_abc_d22,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_abc_d22.aig,1,1,1,1507,16,24112,17290,1.394563,1,0,1.104,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_abc_d24,fp16_cube,core_clamp_hi5_abc_d24,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_abc_d24.aig,1,1,1,1507,16,24112,17290,1.394563,1,0,1.108,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_abc_g_aig,fp16_cube,core_clamp_hi5_abc_g_aig,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_abc_g_aig.aig,1,1,1,1493,16,23888,17290,1.381608,1,0,1.143,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_abc_g_simple,fp16_cube,core_clamp_hi5_abc_g_simple,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_abc_g_simple.aig,1,1,1,1566,17,26622,17290,1.539734,0,0,1.187,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
ex236,ex236_core_clamp_hi5_abc_g_and_mux,fp16_cube,core_clamp_hi5_abc_g_and_mux,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/verilog/ex236_core_clamp_hi5.v,student/work/ex236_ex238_frontend_fp16_core_clamp_allflows_20260608_0953/ex236/aigs/ex236_core_clamp_hi5_abc_g_and_mux.aig,1,1,1,1575,16,25200,17290,1.457490,1,0,2.180,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf",semantic_core_clamp,"exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5; boundary_clamp=exp10 mant1..0x109 zero, mant0x10a min-normal, exp20 mant>=0x10b inf"
