case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex238,ex238_sign_only_abc_g_aig,fp16_reciprocal_cube,sign_only,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_sign_only.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_sign_only_abc_g_aig.aig,1,1,1,1593,17,27081,16549,1.636413,0,0,6.224,sign_bit=base_exact,semantic_selected_bit_wrapper,sign_bit=base_exact
ex238,ex238_mag_b11_t4_abc_g_aig,fp16_reciprocal_cube,mag_b11_t4,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b11_t4.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b11_t4_abc_g_aig.aig,1,1,1,1600,19,30400,16549,1.836969,0,0,6.810,sign_bit=base_exact; bits=11; threshold=4; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=11; threshold=4; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3
ex238,ex238_mag_b11_t8_abc_g_aig,fp16_reciprocal_cube,mag_b11_t8,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b11_t8.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b11_t8_abc_g_aig.aig,1,1,1,1600,19,30400,16549,1.836969,0,0,7.104,sign_bit=base_exact; bits=11; threshold=8; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=11; threshold=8; const_groups=21; range_groups=11; table_groups=0; range_items=27; table_items=0; max_runs=3
ex238,ex238_mag_b10_t4_abc_g_aig,fp16_reciprocal_cube,mag_b10_t4,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b10_t4.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b10_t4_abc_g_aig.aig,1,1,1,1583,18,28494,16549,1.721796,0,0,7.022,sign_bit=base_exact; bits=10; threshold=4; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=10; threshold=4; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4
ex238,ex238_mag_b10_t8_abc_g_aig,fp16_reciprocal_cube,mag_b10_t8,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b10_t8.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b10_t8_abc_g_aig.aig,1,1,1,1583,18,28494,16549,1.721796,0,0,6.860,sign_bit=base_exact; bits=10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4,semantic_selected_bit_wrapper,sign_bit=base_exact; bits=10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4
ex238,ex238_mag_b11_10_t8_abc_g_aig,fp16_reciprocal_cube,mag_b11_10_t8,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b11_10_t8.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b11_10_t8_abc_g_aig.aig,1,1,1,1587,18,28566,16549,1.726147,0,0,6.973,"sign_bit=base_exact; bits=11,10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=11,10; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=44; table_items=0; max_runs=4"
ex238,ex238_mag_b11_10_9_t8_abc_g_aig,fp16_reciprocal_cube,mag_b11_10_9_t8,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b11_10_9_t8.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b11_10_9_t8_abc_g_aig.aig,1,1,1,1579,17,26843,16549,1.622032,0,0,7.086,"sign_bit=base_exact; bits=11,10,9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=11,10,9; threshold=8; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7"
ex238,ex238_mag_b11_10_9_t16_abc_g_aig,fp16_reciprocal_cube,mag_b11_10_9_t16,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b11_10_9_t16.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b11_10_9_t16_abc_g_aig.aig,1,1,1,1579,17,26843,16549,1.622032,0,0,7.076,"sign_bit=base_exact; bits=11,10,9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=11,10,9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7"
ex238,ex238_manual_b10_9_shared_if_abc_g_aig,fp16_reciprocal_cube,manual_b10_9_shared_if,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_manual_b10_9_shared_if.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_manual_b10_9_shared_if_abc_g_aig.aig,1,1,1,1554,18,27972,16549,1.690253,0,0,6.969,"manual_b10_9_shared_if; shared mantissa segment boundaries for ex238 bits 10,9; core exp10-exp18 uses exp parity phase",semantic_selected_bit_wrapper,"manual_b10_9_shared_if; shared mantissa segment boundaries for ex238 bits 10,9; core exp10-exp18 uses exp parity phase"
ex238,ex238_manual_b10_9_seg_phase_abc_g_aig,fp16_reciprocal_cube,manual_b10_9_seg_phase,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_manual_b10_9_seg_phase.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_manual_b10_9_seg_phase_abc_g_aig.aig,1,1,1,1597,18,28746,16549,1.737023,0,0,7.452,"manual_b10_9_seg_phase; shared mantissa segment boundaries for ex238 bits 10,9; core exp10-exp18 uses exp parity phase",semantic_selected_bit_wrapper,"manual_b10_9_seg_phase; shared mantissa segment boundaries for ex238 bits 10,9; core exp10-exp18 uses exp parity phase"
ex238,ex238_mag_b10_9_t16_abc_g_aig,fp16_reciprocal_cube,mag_b10_9_t16,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b10_9_t16.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b10_9_t16_abc_g_aig.aig,1,1,1,1555,16,24880,16549,1.503414,0,0,8.563,"sign_bit=base_exact; bits=10,9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=10,9; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=74; table_items=0; max_runs=7"
ex238,ex238_mag_b9_8_t16_abc_g_aig,fp16_reciprocal_cube,mag_b9_8_t16,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b9_8_t16.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b9_8_t16_abc_g_aig.aig,1,1,1,1616,16,25856,16549,1.562390,0,0,7.336,"sign_bit=base_exact; bits=9,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=133; table_items=0; max_runs=13",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=9,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=133; table_items=0; max_runs=13"
ex238,ex238_mag_b10_8_t16_abc_g_aig,fp16_reciprocal_cube,mag_b10_8_t16,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b10_8_t16.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b10_8_t16_abc_g_aig.aig,1,1,1,1661,18,29898,16549,1.806635,0,0,7.167,"sign_bit=base_exact; bits=10,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=10,8; threshold=16; const_groups=20; range_groups=12; table_groups=0; range_items=134; table_items=0; max_runs=13"
ex238,ex238_mag_b10_9_8_t8_abc_g_aig,fp16_reciprocal_cube,mag_b10_9_8_t8,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/verilog/ex238_mag_b10_9_8_t8.v,student/work/ex238_frontend_fp16_manual_shared_magbits_20260608_0940/ex238/aigs/ex238_mag_b10_9_8_t8_abc_g_aig.aig,1,1,1,1575,18,28350,16549,1.713094,0,0,9.008,"sign_bit=base_exact; bits=10,9,8; threshold=8; const_groups=20; range_groups=2; table_groups=10; range_items=7; table_items=10240; max_runs=13",semantic_selected_bit_wrapper,"sign_bit=base_exact; bits=10,9,8; threshold=8; const_groups=20; range_groups=2; table_groups=10; range_items=7; table_items=10240; max_runs=13"
