case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_booth_radix4_default,unsigned low4_high4:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/aigs/ex255_umul_booth_radix4_default.aig,1,1,1,126,21,2646,836,3.165072,0,0,0.233,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=default
ex255,ex255_umul_booth_radix4_abc_g_aig,unsigned low4_high4:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/aigs/ex255_umul_booth_radix4_abc_g_aig.aig,1,1,1,126,21,2646,836,3.165072,0,0,0.238,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=abc_g_aig
ex255,ex255_umul_booth_radix4_synth_preset,unsigned low4_high4:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/aigs/ex255_umul_booth_radix4_synth_preset.aig,1,1,1,130,17,2210,836,2.643541,0,0,0.296,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=synth_preset
ex256,ex256_umul_booth_radix4_default,unsigned low5_high5:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/aigs/ex256_umul_booth_radix4_default.aig,1,1,1,181,25,4525,1911,2.367870,0,0,0.255,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=default
ex256,ex256_umul_booth_radix4_abc_g_aig,unsigned low5_high5:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/aigs/ex256_umul_booth_radix4_abc_g_aig.aig,1,1,1,176,25,4400,1911,2.302459,0,0,0.256,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=abc_g_aig
ex256,ex256_umul_booth_radix4_synth_preset,unsigned low5_high5:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/aigs/ex256_umul_booth_radix4_synth_preset.aig,1,1,1,179,22,3938,1911,2.060701,0,0,0.340,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=synth_preset
ex257,ex257_umul_booth_radix4_default,unsigned low6_high6:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/aigs/ex257_umul_booth_radix4_default.aig,1,1,1,289,34,9826,3952,2.486336,0,0,0.318,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=default
ex257,ex257_umul_booth_radix4_abc_g_aig,unsigned low6_high6:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/aigs/ex257_umul_booth_radix4_abc_g_aig.aig,1,1,1,278,34,9452,3952,2.391700,0,0,0.314,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=abc_g_aig
ex257,ex257_umul_booth_radix4_synth_preset,unsigned low6_high6:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/aigs/ex257_umul_booth_radix4_synth_preset.aig,1,1,1,308,30,9240,3952,2.338057,0,0,0.382,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=synth_preset
ex258,ex258_umul_booth_radix4_default,unsigned low7_high7:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/aigs/ex258_umul_booth_radix4_default.aig,1,1,1,352,37,13024,6289,2.070917,0,0,0.536,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=default
ex258,ex258_umul_booth_radix4_abc_g_aig,unsigned low7_high7:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/aigs/ex258_umul_booth_radix4_abc_g_aig.aig,1,1,1,346,37,12802,6289,2.035618,0,0,0.533,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=abc_g_aig
