case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex255,ex255_umul_booth_radix4_default,1,126,21,2646,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/aigs/ex255_umul_booth_radix4_default.aig,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=default
ex255,ex255_umul_booth_radix4_abc_g_aig,1,126,21,2646,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/aigs/ex255_umul_booth_radix4_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=abc_g_aig
ex255,ex255_umul_booth_radix4_synth_preset,1,130,17,2210,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex255/aigs/ex255_umul_booth_radix4_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=synth_preset
ex256,ex256_umul_booth_radix4_default,1,181,25,4525,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/aigs/ex256_umul_booth_radix4_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=default
ex256,ex256_umul_booth_radix4_abc_g_aig,1,176,25,4400,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/aigs/ex256_umul_booth_radix4_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=abc_g_aig
ex256,ex256_umul_booth_radix4_synth_preset,1,179,22,3938,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex256/aigs/ex256_umul_booth_radix4_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=synth_preset
ex257,ex257_umul_booth_radix4_default,1,289,34,9826,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/aigs/ex257_umul_booth_radix4_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=default
ex257,ex257_umul_booth_radix4_abc_g_aig,1,278,34,9452,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/aigs/ex257_umul_booth_radix4_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=abc_g_aig
ex257,ex257_umul_booth_radix4_synth_preset,1,308,30,9240,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex257/aigs/ex257_umul_booth_radix4_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=synth_preset
ex258,ex258_umul_booth_radix4_default,1,352,37,13024,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/aigs/ex258_umul_booth_radix4_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=default
ex258,ex258_umul_booth_radix4_abc_g_aig,1,346,37,12802,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/aigs/ex258_umul_booth_radix4_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=abc_g_aig
ex258,ex258_umul_booth_radix4_synth_preset,1,389,35,13615,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex258/aigs/ex258_umul_booth_radix4_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=synth_preset
ex259,ex259_umul_booth_radix4_default,1,512,47,24064,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex259/aigs/ex259_umul_booth_radix4_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=default
ex259,ex259_umul_booth_radix4_abc_g_aig,1,486,47,22842,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex259/aigs/ex259_umul_booth_radix4_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=abc_g_aig
ex259,ex259_umul_booth_radix4_synth_preset,1,555,40,22200,student/work/ex255_ex259_frontend_umul_booth_fix_20260609_0031/ex259/aigs/ex259_umul_booth_radix4_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=synth_preset
