case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_csa_vector_abc_g_aig_d18,unsigned low4_high4:a*b,csa_vector+abc_g_aig_d18,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d18.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.219,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d18
ex255,ex255_umul_csa_vector_abc_g_aig_d20,unsigned low4_high4:a*b,csa_vector+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d20.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.211,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d20
ex255,ex255_umul_csa_vector_abc_g_aig_d24,unsigned low4_high4:a*b,csa_vector+abc_g_aig_d24,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d24.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.212,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d24
ex255,ex255_umul_csa_vector_abc_g_aig_d28,unsigned low4_high4:a*b,csa_vector+abc_g_aig_d28,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d28.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.209,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d28
ex255,ex255_umul_csa_vector_abc_g_aig_d32,unsigned low4_high4:a*b,csa_vector+abc_g_aig_d32,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_abc_g_aig_d32.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.211,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig_d32
ex255,ex255_umul_csa_vector_synth_preset_d18,unsigned low4_high4:a*b,csa_vector+synth_preset_d18,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d18.aig,1,1,1,86,16,1376,836,1.645933,0,0,0.276,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d18
ex255,ex255_umul_csa_vector_synth_preset_d20,unsigned low4_high4:a*b,csa_vector+synth_preset_d20,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d20.aig,1,1,1,86,16,1376,836,1.645933,0,0,0.273,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d20
ex255,ex255_umul_csa_vector_synth_preset_d24,unsigned low4_high4:a*b,csa_vector+synth_preset_d24,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d24.aig,1,1,1,86,16,1376,836,1.645933,0,0,0.273,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d24
ex255,ex255_umul_csa_vector_synth_preset_d28,unsigned low4_high4:a*b,csa_vector+synth_preset_d28,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d28.aig,1,1,1,86,16,1376,836,1.645933,0,0,0.278,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d28
ex255,ex255_umul_csa_vector_synth_preset_d32,unsigned low4_high4:a*b,csa_vector+synth_preset_d32,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_vector_synth_preset_d32.aig,1,1,1,86,16,1376,836,1.645933,0,0,0.274,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset_d32
ex255,ex255_umul_csa_androws_abc_g_aig_d18,unsigned low4_high4:a*b,csa_androws+abc_g_aig_d18,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d18.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.191,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d18
ex255,ex255_umul_csa_androws_abc_g_aig_d20,unsigned low4_high4:a*b,csa_androws+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d20.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.190,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d20
ex255,ex255_umul_csa_androws_abc_g_aig_d24,unsigned low4_high4:a*b,csa_androws+abc_g_aig_d24,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d24.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.207,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d24
ex255,ex255_umul_csa_androws_abc_g_aig_d28,unsigned low4_high4:a*b,csa_androws+abc_g_aig_d28,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d28.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.191,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d28
ex255,ex255_umul_csa_androws_abc_g_aig_d32,unsigned low4_high4:a*b,csa_androws+abc_g_aig_d32,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_delaytargets_20260609_0027/ex255/aigs/ex255_umul_csa_androws_abc_g_aig_d32.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.190,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig_d32
