case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex255,ex255_umul_csa_androws_default,1,112,14,1568,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_androws_default.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=default
ex255,ex255_umul_csa_androws_abc_g_aig,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_androws_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=abc_g_aig
ex255,ex255_umul_csa_androws_synth_preset,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_androws_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=synth_preset
ex255,ex255_umul_csa_concat_default,1,112,14,1568,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_default.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=default
ex255,ex255_umul_csa_concat_abc_g_aig,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=abc_g_aig
ex255,ex255_umul_csa_concat_synth_preset,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat; flow=synth_preset
ex255,ex255_umul_csa_concat_rev_default,1,103,17,1751,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_rev_default.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_rev; flow=default
ex255,ex255_umul_csa_concat_rev_abc_g_aig,1,91,17,1547,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_rev_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_rev; flow=abc_g_aig
ex255,ex255_umul_csa_concat_rev_synth_preset,1,91,17,1547,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_rev_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_rev; flow=synth_preset
ex255,ex255_umul_csa_concat_evenodd_default,1,112,14,1568,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_evenodd_default.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_evenodd; flow=default
ex255,ex255_umul_csa_concat_evenodd_abc_g_aig,1,87,14,1218,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_evenodd_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex255,ex255_umul_csa_concat_evenodd_synth_preset,1,86,16,1376,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_evenodd_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_evenodd; flow=synth_preset
ex255,ex255_umul_csa_concat_outside_default,1,107,16,1712,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_outside_default.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_outside; flow=default
ex255,ex255_umul_csa_concat_outside_abc_g_aig,1,87,16,1392,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_outside_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_outside; flow=abc_g_aig
