case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex255,ex255_umul_balanced_rows_default,1,86,17,1462,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_balanced_rows_default.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=default
ex255,ex255_umul_balanced_rows_abc_g_aig,1,86,17,1462,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_balanced_rows_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=abc_g_aig
ex255,ex255_umul_balanced_rows_synth_preset,1,85,15,1275,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_balanced_rows_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=synth_preset
ex255,ex255_umul_csa_vector_default,1,112,14,1568,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_csa_vector_default.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=default
ex255,ex255_umul_csa_vector_abc_g_aig,1,87,14,1218,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_csa_vector_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig
ex255,ex255_umul_csa_vector_synth_preset,1,86,16,1376,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_csa_vector_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset
ex255,ex255_umul_column_carry_default,1,86,35,3010,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_column_carry_default.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=default
ex255,ex255_umul_column_carry_abc_g_aig,1,86,35,3010,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_column_carry_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=abc_g_aig
ex255,ex255_umul_column_carry_synth_preset,1,84,35,2940,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_column_carry_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=synth_preset
ex255,ex255_umul_split_half_default,1,82,17,1394,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_split_half_default.aig,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=default
ex255,ex255_umul_split_half_abc_g_aig,1,82,17,1394,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_split_half_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=abc_g_aig
