case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_wallace_bits_default,unsigned low4_high4:a*b,wallace_bits+default,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_default.aig,1,1,1,113,13,1469,836,1.757177,0,0,0.235,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=default
ex255,ex255_umul_wallace_bits_abc_g_aig,unsigned low4_high4:a*b,wallace_bits+abc_g_aig,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig.aig,1,1,1,87,13,1131,836,1.352871,1,0,0.208,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig
ex255,ex255_umul_wallace_bits_synth_preset,unsigned low4_high4:a*b,wallace_bits+synth_preset,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_synth_preset.aig,1,1,1,87,13,1131,836,1.352871,1,0,0.269,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=synth_preset
ex255,ex255_umul_wallace_bits_abc_g_aig_d20,unsigned low4_high4:a*b,wallace_bits+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,1,1,1,87,13,1131,836,1.352871,1,0,0.207,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex255,ex255_umul_wallace_bits_synth_preset_d20,unsigned low4_high4:a*b,wallace_bits+synth_preset_d20,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_synth_preset_d20.aig,1,1,1,87,13,1131,836,1.352871,1,0,0.268,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=synth_preset_d20
ex255,ex255_umul_wallace_bits_prefix_default,unsigned low4_high4:a*b,wallace_bits_prefix+default,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_prefix_default.aig,1,1,1,113,13,1469,836,1.757177,0,0,0.203,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits_prefix; flow=default
ex255,ex255_umul_wallace_bits_prefix_abc_g_aig,unsigned low4_high4:a*b,wallace_bits_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_prefix_abc_g_aig.aig,1,1,1,87,13,1131,836,1.352871,1,0,0.202,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits_prefix; flow=abc_g_aig
ex255,ex255_umul_wallace_bits_prefix_synth_preset,unsigned low4_high4:a*b,wallace_bits_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_prefix_synth_preset.aig,1,1,1,87,13,1131,836,1.352871,1,0,0.273,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits_prefix; flow=synth_preset
ex255,ex255_umul_wallace_bits_prefix_abc_g_aig_d20,unsigned low4_high4:a*b,wallace_bits_prefix+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_prefix_abc_g_aig_d20.aig,1,1,1,87,13,1131,836,1.352871,1,0,0.203,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits_prefix; flow=abc_g_aig_d20
ex255,ex255_umul_wallace_bits_prefix_synth_preset_d20,unsigned low4_high4:a*b,wallace_bits_prefix+synth_preset_d20,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits_prefix.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_prefix_synth_preset_d20.aig,1,1,1,87,13,1131,836,1.352871,1,0,0.267,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits_prefix; flow=synth_preset_d20
ex256,ex256_umul_wallace_bits_default,unsigned low5_high5:a*b,wallace_bits+default,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex256/aigs/ex256_umul_wallace_bits_default.aig,1,1,1,205,20,4100,1911,2.145474,0,0,0.243,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=default
