case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_full_product_case_abc_g_aig,unsigned low5_high5:a*b,full_product_case+abc_g_aig,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_full_product_case.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_abc_g_aig.aig,1,1,1,807,16,12912,1911,6.756672,0,0,0.530,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=abc_g_aig
ex256,ex256_umul_full_product_case_synth_preset_d13,unsigned low5_high5:a*b,full_product_case+synth_preset_d13,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_full_product_case.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_synth_preset_d13.aig,1,1,1,791,14,11074,1911,5.794872,0,0,0.648,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=synth_preset_d13
ex256,ex256_umul_full_product_case_synth_preset_d14,unsigned low5_high5:a*b,full_product_case+synth_preset_d14,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_full_product_case.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_synth_preset_d14.aig,1,1,1,791,14,11074,1911,5.794872,0,0,0.675,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=synth_preset_d14
ex256,ex256_umul_full_product_case_synth_preset_d18,unsigned low5_high5:a*b,full_product_case+synth_preset_d18,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_full_product_case.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_synth_preset_d18.aig,1,1,1,791,14,11074,1911,5.794872,0,0,0.680,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=synth_preset_d18
ex256,ex256_umul_full_product_case_wreduce_abc_g_aig,unsigned low5_high5:a*b,full_product_case+wreduce_abc_g_aig,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_full_product_case.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_wreduce_abc_g_aig.aig,1,1,1,807,16,12912,1911,6.756672,0,0,0.546,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=wreduce_abc_g_aig
ex256,ex256_umul_per_bit_lut_abc_g_aig,unsigned low5_high5:a*b,per_bit_lut+abc_g_aig,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_per_bit_lut.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_abc_g_aig.aig,1,1,1,817,15,12255,1911,6.412873,0,0,0.706,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=abc_g_aig
ex256,ex256_umul_per_bit_lut_synth_preset_d13,unsigned low5_high5:a*b,per_bit_lut+synth_preset_d13,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_per_bit_lut.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_synth_preset_d13.aig,1,1,1,792,16,12672,1911,6.631083,0,0,0.816,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=synth_preset_d13
ex256,ex256_umul_per_bit_lut_synth_preset_d14,unsigned low5_high5:a*b,per_bit_lut+synth_preset_d14,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_per_bit_lut.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_synth_preset_d14.aig,1,1,1,792,16,12672,1911,6.631083,0,0,0.821,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=synth_preset_d14
ex256,ex256_umul_per_bit_lut_synth_preset_d18,unsigned low5_high5:a*b,per_bit_lut+synth_preset_d18,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_per_bit_lut.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_synth_preset_d18.aig,1,1,1,792,16,12672,1911,6.631083,0,0,0.815,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=synth_preset_d18
ex256,ex256_umul_per_bit_lut_wreduce_abc_g_aig,unsigned low5_high5:a*b,per_bit_lut+wreduce_abc_g_aig,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_per_bit_lut.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_wreduce_abc_g_aig.aig,1,1,1,817,15,12255,1911,6.412873,0,0,0.710,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=wreduce_abc_g_aig
ex256,ex256_umul_per_bit_lut_low_formula_abc_g_aig,unsigned low5_high5:a*b,per_bit_lut_low_formula+abc_g_aig,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/verilog/ex256_umul_per_bit_lut_low_formula.v,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_low_formula_abc_g_aig.aig,1,1,0,,,,1911,,,,0.458,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut_low_formula; flow=abc_g_aig
