case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_csa_androws_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.224,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d13,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.301,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d14,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d14,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d14.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.299,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d14
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d18,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.308,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.230,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_wallace_bits_cla_abc_g_aig,unsigned low5_high5:a*b,wallace_bits_cla+abc_g_aig,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_wallace_bits_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_wallace_bits_cla_abc_g_aig.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.277,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits_cla; flow=abc_g_aig
ex256,ex256_umul_wallace_bits_cla_synth_preset_d13,unsigned low5_high5:a*b,wallace_bits_cla+synth_preset_d13,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_wallace_bits_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_wallace_bits_cla_synth_preset_d13.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.307,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits_cla; flow=synth_preset_d13
ex256,ex256_umul_wallace_bits_cla_synth_preset_d14,unsigned low5_high5:a*b,wallace_bits_cla+synth_preset_d14,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_wallace_bits_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_wallace_bits_cla_synth_preset_d14.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.334,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits_cla; flow=synth_preset_d14
ex256,ex256_umul_wallace_bits_cla_synth_preset_d18,unsigned low5_high5:a*b,wallace_bits_cla+synth_preset_d18,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_wallace_bits_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_wallace_bits_cla_synth_preset_d18.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.308,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits_cla; flow=synth_preset_d18
ex256,ex256_umul_wallace_bits_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,wallace_bits_cla+wreduce_abc_g_aig,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_wallace_bits_cla.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_wallace_bits_cla_wreduce_abc_g_aig.aig,1,1,1,160,21,3360,1911,1.758242,0,0,0.247,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=wallace_bits_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_abc_g_aig,unsigned low5_high5:a*b,csa_androws+abc_g_aig,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_frontend_umul_cla_final_20260609_0127/ex256/aigs/ex256_umul_csa_androws_abc_g_aig.aig,1,1,1,155,21,3255,1911,1.703297,0,0,0.222,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws; flow=abc_g_aig
