case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_csa_cla_low7_top_lut_abc_g_aig,unsigned low5_high5:a*b,csa_cla_low7_top_lut+abc_g_aig,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low7_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low7_top_lut_abc_g_aig.aig,1,1,1,409,18,7362,1911,3.852433,0,0,0.326,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low7_top_lut; flow=abc_g_aig
ex256,ex256_umul_csa_cla_low7_top_lut_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_cla_low7_top_lut+wreduce_abc_g_aig,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low7_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low7_top_lut_wreduce_abc_g_aig.aig,1,1,1,410,18,7380,1911,3.861852,0,0,0.375,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low7_top_lut; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_cla_low7_top_lut_synth_preset_d13,unsigned low5_high5:a*b,csa_cla_low7_top_lut+synth_preset_d13,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low7_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low7_top_lut_synth_preset_d13.aig,1,1,1,397,18,7146,1911,3.739403,0,0,0.479,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low7_top_lut; flow=synth_preset_d13
ex256,ex256_umul_csa_cla_low7_top_lut_synth_preset_d18,unsigned low5_high5:a*b,csa_cla_low7_top_lut+synth_preset_d18,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low7_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low7_top_lut_synth_preset_d18.aig,1,1,1,397,18,7146,1911,3.739403,0,0,0.447,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low7_top_lut; flow=synth_preset_d18
ex256,ex256_umul_csa_cla_low8_top_lut_abc_g_aig,unsigned low5_high5:a*b,csa_cla_low8_top_lut+abc_g_aig,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low8_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low8_top_lut_abc_g_aig.aig,1,1,1,274,19,5206,1911,2.724228,0,0,0.301,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low8_top_lut; flow=abc_g_aig
ex256,ex256_umul_csa_cla_low8_top_lut_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_cla_low8_top_lut+wreduce_abc_g_aig,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low8_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low8_top_lut_wreduce_abc_g_aig.aig,1,1,1,264,19,5016,1911,2.624804,0,0,0.300,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low8_top_lut; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_cla_low8_top_lut_synth_preset_d13,unsigned low5_high5:a*b,csa_cla_low8_top_lut+synth_preset_d13,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low8_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low8_top_lut_synth_preset_d13.aig,1,1,1,267,20,5340,1911,2.794349,0,0,0.409,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low8_top_lut; flow=synth_preset_d13
ex256,ex256_umul_csa_cla_low8_top_lut_synth_preset_d18,unsigned low5_high5:a*b,csa_cla_low8_top_lut+synth_preset_d18,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low8_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low8_top_lut_synth_preset_d18.aig,1,1,1,267,20,5340,1911,2.794349,0,0,0.423,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low8_top_lut; flow=synth_preset_d18
ex256,ex256_umul_csa_cla_low9_top_lut_abc_g_aig,unsigned low5_high5:a*b,csa_cla_low9_top_lut+abc_g_aig,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low9_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low9_top_lut_abc_g_aig.aig,1,1,1,190,20,3800,1911,1.988488,0,0,0.320,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low9_top_lut; flow=abc_g_aig
ex256,ex256_umul_csa_cla_low9_top_lut_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_cla_low9_top_lut+wreduce_abc_g_aig,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low9_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low9_top_lut_wreduce_abc_g_aig.aig,1,1,1,190,19,3610,1911,1.889063,0,0,0.294,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low9_top_lut; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_cla_low9_top_lut_synth_preset_d13,unsigned low5_high5:a*b,csa_cla_low9_top_lut+synth_preset_d13,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/verilog/ex256_umul_csa_cla_low9_top_lut.v,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low9_top_lut_synth_preset_d13.aig,1,1,1,187,20,3740,1911,1.957091,0,0,0.370,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low9_top_lut; flow=synth_preset_d13
