case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_csa_androws_cla_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,1,156,20,3120,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d14,1,156,20,3120,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d14
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,1,156,20,3120,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_from2_abc_g_aig,1,159,19,3021,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from2_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from2; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_from2_wreduce_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from2_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from2; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_from2_synth_preset_d13,1,160,19,3040,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from2_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from2; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_from2_synth_preset_d14,1,160,19,3040,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from2_synth_preset_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from2; flow=synth_preset_d14
ex256,ex256_umul_csa_androws_cla_from2_synth_preset_d18,1,160,19,3040,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from2_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from2; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_from3_abc_g_aig,1,163,19,3097,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from3_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_from3_wreduce_abc_g_aig,1,159,19,3021,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from3_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_from3_synth_preset_d13,1,161,19,3059,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from3_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_from3_synth_preset_d14,1,161,19,3059,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from3_synth_preset_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d14
ex256,ex256_umul_csa_androws_cla_from3_synth_preset_d18,1,161,19,3059,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from3_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_from4_abc_g_aig,1,156,20,3120,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from4_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from4; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_from4_wreduce_abc_g_aig,1,156,19,2964,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from4_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from4; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_from4_synth_preset_d13,1,160,20,3200,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from4_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from4; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_from4_synth_preset_d14,1,160,20,3200,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from4_synth_preset_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from4; flow=synth_preset_d14
ex256,ex256_umul_csa_androws_cla_from4_synth_preset_d18,1,160,20,3200,student/work/ex256_frontend_umul_hybrid_cla_20260609_0131/ex256/aigs/ex256_umul_csa_androws_cla_from4_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from4; flow=synth_preset_d18
